[1],,,,,,,,,,,,,,
呢,個,係,阿樂,，,佢,嘅,頭髮,好,長,，,要,剪,喇,。
ni1,go3,hai6,Aa3-lok6,#,keoi5,ge3,tau4-faat3,hou2,coeng4,#,jiu3,zin2,laa3,#
this,(measure),is,Lok,#,he, 's,hair,very,long,#,have to,cut,(particle),#
[2a],,,,,,,,,,,,,,
媽媽,話,：,「,我,幫,你,剪,頭髮,啦,。,」,阿樂,笑,。
maa4-maa1,waa6,#,#,ngo5,bong1,nei5,zin2,tau4-faat3,laa1,#,#,Aa3-lok6,siu3,#
mother,say,#,#,I,help,you,cut,hair,(particle),#,#,Lok,laugh,#
[2b],,,,,,,,,,,,,,
剪,得,唔靚,啊,！,,,,,,,,,,
zin2,dak1,m4-leng3,aa3,#,,,,,,,,,,
cut,(suffix),not beautiful,(particle),#,,,,,,,,,,
[3],,,,,,,,,,,,,,
同學仔,都,笑,佢,，,阿樂,喊,。,,,,,,,
tung4-hok6-zai2,dou1,siu3,keoi5,#,Aa3-lok6,haam3,#,,,,,,,
little classmates,all,laugh,him,#,Lok,cry,#,,,,,,,
[4a],,,,,,,,,,,,,,
老師,話,：,「,我哋,唔應該,笑,人,㗎,。,,,,,
lou5-si1,waa6,#,#,ngo5-dei6,m4-jing1-goi1,siu3,jan4,gaa3,#,,,,,
teacher,say,#,#,we,should not,laugh,people,(particle),#,,,,,
[4b],,,,,,,,,,,,,,
個個,都,唔一樣,。,睇下,呢啲,相,……,」,,,,,,
go3-go3,dou1,m4-jat1-joeng6,#,tai2-haa5,ni1-di1,soeng2,#,#,,,,,,
all,all,not the same,#,look,these,photos,#,#,,,,,,
[5a],,,,,,,,,,,,,,
「,貓仔,嗰,兩,隻,眼,大啲,，,雀仔,個,頭,細啲,，,,
#,maau1-zai2,go2,loeng5,zek3,ngaan5,daai6-di1,#,zoek3-zai2,go3,tau4,sai3-di1,#,,
#,kitten,that,two,(measure),eyes,bigger,#,little bird,(measure),head,smaller,#,,
[5b],,,,,,,,,,,,,,
兔仔,對,耳,長啲,，,龜仔,啲,手,腳,短啲,。,」,,,
tou3-zai2,deoi3,ji5,coeng4-di1,#,gwai1-zai2,di1,sau2,goek3,dyun2-di1,#,#,,,
little rabbit,pair of,ears,longer,#,little turtle,those,hands,legs,shorter,#,#,,,
[6],,,,,,,,,,,,,,
「,你哋,係咪,想,隻隻,都,一樣,啊,？,」,,,,,
#,nei5-dei6,hai6-mai6,soeng2,zek3-zek3,dou1,jat1-joeng6,aa3,#,#,,,,,
#,you,are or are not,want,all,all,the same,(particle),#,#,,,,,
[7],,,,,,,,,,,,,,
「,你哋,同,我,，,有,咩,唔一樣,啊,？,」,,,,
#,nei5-dei6,tung4,ngo5,#,jau5,me1,m4-jat1-joeng6,aa3,#,#,,,,
#,you,and,me,#,have,what,not the same,(particle),#,#,,,,
[8a],,,,,,,,,,,,,,
同學,話,：,「,我,係,男仔,，,你,係,女仔,。,」,,
tung4-hok6,waa6,#,#,ngo5,hai6,naam4-zai2,#,nei5,hai6,neoi5-zai2,#,#,,
classmates,say,#,#,I,am,boy,#,you,are,girl,#,#,,
[8b],,,,,,,,,,,,,,
「,我,長,頭髮,，,你,短,頭髮,。,」,,,,,
#,ngo5,coeng4,tau4-faat3,#,nei5,dyun2,tau4-faat3,#,#,,,,,
#,I,long,hair,#,you,short,hair,#,#,,,,,
[9a],,,,,,,,,,,,,,
「,我,件,衫,舊啲,，,你,件,衫,新啲,。,」,,,
#,ngo5,gin6,saam1,gau6-di1,#,nei5,gin6,saam1,san1-di1,#,#,,,
#,I,(measure),clothes,older,#,you,(measure),clothes,newer,#,#,,,
[9b],,,,,,,,,,,,,,
「,我,條,褲,短啲,，,你,嗰,條,長啲,。,」,,,
#,ngo5,tiu4,fu3,dyun2-di1,#,nei5,go2,tiu4,coeng4-di1,#,#,,,
#,I,(measure),pants,shorter,#,you,that,(measure),longer,#,#,,,
[9c],,,,,,,,,,,,,,
「,我,得,少少,書,，,你,有,好多,書,。,」,,,
#,ngo5,dak1,siu2-siu2,syu1,#,nei5,jau5,hou2-do1,syu1,#,#,,,
#,I,only have,few,books,#,you,have,many,books,#,#,,,
[10],,,,,,,,,,,,,,
老師,話,：,「,噉,你哋,同,我,，,有,咩,一樣,啊,？,」
lou5-si1,waa6,#,#,gam2,nei5-dei6,tung4,ngo5,#,jau5,me1,jat1-joeng6,aa3,#,#
teacher,say,#,#,then,you,and,me,#,have,what,the same,(particle),#,#
[11],,,,,,,,,,,,,,
「,我,鍾意,踢波,，,鍾意,嘅,同學,舉,手,啦,﹗,」,,
#,ngo5,zung1-ji3,tek3-bo1,#,zung1-ji3,ge3,tung4-hok6,geoi2,sau2,laa1,#,#,,
#,I,like,to play football,#,like,-,classmates,raise,hand,(particle),#,#,,
[12],,,,,,,,,,,,,,
「,我,鍾意,唱歌,，,有冇,人,都,鍾意,？,」,,,,
#,ngo5,zung1-ji3,coeng3-go1,#,jau5-mou5,jan4,dou1,zung1-ji3,#,#,,,,
#,I,like,to sing songs,#,have or haven't,people,also,like,#,#,,,,
[13],,,,,,,,,,,,,,
「,我,鍾意,食,包,，,有冇,人,都,成日,食,？,」,,
#,ngo5,zung1-ji3,sik6,baau1,#,jau5-mou5,jan4,dou1,sing4-jat6,sik6,#,#,,
#,I,like,to eat,bread,#,have or haven't,people,also,always,eat,#,#,,
