[0],,,,,,,,,,,,,,,,,,,,,,,
《,藍藍,同,黃色,大門,》,,,,,,,,,,,,,,,,,,
#,laam4-laam2,tung4,wong4-sik1,daai6-mun4,#,,,,,,,,,,,,,,,,,,
#,Lam Lam,and,yellow,main entrance,#,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,
星期六,上晝,，,藍藍,喺,屋企,做,緊,功課,。,,,,,,,,,,,,,,
sing1-kei4-luk6,soeng6-zau3,#,laam4-laam2,hai2,uk1-kei2,zou6,gan2,gung1-fo3,#,,,,,,,,,,,,,,
Saturday,morning,#,Lam Lam,at,home,to do,-ing,homework,#,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,
爸爸,話,：,「,爸爸,瞓,一陣,。,我,起身,嗰陣,，,,,,,,,,,,,,
baa4-baa1,waa6,#,#,baa4-baa1,fan3,jat1-zan6,#,ngo5,hei2-san1,go2-zan6,#,,,,,,,,,,,,
father,to say,#,#,father,to sleep,a while,#,I,to get up,that time,#,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,
你,要,做,好,晒,功課,㗎,！,」,,,,,,,,,,,,,,,
nei5,jiu3,zou6,hou2,saai3,gung1-fo3,gaa3,#,#,,,,,,,,,,,,,,,
you,to need,to do,well,all,homework,(particle),#,#,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,
藍藍,繼續,做,功課,。,做下,做下,，,佢,開始,覺得,眼瞓,。,,,,,,,,,,,
laam4-laam2,gai3-zuk6,zou6,gung1-fo3,#,zou6-haa5,zou6-haa5,#,keoi5,hoi1-ci2,gok3-dak1,ngaan5-fan3,#,,,,,,,,,,,
Lam Lam,to continue,to do,homework,#,to do,to do,#,she,to begin,to feel,sleepy,#,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,黃色,書包,變,得,越嚟越,大,，,,,,,,,,,,,,,,
ni1-go3,si4-hau6,#,wong4-sik1,syu1-baau1,bin3,dak1,jyut6-lai4-jyut6,daai6,#,,,,,,,,,,,,,,
this one,time,#,yellow,schoolbag,to change,(suffix),more and more,big,#,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,
最後,仲,出現,咗,一,道,黃色,大門,！,,,,,,,,,,,,,,,
zeoi3-hau6,zung6,ceot1-jin6,zo2,jat1,dou6,wong4-sik1,daai6-mun4,#,,,,,,,,,,,,,,,
at the end,even,to appear,-ed,one,(measure),yellow,main entrance,#,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,
藍藍,諗住,開門,入去,睇下,……,,,,,,,,,,,,,,,,,,
laam4-laam2,nam2-zyu6,hoi1-mun4,jap6-heoi3,tai2-haa5,#,,,,,,,,,,,,,,,,,,
Lam Lam,thinking about,to open the door,enter,to look,#,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,
點知,跌,咗,入,一個,又,黑,又,深,嘅,地方,！,,,,,,,,,,,,
dim2-zi1,dit3,zo2,jap6,jat1-go3,jau6,hak1,jau6,sam1,ge3,dei6-fong1,#,,,,,,,,,,,,
unexpectedly,to fall,-ed,to enter,one,also,black,also,deep,-,place,#,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,
「,哎吔,！,救命,呀,！,有冇,人,啊,？,」,,,,,,,,,,,,,
#,ai1-jaa3,#,gau3-meng6,aa4,#,jau5-mou5,jan4,aa3,#,#,,,,,,,,,,,,,
#,Oh,#,Help,(particle),#,have or haven't,human,(particle),#,#,,,,,,,,,,,,,
