[0],,,,,,,,,,,,,,
哮喘,發作,,,,,,,,,,,,,
haau1-cyun2,faat3-zok3,,,,,,,,,,,,,
asthma,attack,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,
場景,：,學校,操場,,,,,,,,,,,
coeng4-ging2,#,hok6-haau6,cou1-coeng4,,,,,,,,,,,
Scene,#,school,playground,,,,,,,,,,,
[2],,,,,,,,,,,,,,
老師,：,仲有,最後,兩,分鐘,！,,,,,,,,
lou5-si1,#,zung6-jau5,zeoi3-hau6,loeng5,fan1-zung1,#,,,,,,,,
teacher,#,still have,the last,two,minute,#,,,,,,,,
[3],,,,,,,,,,,,,,
志明,：,（,喘,）,跑,埋,最後,兩,分鐘,就,可以,休息,喇,⋯⋯
zi3-ming4,#,#,cyun2,#,paau2,maai4,zeoi3-hau6,loeng5,fan1-zung1,zau6,ho2-ji5,jau1-sik1,laa3,#
Chi Ming,#,#,gasping,#,run,also,the last,two,minute,and then,can,take a break,already,#
[4],,,,,,,,,,,,,,
偉俊,：,志明,，,你,冇嘢,吖嘛,？,,,,,,,
wai5-zeon3,#,zi3-ming4,#,nei5,mou5-je5,aa1-maa3,#,,,,,,,
Wai Chun,#,Chi Ming,#,you,fine,right?,#,,,,,,,
[5],,,,,,,,,,,,,,
志明,：,我,……,有啲,唞唔到,氣,呀,⋯⋯,,,,,,
zi3-ming4,#,ngo5,#,jau5-di1,tau2-m4-dou2,hei3,aa3,#,,,,,,
Chi Ming,#,I,#,a bit,cannot breathe,air,(particle),#,,,,,,
[6],,,,,,,,,,,,,,
偉俊,：,係咪,哮喘,發作,呀,？,,,,,,,,
wai5-zeon3,#,hai6-mai6,haau1-cyun2,faat3-zok3,aa3,#,,,,,,,,
Wai Chun,#,is it,asthma,attack,(particle),#,,,,,,,,
[7],,,,,,,,,,,,,,
志明,：,（,點頭,）,係,呀,⋯⋯,,,,,,,
zi3-ming4,#,#,dim2-tau4,#,hai6,aa3,#,,,,,,,
Chi Ming,#,#,nod,#,is,(particle),#,,,,,,,
[8],,,,,,,,,,,,,,
偉俊,：,我哋,停低,休息下,先,啦,，,慢慢,呼吸,。,老師,！,老師,！
wai5-zeon3,#,ngo5-dei6,ting4-dai1,jau1-sik1-haa5,sin1,laa1,#,maan6-maan2,fu1-kap1,#,lou5-si1,#,lou5-si1,#
Wai Chun,#,we,stop,take a break,first,(particle),#,slowly,breathe,#,teacher,#,teacher,#
[9],,,,,,,,,,,,,,
老師,：,偉俊,，,發生,咩,事,呀,？,,,,,,
lou5-si1,#,wai5-zeon3,#,faat3-sang1,me1,si6,aa3,#,,,,,,
teacher,#,Wai Chun,#,happen,what,matter,(ptcl.),#,,,,,,
[10],,,,,,,,,,,,,,
偉俊,：,志明,哮喘,發作,呀,。,,,,,,,,
wai5-zeon3,#,zi3-ming4,haau1-cyun2,faat3-zok3,aa3,#,,,,,,,,
Wai Chun,#,Chi Ming,asthma,attack,(particle),#,,,,,,,,
[11],,,,,,,,,,,,,,
老師,：,志明,，,慢慢,坐低,呼吸,。,,,,,,,
lou5-si1,#,zi3-ming4,#,maan6-maan2,co5-dai1,fu1-kap1,#,,,,,,,
teacher,#,Chi Ming,#,slowly,sit down,breathe,#,,,,,,,
[12],,,,,,,,,,,,,,
平時,你,哮喘,發作,嗰陣,會,點,做,㗎,？,,,,,
ping4-si4,nei5,haau1-cyun2,faat3-zok3,go2-zan6,wui5,dim2,zou6,gaa3,#,,,,,
usually,you,asthma,attack,that time,will,how,do,(particle),#,,,,,
[13],,,,,,,,,,,,,,
志明,：,我,有,支,哮喘,藥,……,,,,,,,
zi3-ming4,#,ngo5,jau5,zi1,haau1-cyun2,joek6,#,,,,,,,
Chi Ming,#,I,have,(measure),asthma,medicine,#,,,,,,,
[14],,,,,,,,,,,,,,
老師,：,你,支,哮喘,藥,放,咗,喺,邊度,呀,？,,,
lou5-si1,#,nei5,zi1,haau1-cyun2,joek6,fong3,zo2,hai2,bin1-dou6,aa3,#,,,
teacher,#,you,(measure),asthma,medicine,put,-ed,at,where,(particle),#,,,
[15],,,,,,,,,,,,,,
志明,：,⋯⋯,更衣室,⋯⋯,,,,,,,,,,
zi3-ming4,#,#,gang1-ji1-sat1,#,,,,,,,,,,
Chi Ming,#,#,changing room,#,,,,,,,,,,
[16],,,,,,,,,,,,,,
老師,：,偉俊,，,你,可唔可以,幫手,,,,,,,,
lou5-si1,#,wai5-zeon3,#,nei5,ho2-m4-ho2-ji5,bong1-sau2,,,,,,,,
teacher,#,Wai Chun,#,you,can or cannot,help,,,,,,,,
[17],,,,,,,,,,,,,,
攞,志明,支,哮喘,藥,過嚟,呀,？,,,,,,,
lo2,zi3-ming4,zi1,haau1-cyun2,joek6,gwo3-lai4,aa3,#,,,,,,,
take,Chi Ming,(measure),asthma,medicine,over here,(particle),#,,,,,,,
[18],,,,,,,,,,,,,,
偉俊,：,知道,。,,,,,,,,,,,
wai5-zeon3,#,zi1-dou3,#,,,,,,,,,,,
Wai Chun,#,know,#,,,,,,,,,,,
[19],,,,,,,,,,,,,,
（,偉俊,攞,咗,哮喘,吸入器,過嚟,）,,,,,,,
#,wai5-zeon3,lo2,zo2,haau1-cyun2,kap1-jap6-hei3,gwo3-lai4,#,,,,,,,
#,Wai Chun,take,-ed,asthma,inhaler,over here,#,,,,,,,
[20],,,,,,,,,,,,,,
偉俊,：,呢,支,藥,係咪,你,㗎,？,,,,,,
wai5-zeon3,#,ni1,zi1,joek6,hai6-mai6,nei5,gaa3,#,,,,,,
Wai Chun,#,this,(meas.),medicine,is or isn't,you,(particle),#,,,,,,
[21],,,,,,,,,,,,,,
志明,：,（,點頭,）,,,,,,,,,,
zi3-ming4,#,#,dim2-tau4,#,,,,,,,,,,
Chi Ming,#,#,nod,#,,,,,,,,,,
[22],,,,,,,,,,,,,,
偉俊,：,要,用,幾多,下,呀,？,,,,,,,
wai5-zeon3,#,jiu3,jung6,gei2-do1,haa5,aa3,#,,,,,,,
Wai Chun,#,have to,use,how many,time,(ptcl.),#,,,,,,,
[23],,,,,,,,,,,,,,
志明,：,……,四,下,……,,,,,,,,,
zi3-ming4,#,#,sei3,haa5,#,,,,,,,,,
Chi Ming,#,#,four,time,#,,,,,,,,,
[24],,,,,,,,,,,,,,
（,使用,哮喘,吸入器,後,）,,,,,,,,,
