[1a],,,,,,,,,,,,,,,,,,
今朝,起身,，,媽媽,同,我,講,早晨,。,我,都,同,媽媽,講,早晨,。,,,
gam1-ziu1,hei2-san1,#,maa4-maa1,tung4,ngo5,gong2,zou2-san4,#,ngo5,dou1,tung4,maa4-maa1,gong2,zou2-san4,#,,,
this morning,get up,#,mother,with,me,say,good morning,#,I,also,with,mother,say,good morning,#,,,
[1b],,,,,,,,,,,,,,,,,,
媽媽,對住,我,笑,。,,,,,,,,,,,,,,
maa4-maa1,deoi3-zyu6,ngo5,siu3,#,,,,,,,,,,,,,,
mother,towards,me,smile,#,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,
喺,學校,，,我,見到,陳,老師,。,我,同,陳,老師,講,早晨,，,,,,
hai2,hok6-haau6,#,ngo5,gin3-dou2,Can4,lou5-si1,#,ngo5,tung4,Can4,lou5-si1,gong2,zou2-san4,#,,,,
at,school,#,I,see,Chan,teacher,#,I,with,Chan,teacher,say,good morning,#,,,,
[2b],,,,,,,,,,,,,,,,,,
陳,老師,都,同,我,講,早晨,，,仲,讚,我,乖,。,,,,,,
Can4,lou5-si1,dou1,tung4,ngo5,gong2,zou2-san4,#,zung6,zaan3,ngo5,gwaai1,#,,,,,,
Chan,teacher,also,with,me,say,good morning,#,even,praise,me,well-behaved,#,,,,,,
[3a],,,,,,,,,,,,,,,,,,
入到,班房,，,我,見到,小明,。,小明,係,我,嘅,好,朋友,。,,,,,
jap6-dou3,baan1-fong2,#,ngo5,gin3-dou2,Siu2-ming4,#,Siu2-ming4,hai6,ngo5,ge3,hou2,pang4-jau5,#,,,,,
get into,classroom,#,I,see,Siu Ming,#,Siu Ming,is,I, 's,good,friend,#,,,,,
[3b],,,,,,,,,,,,,,,,,,
我,同,小明,講,早晨,，,小明,都,同,我,講,早晨,，,仲,同,我,拍,手,，
ngo5,tung4,Siu2-ming4,gong2,zou2-san4,#,Siu2-ming4,dou1,tung4,ngo5,gong2,zou2-san4,#,zung6,tung4,ngo5,paak3,sau2,#
I,with,Siu Ming,say,good morning,#,Siu Ming,also,with,me,say,good morning,#,even,with,me,hit,hands,#
[3c],,,,,,,,,,,,,,,,,,
我,好,開心,。,,,,,,,,,,,,,,,
ngo5,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,
I,very,happy,#,,,,,,,,,,,,,,,
