[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出街,食飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceot1-gaai1,sik6-faan6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go out,to have a meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,爸爸,媽媽,同,我,出街,食飯,。,我哋,去,到,餐廳,坐低,。,叔叔,問,我哋,食,乜嘢,，,爸爸,答,：,「,呢個,，,呢個,，,同,呢個,。,」,,,,,,,,,,,,,,,,
gam1-jat6,baa4-baa1,maa4-maa1,tung4,ngo5,ceot1-gaai1,sik6-faan6,#,ngo5-dei6,heoi3,dou3,caan1-teng1,co5-dai1,#,suk1-suk1,man6,ngo5-dei6,sik6,mat1-je5,#,baa4-baa1,daap3,#,#,ni1-go3,#,ni1-go3,#,tung4,ni1-go3,#,#,,,,,,,,,,,,,,,,
today,father,mother,with,me,go out,to have a meal,#,we,go,to,restaurant,sit down,#,uncle,ask,us,eat,what,#,father,reply,#,#,this one,#,this one,#,and,this one,#,#,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啲,嘢食,嚟,咗,，,枱,上面,有,一,碟,魚,，,一,碟,菜,同,一,碟,肉,。,爸爸,食,一碗,飯,多,少少,，,媽媽,食,一,碗,飯,，,我,食,少少,飯,。,,,,,,,,,,
di1,je5-sik6,lai4,zo2,#,toi2,soeng6-min6,jau5,jat1,dip6,jyu2,#,jat1,dip6,coi3,tung4,jat1,dip6,juk6,#,baa4-baa1,sik6,jat1-wun2,faan6,do1,siu2-siu2,#,maa4-maa1,sik6,jat1,wun2,faan6,#,ngo5,sik6,siu2-siu2,faan6,#,,,,,,,,,,
some,food,come,-ed,#,table,above,there is,a,dish of,fish,#,a,dish of,   vegetables,and,one,dish of,meat,#,father,eat,a bowl of,rice,more,a bit,#,mother,eat,a,bowl of,rice,#,I,eat,a bit of,rice,#,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食完,飯,，,姨姨,問,我哋,：,「,飲,唔,飲,湯,？,」,媽媽,話,：,「,好,啊,！,兩,碗,，,唔該,！,」,姨姨,放,低,兩,碗,湯,，,媽媽,叫,我,試下,自己,飲,湯,。,,,,,,
sik6-jyun4,faan6,#,ji1-ji1,man6,ngo5-dei6,#,#,jam2,m4,jam2,tong1,#,#,maa4-maa1,waa6,#,#,hou2,aa3,#,loeng5,wun2,#,m4-goi1,#,#,ji1-ji1,fong3,dai1,loeng5,wun2,tong1,#,maa4-maa1,giu3,ngo5,si3-haa5,zi6-gei2,jam2,tong1,#,,,,,,
finish eating,meal,#,auntie,ask,us,#,#,drink,not,drink,soup,#,#,mother,say,#,#,okay,(particle),#,two,bowl,#,thanks,#,#,auntie,put,down,two,bowl,soup,#,mother,call,me,to try,myself,drink,soup,#,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,想,學,爸爸,拎,住,碗,湯,飲,，,我,掂下,個,碗,，,碗,湯,好,熱,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
