[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,今年,四歲,，,讀,K2,。,我,好多,嘢,諗,，,因為,我,有,好多,嘢,唔明,。,,,,,,,,,,,,,,,,,,,,,
ngo5,gam1-nin4,sei3-seoi3,#,duk6,kei1-tu1,#,ngo5,hou2-do1,je5,nam2,#,jan1-wai6,ngo5,jau5,hou2-do1,je5,m4-ming4,#,,,,,,,,,,,,,,,,,,,,,
I,this year,four years old,#,study,kindergarten 2,#,I,many,things,think,#,because,I,have,many,things,don't understand,#,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好似,今日,上晝,噉,，,爸爸,媽媽,同,我,出去,玩,。,我哋,首先,搭,地鐵,，,我,唔鍾意,；,,,,,,,,,,,,,,,,,,,,
hou2-ci5,gam1-jat6,soeng6-zau3,gam2,#,baa4-baa1,maa4-maa1,tung4,ngo5,ceot1-heoi3,waan2,#,ngo5-dei6,sau2-sin1,daap3,dei6-tit3,#,ngo5,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,
like,today,morning,it's like,#,father,mother,and,I,go out,to play,#,we,first of all,take,MTR,#,I,don't like,#,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,我哋,坐,船,，,我,唔鍾意,；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,ngo5-dei6,co5,syun4,#,ngo5,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,we,take,boat,#,I,don't like,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,我哋,轉,搭,電車,，,我,都,唔鍾意,；,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gan1-zyu6,ngo5-dei6,zyun3,daap3,din6-ce1,#,ngo5,dou1,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and then,we,change,to take,tram,#,I,also,don't like,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,我哋,仲,坐,小巴,同,巴士,，,我,全部,唔鍾意,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-loi4,ngo5-dei6,zung6,co5,siu2-baa1,tung4,baa1-si2,#,ngo5,cyun4-bou6,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,we,even,take,minibus,and,bus,#,I,all,don't like,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,鍾意,車仔,，,我,問,爸爸,媽媽,點解,唔坐,車仔,，,爸爸,媽媽,話,要,搭,公共,交通工具,，,我,唔明,。,,,,,,,,,,,,,,,,,
ngo5,zung1-ji3,ce1-zai2,#,ngo5,man6,baa4-baa1,maa4-maa1,dim2-gaai2,m4-co5,ce1-zai2,#,baa4-baa1,maa4-maa1,waa6,jiu3,daap3,gung1-gung6,gaau1-tung1-gung1-geoi6,#,ngo5,m4-ming4,#,,,,,,,,,,,,,,,,,
I,like,little cars,#,I,ask,father,mother,why,don't take,little cars,#,father,mother,say,have to,take,public,transportation tool,#,I,don't understand,#,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,晏晝,爸爸,媽媽,同,我,去,一,個,地方,睇,動物,，,嗰度,有,汪汪,叫,嘅,狗仔,，,我,唔鍾意,；,有,喵喵,叫,嘅,貓仔,，,我,唔鍾意,；,,,,,,,,
gam1-jat6,aan3-zau3,baa4-baa1,maa4-maa1,tung4,ngo5,heoi3,jat1,go3,dei6-fong1,tai2,dung6-mat6,#,go2-dou6,jau5,wong1-wong1,giu3,ge3,gau2-zai2,#,ngo5,m4-zung1-ji3,#,jau5,meu1-meu1,giu3,ge3,maau1-zai2,#,ngo5,m4-zung1-ji3,#,,,,,,,,
today,afternoon,father,mother,and,I,go to,one,(measure),place,to see,animals,#,there,have,woof woof,shout,-,puppy,#,I,don't like,#,have,meow meow,shout,-,kitten,#,I,don't like,#,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,喺,籠,裏面,跑,嘅,倉鼠,，,我,唔鍾意,；,有,食,緊,草,嘅,兔仔,，,我,唔鍾意,；,,,,,,,,,,,,,,,,,,,
jau5,hai2,lung4,leoi5-min6,paau2,ge3,cong1-syu2,#,ngo5,m4-zung1-ji3,#,jau5,sik6,gan2,cou2,ge3,tou3-zai2,#,ngo5,m4-zung1-ji3,#,,,,,,,,,,,,,,,,,,,
there is,at,cage,inside,run,-,hamster,#,I,don't like,#,there is,eat,-ing,grass,-,rabbit,#,I,don't like,#,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
