[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朝早,，,太陽,出嚟,，,熱,醒,咗,蟲仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziu1-zou2,#,taai3-joeng4,ceot1-lai4,#,jit6,seng2,zo2,Cung4-Zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morning,#,the sun,come out,#,hot,to wake up,-ed,Caterpillar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,醒,咗,之後,，,望,住,鏡,入面,嘅,自己,，,青B B,、,黃色,一點點,，,就,覺得,自己,唔靚,。,,,,,,,,,,,,,,,,,,,,,,,,
Cung4-Zai2,seng2,zo2,zi1-hau6,#,mong6,zyu6,geng3,jap6-min6,ge3,zi6-gei2,#,ceng1-bi1-bi1,#,wong4-sik1,jat1-dim2-dim2,#,zau6,gok3-dak1,zi6-gei2,m4-leng3,#,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,wake up,-ed,after,#,look,-ing,mirror,inside,-,itself,#,blue-green,#,yellow,dots,#,as a result,feel,itself,not beautiful,#,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,一啲,都,唔靚,，,冇,動物,會,鍾意,我,。,」,蟲仔,唔開心,，,於是,去,問,其他,動物,佢,靚唔靚,。,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jat1-di1,dou1,m4-leng3,#,mou5,dung6-mat6,wui5,zung1-ji3,ngo5,#,#,Cung4-Zai2,m4-hoi1-sam1,#,jyu1-si6,heoi3,man6,kei4-taa1,dung6-mat6,keoi5,leng3-m4-leng3,#,,,,,,,,,,,,,,,,,,,,,,
#,I,a bit,all,not beautiful,#,don't have,animal,will,like,me,#,#,Caterpillar,not happy,#,so,go,to ask,other,animals,it,beautiful or not beautiful,#,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,見到,狗,哥哥,。,「,狗,哥哥,，,我,靚唔靚,啊,？,」,狗,哥哥,好,高,、,好,大隻,，,好多,動物,都,鍾意,佢,，,佢,都,好,鍾意,其他,動物,。,,,,,,,,,,,
Cung4-Zai2,gin3-dou2,gau2,go4-go1,#,#,gau2,go4-go1,#,ngo5,leng3-m4-leng3,aa3,#,#,gau2,go4-go1,hou2,gou1,#,hou2,daai6-zek3,#,hou2-do1,dung6-mat6,dou1,zung1-ji3,keoi5,#,keoi5,dou1,hou2,zung1-ji3,kei4-taa1,dung6-mat6,#,,,,,,,,,,,
Caterpillar,see,dog,elder brother,#,#,dog,elder brother,#,I,beautiful or not beautiful,(particle),#,#,dog,elder brother,very,tall,#,very,big,#,many,animals,also,like,it,#,it,also,really,like,other,animals,#,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,靚,啊,！,我,覺得,隻隻,動物,都,好,靚,。,」,蟲仔,聽到,狗,哥哥,噉,講,，,有,少少,開心,，,然後,走,咗,。,,,,,,,,,,,,,,,,,,
#,leng3,aa3,#,ngo5,gok3-dak1,zek3-zek3,dung6-mat6,dou1,hou2,leng3,#,#,Cung4-Zai2,teng1-dou2,gau2,go4-go1,gam2,gong2,#,jau5,siu2-siu2,hoi1-sam1,#,jin4-hau6,zau2,zo2,#,,,,,,,,,,,,,,,,,,
#,beautiful,(particle),#,I,feel,every,animal,all,very,beautiful,#,#,Caterpillar,hear,dog,elder brother,in this way,say,#,have,a bit,happy,#,then,leave,-ed,#,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,見到,貓,姐姐,。,「,貓,姐姐,，,我,靚唔靚,啊,？,」,貓,姐姐,冇,答,蟲仔,；,佢,係,聽,唔到,，,定係,唔睬,蟲仔,呢,？,蟲仔,望,住,貓,姐姐,，,佢,啲,毛,白雪雪,，,蟲仔,覺得,好,靚,。
Cung4-Zai2,gin3-dou2,maau1,ze4-ze1,#,#,maau1,ze4-ze1,#,ngo5,leng3-m4-leng3,aa3,#,#,maau1,ze4-ze1,mou5,daap3,Cung4-Zai2,#,keoi5,hai6,teng1,m4-dou2,#,ding6-hai6,m4-coi2,Cung4-Zai2,ne1,#,Cung4-Zai2,mong6,zyu6,maau1,ze4-ze1,#,keoi5,di1,mou4,baak6-syut1-syut1,#,Cung4-Zai2,gok3-dak1,hou2,leng3,#
Caterpillar,see,cat,elder sister,#,#,cat,elder sister,#,I,beautiful or not beautiful,(particle),#,#,cat,elder sister,didn't,reply,Caterpillar,#,it,is,hear,cannot,#,or,don't respond,Caterpillar,(particle),#,Caterpillar,look,-ing,cat,elder sister,#,it,those,fur,as white as snow,#,Caterpillar,feel,very,beautiful,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等,咗,一陣,，,貓,姐姐,答,：,「,我,最,靚,。,」,然後,貓,姐姐,就,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,
dang2,zo2,jat1-zan6,#,maau1,ze4-ze1,daap3,#,#,ngo5,zeoi3,leng3,#,#,jin4-hau6,maau1,ze4-ze1,zau6,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,
wait,-ed,a while,#,cat,elder sister,reply,#,#,I,the most,beautiful,#,#,and then,cat,elder sister,then,leave,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,又,見到,牛,伯伯,。,「,牛,伯伯,，,我,靚唔靚,啊,？,」,牛,伯伯,笑,住,講,：,「,傻仔,。,如果,你,覺得,自己,靚,，,噉,你,就,靚,㗎喇,。,」,,,,,,,,,
Cung4-Zai2,jau6,gin3-dou2,ngau4,baak3-baak3,#,#,ngau4,baak3-baak3,#,ngo5,leng3-m4-leng3,aa3,#,#,ngau4,baak3-baak3,siu3,zyu6,gong2,#,#,so4-zai2,#,jyu4-gwo2,nei5,gok3-dak1,zi6-gei2,leng3,#,gam2,nei5,zau6,leng3,gaa3-laa3,#,#,,,,,,,,,
Caterpillar,again,see,cow,uncle,#,#,cow,uncle,#,I,beautiful or not beautiful,(particle),#,#,cow,uncle,laugh,-ing,say,#,#,stupid boy,#,if,you,feel,yourself,beautiful,#,then,you,are,beautiful,(particle),#,#,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
