[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐龍,樂園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hung2-lung4,lok6-jyun4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinosaur,paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家,好,，,我,叫,阿魚,，,今日,啱啱,十,歲,。,我,之前,晚,晚,都,會,發,一個,好,真,嘅,夢,，,好似,真係,去,咗,一個,地方,，,我,叫,嗰個,地方,做,恐龍,樂園,，,入面,有,好多,唔同,嘅,恐龍,。,我,第一,次,去,嗰陣,仲係,得,七,歲,，,第一,眼,係,見到,隻,恐龍,蛋,。,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1,hou2,#,ngo5,giu3,aa3-jyu2,#,gam1-jat6,ngaam1-ngaam1,sap6,seoi3,#,ngo5,zi1-cin4,maan5,maan5,dou1,wui5,faat3,jat1-go3,hou2,zan1,ge3,mung6,#,hou2-ci5,zan1-hai6,heoi3,zo2,jat1-go3,dei6-fong1,#,ngo5,giu3,go2-go3,dei6-fong1,zou6,hung2-lung4,lok6-jyun4,#,jap6-min6,jau5,hou2-do1,m4-tung4,ge3,hung2-lung4,#,ngo5,dai6-jat1,ci3,heoi3,go2-zan2,zung6-hai6,dak1,cat1,seoi3,#,dai6-jat1,ngaan5,hai6,gin3-dou2,zek3,hung2-lung4,daan2,#,,,,,,,,,,,,,,,,,,,,,
everyone,good,#,I,called,Ah Yu,#,today,just now,ten,year-old,#,I,before,night,night,also,will,have,one (measure),very,realistic,(linker),dream,#,seems,really,go,-en,one (measure),place,#,I,call,that,place,to be,dinosaur,paradise,#,inside,have,many,different,(linker),dinosaur,#,I,first,time ,go,that time,still,only,seven,year-old,#,first,sight,is,see,(measure),dinosaur,egg,#,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,有,隻,恐龍,喺,蛋,入面,走,出嚟,，,我,驚,到,嗌,咗,一,聲,！,但,睇見,隻,恐龍,傻,傻,望住,我,個,樣,，,我,忍唔住,笑,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,jau5,zek3,hung2-lung4,hai2,daan2,jap6-min6,zau2,ceot1-lai4,#,ngo5,geng1,dou3,aai3,zo2,jat1,seng1,#,daan6,tai2-gin3,zek3,hung2-lung4,so4,so4,mong6-zyu6,ngo5,go3,joeng2,#,ngo5,jan2-m4-zyu6,siu3,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,have,(measure),dinosaur,at,egg,inside,go,come out,#,I,afraid,to,shout,-en,one,sound,#,but,see,(measure),dinosaur,silly,silly,staring,I,(measure),face,#,I,cannot help,laugh,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隻,恐龍,仔,咁,細,隻,，,我,估,我,BB,嗰陣,都,應該,大隻,過,佢,。,我,同,佢,講,：,「,不如,我,叫,你,恐龍,仔,啦,。,」,佢,好,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zek3,hung2-lung4,zai2,gam3,sai3,zek3,#,ngo5,gu2,ngo5,bi4-bi1,go2-zan2,dou1,jing1-goi1,daai6-zek3,gwo3,keoi5,#,ngo5,tung4,keoi5,gong2,#,#,bat1-jyu4,ngo5,giu3,nei5,hung2-lung4,zai2,laa1,#,#,keoi5,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
