[0],,,,,,,,,,,,,,,,,,,,,,,,,,
問,路,,,,,,,,,,,,,,,,,,,,,,,,,
man6,lou6,,,,,,,,,,,,,,,,,,,,,,,,,
to ask,road,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,
今日,我,同,媽媽,去,探,公公,同,婆婆,。,,,,,,,,,,,,,,,,,
gam1-jat6,ngo5,tung4,maa4-maa1,heoi3,taam3,gung4-gung1,tung4,po4-po2,#,,,,,,,,,,,,,,,,,
today,I,and,mother,to go,to visit,grandfather,and,grandmother,#,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,
公公,婆婆,屋企,好,遠,，,我,好少,見,佢哋,。,,,,,,,,,,,,,,,,
gung4-gung1,po4-po2,uk1-kei2,hou2,jyun5,#,ngo5,hou2-siu2,gin3,keoi5-dei6,#,,,,,,,,,,,,,,,,
grandfather,grandmother ,home,very,far,#,I,little,to meet,they,#,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,
搭,巴士,搭,咗,好,耐,。,落,車,之後,，,有,一個,公園,。,我哋,行,咗,入去,。,,,,,,,
daap3,baa1-si2,daap3,zo2,hou2,noi6,#,lok6,ce1,zi1-hau6,#,jau5,jat1-go3,gung1-jyun4,#,ngo5-dei6,haang4,zo2,jap6-heoi3,#,,,,,,,
to take,bus,to take,-ed,very,long time,#,get off,car,after,#,have,one,park,#,we,to walk,-ed,inside,#,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,
公園,好,大,，,好多,嘢,玩,。,我,想,喺度,玩,一陣,，,媽媽,唔想,。,,,,,,,,,,
gung1-jyun4,hou2,daai6,#,hou2-do1,je5,waan2,#,ngo5,soeng2,hai2-dou6,waan2,jat1-zan6,#,maa4-maa1,m4-soeng2,#,,,,,,,,,,
park,very,big,#,many,thing,to play,#,I,to want,right here,to play,a while,#,mother,don't want,#,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,
行,咗,一陣,，,媽媽,突然,停,低,，,望下,左,，,望下,右,。,佢,唔知,行,邊,好,。,,,,,,
haang4,zo2,jat1-zan6,#,maa4-maa1,dat6-jin4,ting4,dai1,#,mong6-haa5,zo2,#,mong6-haa5,jau6,#,keoi5,m4-zi1,haang4,bin1,hou2,#,,,,,,
to walk,-ed,a while,#,mother,suddenly,to stop,down,#,to look,left,#,to look,right,#,she,not know,to walk,where,good,#,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,問,我,：,「,家欣,，,你,知,唔,知道,，,點,去,公公,婆婆,屋企,啊,？,」,,,,,,,
maa4-maa1,man6,ngo5,#,#,gaa1-jan1,#,nei5,zi1,m4,zi1-dou3,#,dim2,heoi3,gung4-gung1,po4-po2,uk1-kei2,aa3,#,#,,,,,,,
mother,to ask,I,#,#,Ka Yan,#,you,to know,not,to know,#,how,to go,grandfather,grandmother,home,(particle),#,#,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,
我,唔,知道,，,唔記得,咗,。,,,,,,,,,,,,,,,,,,,,
ngo5,m4,zi1-dou3,#,m4-gei3-dak1,zo2,#,,,,,,,,,,,,,,,,,,,,
I,not,to know,#,to forget,-ed,#,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,不如,你,試下,問,人,啦,。,之後,一定,要,同,人,講,唔該,啊,。,」,,,,,,
