[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食,橙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sik6,caang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,由細到大,都,好,鍾意,食,生果,，,特別係,鍾意,食,橙,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,jau4-sai3-dou3-daai6,dou1,hou2,zung1-ji3,sik6,saang1-gwo2,#,dak6-bit6-hai6,zung1-ji3,sik6,caang2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,from small to big,also,really,like,to eat,fruits,#,especially,like,to eat,orange,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,問,我,點解,鍾意,食,橙,，,我,都,唔係,好,記得,喇,。,晚晚,放工,返到,屋企,就係,一路,食,橙,，,一路,睇,電視,。,,,,,,,,,,,,,,,
nei5,man6,ngo5,dim2-gaai2,zung1-ji3,sik6,caang2,#,ngo5,dou1,m4-hai6,hou2,gei3-dak1,laa3,#,maan5-maan5,fong3-gung1,faan1-dou3,uk1-kei2,zau6-hai6,jat1-lou6,sik6,caang2,#,jat1-lou6,tai2,din6-si6,#,,,,,,,,,,,,,,,
you,ask,me,why,like,to eat,orange,#,I,also,do not,very,remember,(particle),#,every night,off work,returned,home,exactly,while,eat,orange,#,while,watch,TV,#,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有次,睇睇吓,電視,瞓着,咗,，,夢見,自己,變,咗,做,橙汁,大王,，,好耐冇見,嘅,媽媽,就,變,咗,做,橙汁,魔法師,，,同,我,一齊,喺,橙橙國,入面,玩,同,食,橙,。,,,,,,,,
jau5-ci3,tai2-tai2-haa5,din6-si6,fan3-zoek6,zo2,#,mung6-gin3,zi6-gei2,bin3,zo2,zou6,caang2-zap1,daai6-wong4,#,hou2-noi6-mou5-gin3,ge3,maa4-maa1,zau6,bin3,zo2,zou6,caang2-zap1,mo1-faat3-si1,#,tung4,ngo5,jat1-cai4,hai2,caang2-caang2-gwok3,jap6-min6,waan2,tung4,sik6,caang2,#,,,,,,,,
one time,watched and watched,TV,fall asleep,-ed,#,dream,myself,change,-ed,to become,orange juice,king,#,long time no see,-,mother,then,change,-ed,to become,orange juice,magician,#,with,me,together,at,orange country,inside,play,and,eat,orange,#,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,我,醒,返,嗰陣,已經,係,第二,朝,，,見到,嘅,嘢,好多,都,已經,唔記得,咗,，,即刻,沖涼,又,返工,。,,,,,,,,,,,,,,,,,,,
dou3,ngo5,seng2,faan1,go2-zan6,ji5-ging1,hai6,dai6-ji6,ziu1,#,gin3-dou2,ge3,je5,hou2-do1,dou1,ji5-ging1,m4-gei3-dak1,zo2,#,zik1-hak1,cung1-loeng4,jau6,faan1-gung1,#,,,,,,,,,,,,,,,,,,,
until,I,wake up,back,that time,already,is,the next,morning,#,see,-,things,many,also,already,forget,-ed,#,immediately,take a shower,again,go to work,#,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
