[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇,反應,冇,呼吸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou5,faan2-jing3,mou5,fu1-kap1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,reaction,no,breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
場景,：,家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coeng4-ging2,#,gaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scene,#,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,嫲嫲,，,我,返嚟,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,maa4-maa4,#,ngo5,faan1-lai4,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,grandmother (father's mother),#,I,come back,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,冇人,應聲,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mou5-jan4,jing3-seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nobody,respond,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,四處,張望,）,唔,應,我,嘅,？,唔通,出,咗,去,？,嫲嫲,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,sei3-cyu3,zoeng1-mong6,#,m4,jing3,ngo5,ge2,#,m4-tung1,ceot1,zo2,heoi3,#,maa4-maa4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,everywhere,look,#,not,respond,I,(particle),#,could it be,go,-ed,out,#,grandmother (father's mother),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,發現,嫲嫲,倒,卧,喺,地上,，,面色,蒼白,，,冇,呼吸,，,胸口,冇,起伏,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,faat3-jin6,maa4-maa4,dou2,ngo6,hai2,dei6-soeng6,#,min6-sik1,cong1-baak6,#,mou5,fu1-kap1,#,hung1-hau2,mou5,hei2-fuk6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,find out,grandmother (father's mother),fall,lie down,at,on the ground,#,complexion,pale,#,no,breath,#,chest,no,rise and fall,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,衝,埋去,）,嫲嫲,！,嫲嫲,！,（,搖,佢,膊頭,）,你,聽唔聽到,我,講嘢,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,cung1,maai4-heoi3,#,maa4-maa4,#,maa4-maa4,#,#,jiu4,keoi5,bok3-tau4,#,nei5,teng1-m4-teng1-dou2,ngo5,gong2-je5,aa4,#,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,rush,over,#,grandmother (father's mother),#,grandmother (father's mother),#,#,shake,her,shoulder,#,you,can hear or not,I,speak,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,鄰居,姨姨,經過,門口,，,聽到,叫聲,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,leon4-geoi1,ji1-ji1,ging1-gwo3,mun4-hau2,#,teng1-dou2,giu3-sing1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,neighbour,auntie,pass by,doorway,#,hear,scream,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,：,（,拍,門,）,偉俊,，,發生,咩,事,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-ji1,#,#,paak3,mun4,#,wai5-zeon3,#,faat3-sang1,me1,si6,aa4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auntie,#,#,knock,door,#,Wai Chun,#,happen,what,matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,大叫,）,嫲嫲,瞓,咗,喺,地下,，,面色,蒼白,，,冇,呼吸,，,叫,佢,冇,反應,呀,！,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,daai6-giu3,#,maa4-maa4,fan3,zo2,hai2,dei6-haa2,#,min6-sik1,cong1-baak6,#,mou5,fu1-kap1,#,giu3,keoi5,mou5,faan2-jing3,aa4,#,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,shout,#,grandmother (father's mother),lie,-ed,on,floor,#,complexion,pale,#,no,breath,#,call,her,no,reaction,(particle),#,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,：,唔好,緊張,，,我,有,學,過,急救,，,你,開門,俾,我,入嚟,幫,嫲嫲,啦,。,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-ji1,#,m4-hou2,gan2-zoeng1,#,ngo5,jau5,hok6,gwo3,gap1-gau3,#,nei5,hoi1-mun4,bei2,ngo5,jap6-lai4,bong1,maa4-maa4,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
auntie,#,don't be,nervous,#,I,have,study,-ed,first aid,#,you,open the door,let,me,come in,to help,grandmother (father's mother),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,開門,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hoi1-mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,open the door,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,姨姨,用,十,秒,時間,檢查,頸,動脈,脈搏,，,同時,觀察,胸口,起伏,以,檢查,呼吸,）,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji1-ji1,jung6,sap6,miu5,si4-gaan3,gim2-caa4,geng2,dung6-mak6,mak6-bok3,#,tung4-si4,gun1-caat3,hung1-hau2,hei2-fuk6,ji5,gim2-caa4,fu1-kap1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,auntie,use,ten,second,time,examine,neck,artery,pulse,#,at the same time,observe,chest,rise and fall,to,examine,breath,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,：,偉俊,，,立即,打,999,叫,救護車,。,同埋,打,去,管理處,叫,佢哋,攞,部,自動體外心臟去顫器,上嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-ji1,#,wai5-zeon3,#,lap6-zik1,daa2,gau2-gau2-gau2,giu3,gau3-wu6-ce1,#,tung4-maai4,daa2,heoi3,gun2-lei5-cyu3,giu3,keoi5-dei6,lo2,bou6,zi6-dung6-tai2-ngoi6-sam1-zong6-heoi3-zin3-hei3,soeng5-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,
auntie,#,Wai Chun,#,immediately,call,999,to call,ambulance,#,and,call,to,management office,ask,them,take,(measure),Automated External Defibrillator (AED),come up,#,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,姨姨,打開,嫲嫲,件,衫,做,心外壓,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji1-ji1,daa2-hoi1,maa4-maa4,gin6,saam1,zou6,sam1-ngoi6-aat3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,auntie,open,grandmother (father's mother),(measure),clothes,do,CPR,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,救護員,到場,接手,繼續,進行,心外壓,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gau3-wu6-jyun4,dou3-coeng4,zip3-sau2,gai3-zuk6,zeon3-hang4,sam1-ngoi6-aat3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,first responder,arrive,takeover,continue,carry out,chest compression,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,婆婆,係,你哋,邊個,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,po4-po2,hai6,nei5-dei6,bin1-go3,aa4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first responder,#,old woman,is,you (plural),who,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,：,我,係,鄰居,，,呢個,係,佢,個,孫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-ji1,#,ngo5,hai6,leon4-geoi1,#,ni1-go3,hai6,keoi5,go3,syun1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auntie,#,I,am,neighbour,#,this one,is,she,(measure),grandson,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,有冇,婆婆,身份證,喺度,呀,？,同,佢,登記返,資料,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,jau5-mou5,po4-po2,san1-fan2-zing3,hai2-dou6,aa3,#,tung4,keoi5,dang1-gei3-faan2,zi1-liu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first responder,#,have or haven't,old woman,identity card,right here,(particle),#,for,her,register,information,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,遞上,身份證,）,有,呀,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,dai6-soeng5,san1-fan2-zing3,#,jau5,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,hand over,identity card,#,have,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,幾時,發現,佢,失去,意識,㗎,？,最後,見到,佢,冇事,係,幾時,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,gei2-si4,faat3-jin6,keoi5,sat1-heoi3,ji3-sik1,gaa3,#,zeoi3-hau6,gin3-dou2,keoi5,mou5-si6,hai6,gei2-si4,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first responder,#,when,find out,she,lose,consciousness,(particle),#,last,see,her,alright,is,when,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,頭先,四,點,半,鐘,放學,返嚟,就,見到,佢,瞓,咗,喺,地下,，,冇,呼吸,，,冇,反應,。,今朝,出門口,返學,之前,佢,話,心口,有啲,唔,舒服,。,,,,,,,,,,,,
