[0],,,,,,,,,,,,,,,,,
生日,,,,,,,,,,,,,,,,,
saang1-jat6,,,,,,,,,,,,,,,,,
birthday,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,
我,叫,一心,，,十九,歲,，,我,係,佢,女朋友,。,,,,,,
ngo5,giu3,jat1-sam1,#,sap6-gau2,seoi3,#,ngo5,hai6,keoi5,neoi5-pang4-jau5,#,,,,,,
I,am called,Yat Sum,#,nineteen,age,#,I,am,his,girlfriend,#,,,,,,
[1b],,,,,,,,,,,,,,,,,
佢,今日,生日,，,我,整,咗,曲奇,送,畀,佢,，,,,,,,
keoi5,gam1-jat6,saang1-jat6,#,ngo5,zing2,zo2,kuk1-kei4,sung3,bei2,keoi5,#,,,,,,
he,today,birthday,#,I,to make,-ed,cookie,to send,to give,him,#,,,,,,
[1c],,,,,,,,,,,,,,,,,
我,想,佢,開心,。,,,,,,,,,,,,,
ngo5,soeng2,keoi5,hoi1-sam1,#,,,,,,,,,,,,,
I,to want,him,happy,#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,
曲奇,係,用,朱古力,整,，,我,知道,佢,鍾意,食,朱古力,。,,,,,
kuk1-kei4,hai6,jung6,zyu1-gu1-lik1,zing2,#,ngo5,zi1-dou3,keoi5,zung1-ji3,sik6,zyu1-gu1-lik1,#,,,,,
cookie,is,to use,chocolate,to make,#,I,to know,him,to like,to eat,chocolate,#,,,,,
[2b],,,,,,,,,,,,,,,,,
其實,曲奇,好,難,整,，,我,又,唔係,好,識,整,，,驚,會,唔好,食,。
kei4-sat6,kuk1-kei4,hou2,naan4,zing2,#,ngo5,jau6,m4-hai6,hou2,sik1,zing2,#,geng1,wui5,m4-hou2,sik6,#
actually,cookie,very,difficult,to make,#,I,again,is not,very,to know,to make,#,afraid,will,do not,to eat,#
[3a],,,,,,,,,,,,,,,,,
今日,晏晝,，,我,同,佢,出街,，,搭,巴士,去,咗,海邊,嘅,公園,。,,
gam1-jat6,aan3-zau3,#,ngo5,tung4,keoi5,ceot1-gaai1,#,daap3,baa1-si2,heoi3,zo2,hoi2-bin1,ge3,gung1-jyun4,#,,
today,afternoon,#,I,and,he,go out,#,to take,bus,to go,-ed,seaside,-,park,#,,
[3b],,,,,,,,,,,,,,,,,
我哋,坐,喺,樹,下,，,我,望住,佢,，,佢,就,一味,玩,電話,。,,
ngo5-dei6,zo6,hai2,syu6,haa6,#,ngo5,mong6-zyu6,keoi5,#,keoi5,zau6,jat1-mei2,waan2,din6-waa2,#,,
we,to sit,at,tree,under,#,I,stare,him,#,he,then,blindly,to play,phone,#,,
[3c],,,,,,,,,,,,,,,,,
我,拍下,佢,個,肚,，,問,：,,,,,,,,,,
ngo5,paak3-haa5,keoi5,go3,tou5,#,man6,#,,,,,,,,,,
I,to hit,him,(measure),tummy,#,to ask,#,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,
「,你,肚唔肚餓,啊,？,」,,,,,,,,,,,,
#,nei5,tou5-m4-tou5-ngo6,aa3,#,#,,,,,,,,,,,,
#,you,hungry not hungry,(particle),#,#,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,
「,吓,？,少少,啦,。,」,,,,,,,,,,,
#,haa2,#,siu2-siu2,laa1,#,#,,,,,,,,,,,
#,what?,#,a bit,(particle),#,#,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,
「,噉,你,數,三,聲,吖,！,」,,,,,,,,,
#,gam2,nei5,sou2,saam1,seng1,aa1,#,#,,,,,,,,,
#,then,you,to count,three,sound,(particle),#,#,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,
