[1],Edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《,寫,畀,Joanna,嘅,情信,》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,se2,bei2,#,ge3,cing4-seon3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,to write,for,#,-,love letter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],Edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
親愛,嘅,你,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can1-oi3,ge3,nei5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dear,-,you,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],Edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上,星期,識到,你,之後,，,我,真係,開心,到,傻,，,你,又,靚,又,叻,，,我,真係,好,鍾意,你,。,我,好,想,同,你,一齊,去,食飯,飲嘢,,，,然後,去,公園,望,下,天空,望,下,樹,，,或者,去,海邊,望,下,海,，,跟住,返屋企,玩,下,貓,貓,狗,狗,，,再,一齊,上牀,,瞓,個,靚,覺,，,之後,生,返,三,四,五,個,小朋友,，,日日,同,佢哋,一齊,踢波,打波,唱歌,去街,。
soeng6,sing1-kei4,sik1-dou3,nei5,zi1-hau6,#,ngo5,zan1-hai6,hoi1-sam1,dou3,so4,#,nei5,jau6,leng3,jau6,lek1,#,ngo5,zan1-hai6,hou2,zung1-ji3,nei5,#,ngo5,hou2,soeng2,tung4,nei5,jat1-cai4,heoi3,sik6-faan6,jam2-je5,,#,jin4-hau6,heoi3,gung1-jyun2,mong6,haa5,tin1-hung1,mong6,haa5,syu6,#,waak6-ze2,heoi3,hoi2-bin1,mong6,haa5,hoi2,#,gan1-zyu6,faan1-uk1-kei2,waan2,haa5,maau1,maau1,gau2,gau2,#,zoi3,jat1-cai4,soeng5-cong4,,fan3,go3,leng3,gaau3,#,zi1-hau6,saang1,faan1,saam1,sei3,ng5,go3,siu2-pang4-jau5,#,jat6-jat6,tung4,keoi5-dei6,jat1-cai4,tek3-bo1,daa2-bo1,coeng3-go1,heoi3-gaai1,#
last,week,to know,you,after,#,I,really,happy,to,silly,#,you,also,good-looking,also,brilliant,#,I,really,really,to like,you,#,I,really,to want,and,you,together,to go,to eat rice,to drink something,,#,then,to go,park,to look,"time (e.g. one time, two times)",sky,to look,"time (e.g. one time, two times)",tree,#,either,to go,seaside,to look,"time (e.g. one time, two times)",sea,#,and then,to go home,to play,"time (e.g. one time, two times)",cat,cat,dog,dog,#,again,together,go to bed,,to sleep,(measure),good,sleep,#,after,to give birth,to return,three,four,five,(measure),child,#,every day,with,them,together,to play football,play ball,to sing song,go out,#
[4],Edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救命,！,諗,到,都,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-meng6,#,nam2,dou2,dou1,hoi1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help!,#,to think,to,"all, also",happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],Edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔知,,你,明唔明白,我,講,咩,。,唔明,？,唔緊要,，,我,可以,同,你,講,多,次,。,聽日,下晝,三,點鐘,，,我,會,喺,你,屋企,樓下,間,超市,門口,等,你,，,希望,你,可以,落嚟,。,打風,落雨,？,我,唔,怕,！,如果,你,出現,，,我,就,會,好,用力,噉,攬,住,你,。,,,,,,,,,,,,,,,,,,,,,,,,,
m4-zi1,,nei5,ming4-m4-ming4-baak6,ngo5,gong2,me1,#,m4-ming4,#,m4-gan2-jiu3,#,ngo5,ho2-ji5,tung4,nei5,gong2,do1,ci3,#,ting1-jat6,haa6-zau3,saam1,dim2-zung1,#,ngo5,wui5,hai2,nei5,uk1-kei2,lau4-haa6,gaan1,ciu1-si5,mun4-hau2,dang2,nei5,#,hei1-mong6,nei5,ho2-ji5,lok6-lai4,#,daa2-fung1,lok6-jyu5,#,ngo5,m4,paa3,#,jyu4-gwo2,nei5,ceot1-jin6,#,ngo5,zau6,wui5,hou2,jung6-lik6,gam2,laam5,zyu6,nei5,#,,,,,,,,,,,,,,,,,,,,,,,,,
not know,,you,understand or not,I,to say,what,#,not understand,#,doesn't matter,#,I,can,to,you,to say,more,"time (e.g. one time, two times)",#,tomorrow,afternoon,three,o'clock,#,I,will,at,you,home,downstairs,(measure),supermarket,doorway,to wait,you,#,hope,you,can,to come down,#,have typhoon,to rain,#,I,not,to fear,#,if,you,to appear,#,I,as a result,will,very,to use strength,in this way,to hug,continuously,you,#,,,,,,,,,,,,,,,,,,,,,,,,,
