[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,送,咗,一,架,車仔,，,同,一,隻,恐龍仔,畀,阿樂,。,阿樂,好,鍾意,佢哋,，,成日,拎,佢哋,嚟,玩,，,同,佢哋,一齊,瞓,。,有,一,日,起身,，,阿樂,變到,好,細粒,，,同,車仔,一樣,大,，,而,恐龍仔,唔見,咗,。,阿樂,話,：,「,嘩,！,張,床,好,大,呀,！,」,,,,,,,,
maa4-maa1,sung3,zo2,jat1,gaa3,ce1-zai2,#,tung4,jat1,zek3,hung2-lung4-zai2,bei2,Aa3-Lok6,#,Aa3-Lok6,hou2,zung1-ji3,keoi5-dei6,#,sing4-jat6,ling1,keoi5-dei6,lai4,waan2,#,tung4,keoi5-dei6,jat1-cai4,fan3,#,jau5,jat1,jat6,hei2-san1,#,Aa3-Lok6,bin3-dou3,hou2,sai3-lap1,#,tung4,ce1-zai2,jat1-joeng6,daai6,#,ji4,hung2-lung4-zai2,m4-gin3,zo2,#,Aa3-Lok6,waa6,#,#,waa3,#,zoeng1,cong4,hou2,daai6,aa3,#,#,,,,,,,,
mother,give,-ed,one,(measure),little car,#,and,one,(measure),little dinosaur,to,Aa Lok,#,Aa Lok,really,like,them,#,always,take,them,to,play,#,with,them,together,sleep,#,there is,one,day,get up,#,Aa Lok,become,very,small,#,with,little car,the same,big,#,and,little dinosaur,disappear,-ed,#,Aa Lok,say,#,#,wow,#,(measure),bed,very,big,(particle),#,#,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,坐,上,車仔,，,車仔,郁,，,佢哋,喺,張,床,上面,，,轉,咗,三,個,圈,。,佢,問,車仔,：,「,不如,我哋,同埋,媽媽,一齊,玩,啦,。,」,車仔,答,：,「,媽媽,咁,大個,，,坐,上嚟,，,架,車,會,行,唔到,。,」,阿樂,話,：,「,又係,喎,！,」,,,,,,,,,,,
keoi5,co5,soeng5,ce1-zai2,#,ce1-zai2,juk1,#,keoi5-dei6,hai2,zoeng1,cong4,soeng6-min6,#,zyun3,zo2,saam1,go3,hyun1,#,keoi5,man6,ce1-zai2,#,#,bat1-jyu4,ngo5-dei6,tung4-maai4,maa4-maa1,jat1-cai4,waan2,laa1,#,#,ce1-zai2,daap3,#,#,maa4-maa1,gam3,daai6-go3,#,co5,soeng5-lai4,#,gaa3,ce1,wui5,haang4,m4-dou2,#,#,Aa3-Lok6,waa6,#,#,jau6-hai6,wo3,#,#,,,,,,,,,,,
he,sit,onto,little car,#,little car,move,#,they,at,(measure),bed,above,#,rotate,-ed,three,(measure),circles,#,he,ask,little car,#,#,how about,we,with,mother,together,play,(particle),#,#,little car,reply,#,#,mother,so,big,#,sit,up here,#,(measure),car,will,walk,cannot,#,#,Aa Lok,say,#,#,true,(particle),#,#,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,又,問,：,「,我哋,去,緊,咩,地方,呀,？,」,車仔,答,：,「,公園,。,」,車仔,行,過,嘅,地方,，,有,幾,支,花,呀,。,再,轉,多,一,個,圈,，,車仔,停,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Lok6,jau6,man6,#,#,ngo5-dei6,heoi3,gan2,me1,dei6-fong1,aa3,#,#,ce1-zai2,daap3,#,#,gung1-jyun2,#,#,ce1-zai2,haang4,gwo3,ge3,dei6-fong1,#,jau5,gei2,zi1,faa1,aa3,#,zoi3,zyun3,do1,jat1,go3,hyun1,#,ce1-zai2,ting4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Lok,again,ask,#,#,we,go,-ing,what,place,(particle),#,#,little car,reply,#,#,park,#,#,little car,walk,pass,-,place,#,there are,few,(measure),flowers,(particle),#,again,rotate,more,one,(measure),circle,#,little car,stop,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,問,：,「,咦,？,做咩,停,呀,？,」,車仔,答,：,「,我,都,唔知,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Lok6,man6,#,#,ji2,#,zou6-me1,ting4,aa3,#,#,ce1-zai2,daap3,#,#,ngo5,dou1,m4-zi1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Lok,ask,#,#,(particle),#,why,stop,(particle),#,#,little car,reply,#,#,I,also,don't know,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,落,車,，,車仔,下面,有,一條條,黑色,、,好,長,嘅,嘢,，,車仔,行,唔到,。,係唔係,老鼠仔,條,尾,呢,？,阿樂,「,嘩,」,一,聲,，,覺得,好,驚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Lok6,lok6,ce1,#,ce1-zai2,haa6-min6,jau5,jat1-tiu4-tiu4,hak1-sik1,#,hou2,coeng4,ge3,je5,#,ce1-zai2,haang4,m4-dou2,#,hai6-m4-hai6,lou5-syu2-zai2,tiu4,mei5,ne1,#,Aa3-Lok6,#,waa3,#,jat1,seng1,#,gok3-dak1,hou2,geng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Lok,get off,car,#,little car,below,there are,strips of,black,#,very,long,-,things,#,little car,walk,cannot,#,is or is not,little mouse,(measure),tail,(particle),#,Aa Lok,#,wow,#,one,sound,#,feel,very,afraid,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,諗一諗,，,知道,屋企,冇,老鼠,。,係唔係,貓仔,條,尾,呢,？,佢,又,諗一諗,，,知道,貓仔,條,尾,大,好多,。,跟住,佢,諗到,，,係,佢,嘅,頭髮,呀,！,頭髮,變到,好,長,、,好,大,、,好,重,。,佢,拎,走,頭髮,，,車仔,又,郁,到,喇,。,,,,,,,,,,,,,,
keoi5,nam2-jat1-nam2,#,zi1-dou3,uk1-kei2,mou5,lou5-syu2,#,hai6-m4-hai6,maau1-zai2,tiu4,mei5,ne1,#,keoi5,jau6,nam2-jat1-nam2,#,zi1-dou3,maau1-zai2,tiu4,mei5,daai6,hou2-do1,#,gan1-zyu6,keoi5,nam2-dou2,#,hai6,keoi5,ge3,tau4-faat3,aa3,#,tau4-faat3,bin3-dou3,hou2,coeng4,#,hou2,daai6,#,hou2,cung5,#,keoi5,ling1,zau2,tau4-faat3,#,ce1-zai2,jau6,juk1,dou2,laa3,#,,,,,,,,,,,,,,
he,think for a while,#,know,home,don't have,mouse,#,is or is not,kitten,(measure),tail,(particle),#,he,again,think for a while,#,know,kitten,(measure),tail,big,much,#,and then,he,thought of something,#,is,he, 's,hair,(particle),#,hair,became,very,long,#,very,big,#,very,heavy,#,he,take,away,hair,#,little car,again,move,can,(particle),#,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,上,車,，,車仔,轉,多,兩,個,圈,，,好似,飛,噉樣,，,跳,上,跳,落,。,原來,係,貓仔,入,咗,房,，,跳,咗,上,床,，,用,手,拍拍,張,床,，,令,架,車,亂,跳,。,「,哎吔,！,」,阿樂,覺得,好,驚,，,要,車仔,行,快啲,。,貓仔,唔知道,佢,係,阿樂,，,好,曳,，,想,車仔,停,。
keoi5,soeng5,ce1,#,ce1-zai2,zyun3,do1,loeng5,go3,hyun1,#,hou2-ci5,fei1,gam2-joeng2,#,tiu3,soeng5,tiu3,lok6,#,jyun4-loi4,hai6,maau1-zai2,jap6,zo2,fong2,#,tiu3,zo2,soeng5,cong4,#,jung6,sau2,paak3-paak3,zoeng1,cong4,#,ling6,gaa3,ce1,lyun6,tiu3,#,#,ai1-jaa3,#,#,Aa3-Lok6,gok3-dak1,hou2,geng1,#,jiu3,ce1-zai2,haang4,faai3-di1,#,maau1-zai2,m4-zi1-dou3,keoi5,hai6,Aa3-Lok6,#,hou2,jai5,#,soeng2,ce1-zai2,ting4,#
he,get onto,car,#,little car,rotate,more,two,(measure),circles,#,it seems,to fly,in this way,#,jump,up,jump,down,#,it turns out,is,kitten,enter,-ed,room,#,jump,-ed,onto,bed,#,use,hands,to pat,(measure),bed,#,make,(measure),car,randomly,jump,#,#,Oh,#,#,Aa Lok,feel,very,afraid,#,want,little car,to walk,faster,#,kitten,don't know,he,is,Aa Lok,#,very,naughty,#,want,little car,to stop,#
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,有,啲,聲,，,係,恐龍仔,呀,！,而家,恐龍仔,好,大隻,，,有,十,個,阿樂,咁,大,。,貓仔,驚,，,跑,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gan1-zyu6,jau5,di1,seng1,#,hai6,hung2-lung4-zai2,aa3,#,ji4-gaa1,hung2-lung4-zai2,hou2,daai6-zek3,#,jau5,sap6,go3,Aa3-Lok6,gam3,daai6,#,maau1-zai2,geng1,#,paau2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and then,there is,some,sound,#,is,little dinosaur,(particle),#,now,little dinosaur,very,big,#,have,ten,(measure),Aa Lok,that,big,#,kitten,afraid,#,run,away,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,拍拍,手,，,同,恐龍仔,一齊,唱歌,。,玩,多,一陣,，,已經,過,咗,一,個,下晝,，,阿樂,要,瞓,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Lok6,paak3-paak3,sau2,#,tung4,hung2-lung4-zai2,jat1-cai4,coeng3-go1,#,waan2,do1,jat1-zan6,#,ji5-ging1,gwo3,zo2,jat1,go3,haa6-zau3,#,Aa3-Lok6,jiu3,fan3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Lok,clap,hands,#,and,little dinosaur,together,sing song,#,play,more,a while,#,already,pass,-ed,one,(measure),afternoon,#,Aa Lok,have to,sleep,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起身,，,佢,變,返,大個,仔,，,手,上面,拎住,車仔,同,恐龍仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hei2-san1,#,keoi5,bin3,faan1,daai6-go3,zai2,#,sau2,soeng6-min6,ling1-zyu6,ce1-zai2,tung4,hung2-lung4-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
