[0],,,,,,,,,,,,,,,,,,,
鄉,愁,,,,,,,,,,,,,,,,,,
hoeng1,sau4,,,,,,,,,,,,,,,,,,
home,sick,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,
我嘅,Mom,十,年,前,成日,睇書,，,,,,,,,,,,,,
ngo5-ge3,Mom,sap6,nin4,cin4,sing4-jat6,tai2-syu1,#,,,,,,,,,,,,
my,mom,ten,year,ago,always,reading books,#,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,
佢,喺,大學,讀,中文,，,好鍾意,中國文學,。,,,,,,,,,,,
keoi5,hai2,daai6-hok6,duk6,zung1-man2,#,hou2-zung1-ji3,zung1-gwok3-man4-hok6,#,,,,,,,,,,,
she,at,university,study,Chinese,#,like a lot,Chinese Literature,#,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,
讀完,書,之後,，,佢,去,咗,外國,公司,返工,，,,,,,,,,,
duk6-jyun4,syu1,zi1-hau6,#,keoi5,heoi3,zo2,ngoi6-gwok3,gung1-si1,faan1-gung1,#,,,,,,,,,
finish reading,book,after,#,she,go,-ed,overseas,company,to go to work,#,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,
同,外國人,結婚,。,而家,，,,,,,,,,,,,,,,
tung4,ngoi6-gwok3-jan4,git3-fan1,#,ji4-gaa1,#,,,,,,,,,,,,,,
with,foreigner,get married,#,now,#,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,
佢,已經,好少,講,中文,又,好少,睇,中文,書,嘞,。,,,,,,,,
keoi5,ji5-ging1,hou2-siu2,gong2,zung1-man2,jau6,hou2-siu2,tai2,zung1-man2,syu1,laak3,#,,,,,,,,
she,already,so little,say,Chinese,again,so little,read,chinese,book,(particle),#,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,
新年,嗰陣,，,Mom,叫,我,一齊,執,屋,。,,,,,,,,,,
san1-nin4,go2-zan6,#,Mom,giu3,ngo5,jat1-cai4,zap1,uk1,#,,,,,,,,,,
new year,that time,#,Mom,call,me,together,tidy up,house,#,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,
