[0],,,,,,,,,,,,,,,,,,,,,,,
阿仔,,,,,,,,,,,,,,,,,,,,,,,
aa3-zai2,,,,,,,,,,,,,,,,,,,,,,,
son,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,
今日,係,星期六,唔使,返工,，,咪,諗住,喺,屋企,瞓,返,一個,上晝,。,,,,,,,,,
gam1-jat6,hai6,sing1-kei4-luk6,m4-sai2,faan1-gung1,#,mai6,nam2-zyu6,hai2,uk1-kei2,fan3,faan1,jat1-go3,soeng6-zau3,#,,,,,,,,,
today,is,Saturday,no need,to go to work,#,then,thinking about,at,home,to sleep,-,one,morning,#,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,
點知,老婆,好,早,醒,咗,，,佢,喺,牀,上,郁,嚟,郁,去,，,,,,,,,,
dim2-zi1,lou5-po4,hou2,zou2,seng2,zo2,#,keoi5,hai2,cong4,soeng5,juk1,lai4,juk1,heoi3,#,,,,,,,,
unexpectedly,wife,very,early,to wake up,-ed,#,she,at,bed,on top,to move,to come,to move,to go,#,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,
跟住,突然,拍,拍,我,隻,手,：,「,老公,！,老公,！,好,起身,啦,！,」,,,,,,
gan1-zyu6,dat6-jin4,paak3,paak3,ngo5,zek3,sau2,#,#,lou5-gung1,#,lou5-gung1,#,hou2,hei2-san1,laa1,#,#,,,,,,
and then,suddenly,to hit,to hit,I,(measure),hand,#,#,husband,#,husband,#,really,to get up,(particle),#,#,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,
我,仲,未,瞓,夠,，,唔係,好,想,理,佢,：,「,咩,事,啊,老婆,？,幾,點,啊,而家,……,」
ngo5,zung6,mei6,fan3,gau3,#,m4-hai6,hou2,soeng2,lei5,keoi5,#,#,me1,si6,aa3,lou5-po4,#,gei2,dim2,aa3,ji4-gaa1,#,#
I,still,not yet,to sleep,enough,#,is not,very,to want,to care about,she,#,#,what,matter,(particle),wife,#,what,time,(particle),now,#,#
[4],,,,,,,,,,,,,,,,,,,,,,,
「,仲,問,我,幾,點,？,十一,點,都,嚟,緊,喇,！,」,「,噉,又,點,啊,……,」,,
#,zung6,man6,ngo5,gei2,dim2,#,sap6-jat1,dim2,dou1,lai4,gan2,laa3,#,#,#,gam2,jau6,dim2,aa3,#,#,,
#,still,to ask,I,what,time,#,eleven,o'clock,also,to come,-ing,(particle),#,#,#,then,so,what,(particle),#,#,,
[5a],,,,,,,,,,,,,,,,,,,,,,,
「,你,唔記得,阿仔,等陣,兩,點,返,到,香港,咩,？,我哋,要,去,機場,接,佢,啊,！,,,,
#,nei5,m4-gei3-dak1,aa3-zai2,dang2-zan6,loeng5,dim2,faan1,dou3,hoeng1-gong2,me1,#,ngo5-dei6,jiu3,heoi3,gei1-coeng4,zip3,keoi5,aa3,#,,,,
#,you,to forget,son,later on,two,o'clock,to return,to,Hong Kong,(particle),#,we,need to,to go,airport,to catch,he,(particle),#,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,
你,再,唔,起身,，,我,嬲,㗎,喇,！,」,,,,,,,,,,,,,
nei5,zoi3,m4,hei2-san1,#,ngo5,nau1,gaa3,laa3,#,#,,,,,,,,,,,,,
you,again,not,to get up,#,I,angry,(particle),(particle),#,#,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,
聽到,佢,話,會,嬲,，,我,即刻,醒,返,啲啲,，,但係,諗,兩,諗,覺得,唔,對路,：,,,,
teng1-dou2,keoi5,waa6,wui5,nau1,#,ngo5,zik1-hak1,seng2,faan1,di1-di1,#,daan6-hai6,nam2,loeng5,nam2,gok3-dak1,m4,deoi3-lou6,#,,,,
to hear,she,to say,will,angry,#,I,immediately,to wake up,-,a bit,#,but,to think,two,to think,to feel,not,make sense,#,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,
「,老婆,，,阿仔,好似,係,聽日,先,返,喎,……,」,,,,,,,,,,,,
#,lou5-po4,#,aa3-zai2,hou2-ci5,hai6,ting1-jat6,sin1,faan1,wo3,#,#,,,,,,,,,,,,
#,wife,#,son,seems,is,tomorrow,first,to return,(particle),#,#,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,
「,咦,？,係,喎,……,噉,不如,我哋,諗下,聽日,搭,巴士,定係,地鐵,去,機場,吖,？,」,,,,
#,ji2,#,hai6,wo3,#,gam2,bat1-jyu4,ngo5-dei6,nam2-haa5,ting1-jat6,daap3,baa1-si2,ding6-hai6,dei6-tit3,heoi3,gei1-coeng4,aa1,#,#,,,,
#,Look!,#,is,(particle),#,then,how about,we,to think,tomorrow,to take,bus,or,MTR,to go,airport,(particle),#,#,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,
我哋,阿仔,二十一,歲,，,十八,歲,去,咗,英國,讀書,，,去,咗,三,年,。,,,,,,,
ngo5-dei6,aa3-zai2,ji6-sap6-jat1,seoi3,#,sap6-baat3,seoi3,heoi3,zo2,jing1-gwok3,duk6-syu1,#,heoi3,zo2,saam1,nin4,#,,,,,,,
we,son,twenty-one,year-old,#,eighteen,year-old,to go,-ed,United Kingdom,to study,#,to go,-ed,three,year,#,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,
而家,佢,讀完書,喇,，,今日,喺,英國,搭,飛機,，,聽日,返,到,香港,。,,,,,,,,
ji4-gaa1,keoi5,duk6-jyun4-syu1,laa3,#,gam1-jat6,hai2,jing1-gwok3,daap3,fei1-gei1,#,ting1-jat6,faan1,dou3,hoeng1-gong2,#,,,,,,,,
now,he,finished study,(particle),#,today,at,United Kingdom,to take,airplane,#,tomorrow,to return,to,Hong Kong,#,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,
唔,知,佢,而家,點,呢,？,係,肥,咗,定係,瘦,咗,？,有冇,高,到,？,有冇,識,返,個,女朋友,？
m4,zi1,keoi5,ji4-gaa1,dim2,ne1,#,hai6,fei4,zo2,ding6-hai6,sau3,zo2,#,jau5-mou5,gou1,dou3,#,jau5-mou5,sik1,faan2,go3,neoi5-pang4-jau5,#
not,to know,he,now,how,(particle),#,is,fat,-ed,or,thin,-ed,#,have-or-haven't,tall,-ed,#,have-or-haven't,to know,-,(measure),girlfriend,#
[9b],,,,,,,,,,,,,,,,,,,,,,,
聽日,佢,會,唔,會,同埋,個,女仔,嚟,香港,㗎,？,,,,,,,,,,,,
ting1-jat6,keoi5,wui5,m4,wui5,tung4-maai4,go3,neoi5-zai2,lai4,hoeng1-gong2,gaa3,#,,,,,,,,,,,,
tomorrow,he,will,not,will,with,(measure),girl,to come,Hong Kong,(particle),#,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,
佢,三,年,嚟,少,咗,講,廣東話,，,唔,知,仲,記,唔記得,點,講,廣東話,呢,？,,,,,
keoi5,saam1,nin4,lai4,siu2,zo2,gong2,Gwong2-Dung1-Waa2,#,m4,zi1,zung6,gei3,m4-gei3-dak1,dim2,gong2,Gwong2-Dung1-Waa2,ne1,#,,,,,
he,three,year,(particle),few,-ed,to say,Cantonese,#,not,to know,still,remember,to forget,how,to say,Cantonese,(particle),#,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,
佢,會,唔,會,同,我哋,講,英文,㗎,？,,,,,,,,,,,,,,
keoi5,wui5,m4,wui5,tung4,ngo5-dei6,gong2,jing1-man2,gaa3,#,,,,,,,,,,,,,,
he,will,not,will,with,us,to say,English,(particle),#,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,
我,同,老婆,啲,英文,好,水皮,，,一啲,都,唔,叻,㗎,。,,,,,,,,,,
ngo5,tung4,lou5-po4,di1,jing1-man2,hou2,seoi2-pei4,#,jat1-di1,dou1,m4,lek1,gaa3,#,,,,,,,,,,
I,and,wife,s,English,very,not so good,#,little,all,not,brilliant,(particle),#,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,
老婆,成日,鬧,我,唔,錫,阿仔,，,我,覺得,係,佢,唔,明白,阿爸,對,阿仔,嘅,愛,啫,。,,,
lou5-po4,sing4-jat6,naau6,ngo5,m4,sek3,aa3-zai2,#,ngo5,gok3-dak1,hai6,keoi5,m4,ming4-baak6,aa3-baa4,deoi3,aa3-zai2,ge3,oi3,ze1,#,,,
wife,always,to scold,I,not,to love,son,#,I,to feel,is,she,not,to understand,Dad,to,son,s,love,only,#,,,
[13],,,,,,,,,,,,,,,,,,,,,,,
我,都,好,掛住,阿仔,，,好,想,快啲,到,聽日,㗎,！,,,,,,,,,,,
ngo5,dou1,hou2,gwaa3-zyu6,aa3-zai2,#,hou2,soeng2,faai3-di1,dou3,ting1-jat6,gaa3,#,,,,,,,,,,,
I,also,very,to miss,son,#,very,to want,faster,to,tomorrow,(particle),#,,,,,,,,,,,
