[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baak6-baak6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,屋企,有,一,隻,貓,，,爸爸,媽媽,叫,佢,做,白白,。,白白,係,一,隻,白色,嘅,貓,。,佢,係,女仔,嚟,，,同,我,唔一樣,，,我,係,男仔,。,,,,,,,,,,,
ngo5,uk1-kei2,jau5,jat1,zek3,maau1,#,baa4-baa1,maa4-maa1,giu3,keoi5,zou6,baak6-baak6,#,baak6-baak6,hai6,jat1,zek3,baak6-sik1,ge3,maau1,#,keoi5,hai6,neoi5-zai2,lai4,#,tung4,ngo5,m4-jat1-joeng6,#,ngo5,hai6,naam4-zai2,#,,,,,,,,,,,
I,home,have,one,(measure),cat,#,father,mother,call,it,as,Snow White,#,Snow White,is,one,(measure),white,-,cat,#,it,is,girl,is,#,with,me,not the same,#,I,am,boy,#,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,鍾意,白白,，,唔知,白白,鍾唔鍾意,我,？,我,摸,白白,，,白白,唔睬,我,。,我,驚,白白,唔鍾意,我,，,我,想,佢,鍾意,我,啊,！,,,,,,,,,,,,,,,,
ngo5,zung1-ji3,baak6-baak6,#,m4-zi1,baak6-baak6,zung1-m4-zung1-ji3,ngo5,#,ngo5,mo2,baak6-baak6,#,baak6-baak6,m4-coi2,ngo5,#,ngo5,geng1,baak6-baak6,m4-zung1-ji3,ngo5,#,ngo5,soeng2,keoi5,zung1-ji3,ngo5,aa3,#,,,,,,,,,,,,,,,,
I,like,Snow White,#,don't know,Snow White,like or not like,me,#,I,touch,Snow White,#,Snow White,don't respond,me,#,I,afraid,Snow White,don't like,me,#,I,want,it,to like,me,(particle),#,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,鍾意,白白,，,白白,鍾意,食,魚,，,同,我,唔一樣,，,我,唔鍾意,食,魚,。,點解,白白,鍾意,食,魚,？,我,覺得,魚,唔好食,。,家姐,同,白白,一樣,，,佢,覺得,魚,好食,。,,,,,,,
ngo5,zung1-ji3,baak6-baak6,#,baak6-baak6,zung1-ji3,sik6,jyu2,#,tung4,ngo5,m4-jat1-joeng6,#,ngo5,m4-zung1-ji3,sik6,jyu2,#,dim2-gaai2,baak6-baak6,zung1-ji3,sik6,jyu2,#,ngo5,gok3-dak1,jyu2,m4-hou2-sik6,#,gaa1-ze1,tung4,baak6-baak6,jat1-joeng6,#,keoi5,gok3-dak1,jyu2,hou2-sik6,#,,,,,,,
I,like,Snow White,#,Snow White,like,to eat,fish,#,with,me,not the same,#,I,don't like,to eat,fish,#,why,Snow White,like,to eat,fish,#,I,think,fish,not tasty,#,elder sister,with,Snow White,the same,#,she,think,fish,tasty,#,,,,,,,
