[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
植物,王國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zik6-mat6,wong4-gwok3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,話,只要,種,多啲,樹,，,樹,王國,就,會,畀,張,入場券,你,入去,睇下,佢哋,嘅,世界,。,媽咪,話,入面,有,好多,識,行,嘅,樹,，,啲,河,水,仲,識,唱歌,，,周圍,都,充滿,歡笑,聲,。,我,細細個,就,聽到,入晒迷,，,如果,我,爬,上,一,樖,識,行,嘅,樹,，,噉,佢,咪,可以,帶,我,周圍,去,？,哈哈,，,人哋,騎,馬,，,我,就,騎,樹,，,諗起,都,興奮,……
maa1-mi4,waa6,zi2-jiu3,zung6,do1-di1,syu6,#,syu6,wong4-gwok3,zau6,wui5,bei2,zoeng1,jap6-coeng4-gyun3,nei5,jap6-heoi3,tai2-haa5,keoi5-dei6,ge3,sai3-gaai3,#,maa1-mi4,waa6,jap6-min6,jau5,hou2-do1,sik1,haang4,ge3,syu6,#,di1,ho4,seoi2,zung6,sik1,coeng3-go1,#,zau1-wai4,dou1,cung1-mun5,fun1-siu3,sing1,#,ngo5,sai3-sai3-go3,zau6,teng1-dou3,jap6-saai3-mai4,#,jyu4-gwo2,ngo5,paa4,soeng5,jat1,po1,sik1,haang4,ge3,syu6,#,gam2,keoi5,mai5,ho2-ji5,daai3,ngo5,zau1-wai4,heoi3,#,haa1-haa1,#,jan4-dei6,ke4,maa5,#,ngo5,zau6,ke4,syu6,#,nam2-hei2,dou1,hing1-fan5,#
mommy,say,so long as,plant,more,tree,#,tree,kingdom,then,will,give,(measure),admission ticket,you,enter,to see,they,’s,world,#,mommy,say,inside,have,many,know,to walk,(linker),tree,#,those,river,water,even,know,to sing song,#,surrounding,"all, also",full of,laugh merrily,sound,#,I,young and small,then,heard,totally enchanted,#,if,I,climb,up,one,(measure),know,to walk,(linker),tree,#,in that way,it,then,can,"carry, bring",I,surrounding,go,#,haha,#,others,ride,horse,#,I,then,ride,tree,#,think of,"all, also",excited,#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以,，,由,四,歲,開始,，,我,每,年,生日,都會,叫,姐姐,帶,我,去,種,一,樖,樹,。,一,樖,、,兩,樖,、,三,樖,……,去到,今年,終於,要,種,第九,樖,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-ji5,#,jau4,sei3,seoi3,hoi1-ci2,#,ngo5,mui5,nin4,saang1-jat6,dou1-wui5,giu3,ze4-ze1,daai3,ngo5,heoi3,zung6,jat1,po1,syu6,#,jat1,po1,#,loeng5,po1,#,saam1,po1,#,heoi3-dou3,gam1-nin4,zung1-jyu1,jiu3,zung6,dai6-gau2,po1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,#,from,four,year-old,begin,#,I,every,year,birthday,always will,call,elder sister,bring,I,to go,to plant,one,(measure),tree,#,one,(measure),#,two,(measure),#,three,(measure),#,till,this year,finally,need,to plant,ninth,(measure),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,一朝早,就,拉,埋,姐姐,去,後,山,種,樹,，,我哋,掘,窿,、,埋,樹,苗,、,平,土,……,我,對,手,好似,裝,咗,摩打,噉,嘭嘭,聲,做,晒,啲,嘢,，,最後,用力,扤,實,啲,泥土,——,第九,樖,樹,苗,終於,種,好,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,jat1-ziu1-zou2,zau6,laai1,maai4,ze4-ze1,heoi3,hau6,saan1,zung6,syu6,#,ngo5-dei6,gwat6,lung1,#,maai4,syu6,miu4,#,peng4,tou2,#,ngo5,deoi3,sau2,hou2-ci5,zong1,zo2,mo1-daa2,gam2,paang4-paang2,seng1,zou6,saai3,di1,je5,#,zeoi3-hau6,jung6-lik6,at1,sat6,di1,nai4-tou2,#,dai6-gau2,po1,syu6,miu4,zung1-jyu1,zung6,hou2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,in the morning,already,pull,also,elder sister,to go,back,hill,to plant,tree,#,we,dig,hole,#,bury,tree,seedling,#,flatten,soil,#,I,pair of,hand,seems,install,-en,motor,in that way,bom-bom,sound,do,all,the,thing,#,at the end,use energy,to tamp,tight,the,soil,#,ninth,(measure),tree,seedling,finally,plant,well,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,左,望,望,，,右,望,望,，,又,望下,天,，,又,望下,地,。,咩事,都,冇,發生,。,我,又,踩下,啲,泥,，,唔通,唔,夠,平,？,冇,喎,，,周圍,咩事,都,冇,。,我,頭耷耷,噉,返屋企,，,一,日,、,兩,日,、,三,日,……,成,個月,都,冇事,發生,。,,,,,,,,,,,,,,,,,,,,,,,,
