[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔該,晒,你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-goi1,saai3,nei5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks,all,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一,次,，,係,喺,間,餐廳,度,見到,佢,。,佢,同,緊,嗰陣,嘅,男朋友,一齊,食飯,。,之後,我,聽到,佢,男朋友,講,唔想,再,一齊,。,佢,喊,，,佢,問,男朋友,記,唔,記,得,今日,係,咩,日子,。
dai6-jat1,ci3,#,hai6,hai2,gaan1,caan1-teng1,dou6,gin3-dou2,keoi5,#,keoi5,tung4,gan2,go2-zan6,ge3,naam4-pang4-jau5,jat1-cai4,sik6-faan6,#,zi1-hau6,ngo5,teng1-dou2,keoi5,naam4-pang4-jau5,gong2,m4-soeng2,zoi3,jat1-cai4,#,keoi5,haam3,#,keoi5,man6,naam4-pang4-jau5,gei3,m4,gei3,dak1,gam1-jat6,hai6,me1,jat6-zi2,#
first,time,#,is,at,(measure),restaurant,place,to see,her,#,she,accompany,-ing ,that time,(linker),boyfriend,together,to eat rice,#,then,I,hear,her,boyfriend,say,don't want,again,together,#,she,cry,#,she,ask,boyfriend,remember,not,remember,can,today,is,what,date,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,嗰,日,係,佢,生日,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,go2,jat6,hai6,keoi5,saang1-jat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,that,day,is,her,birthday,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個,男仔,之後,行開,咗,。,過,咗,三,個,鐘頭,，,冇,再,出現,過,。,佢,起身,，,準備,行,出,餐廳,。,我,見到,佢,面,上,仲有,好多,淚水,。,跟住,，,我,上前,俾,咗,張,紙巾,佢,。,
go3,naam4-zai2,zi1-hau6,haang4-hoi1,zo2,#,gwo3,zo2,saam1,go3,zung1-tau4,#,mou2,zoi3,ceot1-jin6,gwo3,#,keoi5,hei2-san1,#,zeon2-bei6,haang4,ceot1,caan1-teng1,#,ngo5,gin3-dou2,keoi5,min6,soeng6,zung6-jau5,hou2-do1,leoi6-seoi2,#,gan1-zyu6,#,ngo5,soeng5-cin4,bei2,zo2,zoeng1,zi2-gan1,keoi5,#,
