[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,今年,幾,歲,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gam1-nin2,gei2,seoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandmother,this year,how,old,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,一,個,休閒,嘅,周末,，,大部分,都市,人,仲,瞓,緊,嗰陣,，,有,兩,個,人,好,早,已經,起,咗,身,同,陽光,玩,遊戲,，,佢哋,就係,Putta,同,Putti,。,佢哋,知道,今日,係,婆婆,生日,，,於是,準備,咗,蛋糕,同,佢,慶祝,。,個,蛋糕,雖然,好,靚,，,但,就,係,少,咗,啲,嘢,——,冇錯,，,就係,蠟燭,！,但,究竟,要,插,幾多,枝,蠟燭,至,啱,呢,？,似乎,冇人,知道,婆婆,幾多歲,喎,……
hai2,jat1,go3,jau1-haan4,ge3,zau1-mut6,#,daai6-bou6-fan6,dou1-si5,jan4,zung6,fan3,gan2,go2-zan6,#,jau5,loeng5,go3,jan4,hou2,zou2,ji5-ging1,hei2,zo2,san1,tung4,joeng4-gwong1,waan2,jau4-hei3,#,keoi5-dei6,zau6-hai6,Putta,tung4,Putti,#,keoi5-dei6,zi1-dou3,gam1-jat6,hai6,po4-po2,saang1-jat6,#,jyu1-si6,zeon2-bei6,zo2,daan6-gou1,tung4,keoi5,hing3-zuk1,#,go3,daan6-gou1,seoi1-jin4,hou2,leng3,#,daan6,zau6,hai6,siu2,zo2,di1,je5,#,mou5-co3,#,zau6-hai6,laap6-zuk1,#,daan6,gau3-ging2,jiu3,caap3,gei2-do1,zi1,laap6-zuk1,zi3,ngaam1,ne1,#,ci5-fu4,mou5-jan4,zi1-dou3,po4-po2,gei2-do1-seoi3,wo3,#
at,one,(measure),leisure,(linker),weekend,#,vast majority,metropolis,people,still,sleep,-ing,that time,#,have,two,(measure),people,very,early,already,wake,-en,up,with,sunshine,to play,game,#,they,is,Putta,and,Putti,#,they,know,today,is,grandmother,birthday,#,so,prepare,-en,cake,with,she,to celebrate,#,(measure),cake,although,very,beautiful,#,but,still,is,miss out,-en,some,thing,#,right,#,that is,candle,#,but,exactly,need,to plug in,how many,(measure),candle,then,correct,(particle),#,seems,no one,know,grandmother,how old,(particle),#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,去,到,婆婆,屋企,，,婆婆,坐,喺,藤椅,上面,享受,緊,窗,外面,照,入嚟,嘅,陽光,。,Putta,同,Putti,一,見到,婆婆,，,就,衝,埋去,同,佢,講,生日,快樂,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,heoi3,dou3,po4-po2,uk1-kei2,#,po4-po2,zo6,hai2,tang4-ji2,soeng6-min6,hoeng2-sau6,gan2,coeng1,ngoi6-min6,ziu3,jap6-lai4,ge3,joeng4-gwong1,#,Putta,tung4,Putti,jat1,gin3-dou2,po4-po2,#,zau6,cung1,maai4-heoi3,tung4,keoi5,gong2,saang1-jat6,faai3-lok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,go,to,grandmother,home,#,grandmother,sit,at,rattan chair,above,enjoy,-ing,window,outside,shine,into,(linker),sunshine,#,Putta,and,Putti,once,saw,grandmother,#,then,rush,to go over,to,she,to say,birthday,happy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,：,「,婆婆,，,你,今年,到底,幾多歲,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,po4-po2,#,nei5,gam1-nin2,dou3-dai2,gei2-do1-seoi3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,#,#,grandmother,#,you,this year,indeed,how old,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
