[0],,,,,,,,,,,,,,,,,,,,,,,,,,
疫情,系列,,,,,,,,,,,,,,,,,,,,,,,,,
jik6-cing4,hai6-lit6,,,,,,,,,,,,,,,,,,,,,,,,,
pandemic,series,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,
今日,銀包,哥哥,終於,見到,護照,細佬,,,,,,,,,,,,,,,,,,,,
gam1-jat6,ngan4-baau1,go4-go1,zung1-jyu1,gin3-dou2,wu6-ziu3,sai3-lou2,,,,,,,,,,,,,,,,,,,,
today,wallet,elder brother,at last,see,passport,younger brother,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,：,「,七,八,個,月,冇,見,喇,，,你,咩事,，,去,咗,邊,啊,」,,,,,,,,
go4-go1,#,#,cat1,baat3,go3,jyut6,mou5,gin3,laa3,#,nei5,me1-si6,#,heoi3,zo2,bin1,aa3,#,,,,,,,,
elder brother,#,#,seven,eight,(measure),months,haven't,seen,already,#,you,how,#,go,-ed,where,(particle),#,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,：,「,我,喺,個,櫃,入面,，,今日,先,出嚟,一陣,……,,,,,,,,,,,,,
sai3-lou2,#,#,ngo5,hai2,go3,gwai6,jap6-min6,#,gam1-jat6,sin1,ceot1-lai4,jat1-zan6,#,,,,,,,,,,,,,
younger brother,#,#,I,at,(measure),cabinet,inside,#,today,then,come out,a while,#,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,
係喇,，,我,件,衫,少,咗,好多,印仔,，,你,話,主人,係唔係,唔要,我,喇,？,」,,,,,,,,
hai6-laa3,#,ngo5,gin6,saam1,siu2,zo2,hou2-do1,jan3-zai2,#,nei5,waa6,zyu2-jan4,hai6-m4-hai6,m4-jiu3,ngo5,laa3,#,#,,,,,,,,
Oh right,#,I,(measure),clothes,few,-ed,many,stamps,#,you,say,master,is or isn't,don't want,me,(particle),#,#,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,：,「,你,噉,講,，,我,個,肚,入面,都,少,咗,好多,銀紙,，,,,,,,,,,,
go4-go1,#,#,nei5,gam2,gong2,#,ngo5,go3,tou5,jap6-min6,dou1,siu2,zo2,hou2-do1,ngan4-zi2,#,,,,,,,,,,
elder brother,#,#,you,in this way,say,#,I,(measure),tummy,inside,also,few,-ed,many,banknotes,#,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,
得,credit,卡,、,ID,卡,同,Octopus,卡,，,搞到,我,成日,都,好,肚餓,。,」,,,,,,,,,
dak1,credit,kaat1,#,ID,kaat1,tung4,Octopus,kaat1,#,gaau2-dou3,ngo5,sing4-jat6,dou1,hou2,tou5-ngo6,#,#,,,,,,,,,
only,credit,card,#,ID,card,and,Octopus,card,#,made,me,always,all,very,hungry,#,#,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,：,「,呢,個,我,知,，,聽講,啲,銀紙,好,污糟,，,主人,係,驚,你,食,到,肚痛,啫,……,,,,
sai3-lou2,#,#,ni1,go3,ngo5,zi1,#,teng1-gong2,di1,ngan4-zi2,hou2,wu1-zou1,#,zyu2-jan4,hai6,geng1,nei5,sik6,dou3,tou5-tung3,ze1,#,,,,
younger brother,#,#,this,(measure),I,know,#,heard from others,those,banknotes,very,dirty,#,master,is,afraid,you,eat,to,stomach ache,only,#,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,
你,唔洗,驚,啦,，,你,不如,幫,我,諗吓,點,氹,返,主人,啦,」,,,,,,,,,,,
nei5,m4-sai2,geng1,laa1,#,nei5,bat1-jyu4,bong1,ngo5,nam2-haa2,dim2,tam3,faan1,zyu2-jan4,laa1,#,,,,,,,,,,,
you,need not,afraid,(particle),#,you,how about,help,me,think,how to,cheer up,back,master,(particle),#,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,
瞓覺,衫,細佬,：,「,哥哥,，,呢排,主人,上晝,、,下晝,、,夜晚,都,着,住,我,，,,,,,,,,
fan3-gaau3,saam1,sai3-lou2,#,#,go4-go1,#,ni1-paai4,zyu2-jan4,soeng6-zau3,#,haa6-zau3,#,je6-maan5,dou1,zoek3,zyu6,ngo5,#,,,,,,,,
sleep,clothes,younger brother,#,#,elder brother,#,recently,master,morning,#,afternoon,#,night,all,wear,-ing,me,#,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,
我,見,人,多,咗,好多,，,你,話,我,叻唔叻,？,」,,,,,,,,,,,,,,
ngo5,gin3,jan4,do1,zo2,hou2-do1,#,nei5,waa6,ngo5,lek1-m4-lek1,#,#,,,,,,,,,,,,,,
I,see,people,more,-ed,many,#,you,say,I,brilliant or not,#,#,,,,,,,,,,,,,,
