[0],,,,,,,,,,,,,,,,,,,,,,,,,
短篇,故事,,,,,,,,,,,,,,,,,,,,,,,,
dyun2-pin1,gu3-si6,,,,,,,,,,,,,,,,,,,,,,,,
short story,story,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,
小明,放學,返到,屋企,，,見到,枱,上面,有,張,一百,蚊,，,,,,,,,,,,,,,
Siu2-ming4,fong3-hok6,faan1-dou3,uk1-kei2,#,gin3-dou2,toi2,soeng6-min6,jau5,zoeng1,jat1-baak3,man1,#,,,,,,,,,,,,,
Siu Ming,school ends,returned,home,#,saw,table,above,have,(measure),one hundred,dollars,#,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,
旁邊,有,張,紙,寫住,「,畀,小明,」,。,,,,,,,,,,,,,,,,
pong4-bin1,jau5,zoeng1,zi2,se2-zyu6,#,bei2,Siu2-ming4,#,#,,,,,,,,,,,,,,,,
side,have,(measure),paper,written,#,give,Siu Ming,#,#,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,
小明,心諗,﹕,「,媽媽,平時,一,蚊,零用錢,都,冇,畀,我,，,今日,畀,一百,蚊,我,。,,,,,,
Siu2-ming4,sam1-nam2,#,#,maa4-maa1,ping4-si4,jat1,man1,ling4-jung6-cin2,dou1,mou5,bei2,ngo5,#,gam1-jat6,bei2,jat1-baak3,man1,ngo5,#,,,,,,
Siu Ming,think,#,#,mother,usually,one,dollar,pocket money,all,haven't,given,me,#,today,give,one hundred,dollars,me,#,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,
發生,咩,事,咁,好彩,呢,？,」,,,,,,,,,,,,,,,,,,
faat3-sang1,me1,si6,gam3,hou2-coi2,ne1,#,#,,,,,,,,,,,,,,,,,,
happen,what,matter,so,lucky,(particle),#,#,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,
當,小明,拎,起,張,一百,蚊,，,發現,下面,砸住,張,字條,，,上面,寫住,﹕,,,,,,,,,
dong1,Siu2-ming4,ling1,hei2,zoeng1,jat1-baak3,man1,#,faat3-jin6,haa6-min6,zaak6-zyu6,zoeng1,zi6-tiu4,#,soeng6-min6,se2-zyu6,#,,,,,,,,,
when,Siu Ming,take,up,(measure),one hundred,dollars,#,find out,below,pressed against,(measure),memo,#,above,written,#,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,
「,小明,，,今日,放咗學,唔好,周圍,去,，,喺,屋企,等,我,。,,,,,,,,,,,,
#,Siu2-ming4,#,gam1-jat6,fong3-zo2-hok6,m4-hou2,zau1-wai4,heoi3,#,hai2,uk1-kei2,dang2,ngo5,#,,,,,,,,,,,,
#,Siu Ming,#,today,school ended,do not,around,go,#,at,home,wait,me,#,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,你,婆婆,生日,，,我,收工,帶,埋,你,過,婆婆,度,食飯,。,,,,,,,,,,
gam1-jat6,hai6,nei5,po4-po2,saang1-jat6,#,ngo5,sau1-gung1,daai3,maai4,nei5,gwo3,po4-po2,dou6,sik6-faan6,#,,,,,,,,,,
today,is,you,grandma,birthday,#,I,get off work,bring,also,you,to cross,grandma,there,to eat meal,#,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,
記得,幫,我,喺,雪櫃,拎,個,蛋榚,，,仲有,幫,我,做,晒,屋企,啲,家務,。,,,,,,,,
gei3-dak1,bong1,ngo5,hai2,syut3-gwai6,ling1,go3,daan2-gou1,#,zung6-jau5,bong1,ngo5,zou6,saai3,uk1-kei2,di1,gaa1-mou6,#,,,,,,,,
remember,to help,me,at,refrigerator,take,(measure),cake,#,and,to help,me,do,all,home,those,housework,#,,,,,,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,
我,收工,趕唔切,做,。,」,,,,,,,,,,,,,,,,,,,,
ngo5,sau1-gung1,gon2-m4-cit3,zou6,#,#,,,,,,,,,,,,,,,,,,,,
I,get off work,fail to be on time,to do,#,#,,,,,,,,,,,,,,,,,,,,
[1j],,,,,,,,,,,,,,,,,,,,,,,,,
然後,小明,睇到,最,下面,有,一,行,字,寫住,：,,,,,,,,,,,,,,,
jin4-hau6,Siu2-ming4,tai2-dou2,zeoi3,haa6-min6,jau5,jat1,hong4,zi6,se2-zyu6,#,,,,,,,,,,,,,,,
then,Siu Ming,saw,the most,below,have,one,line of,words,written,#,,,,,,,,,,,,,,,
[1k],,,,,,,,,,,,,,,,,,,,,,,,,
「,P.S,,呢,一百,蚊,唔係,畀,你,嘅,，,只係,用,嚟,引,你,注意,。,,,,,,,,
#,p.s,,ni1,jat1-baak3,man1,m4-hai6,bei2,nei5,ge3,#,zi2-hai6,jung6,lai4,jan5,nei5,zyu3-ji3,#,,,,,,,,
#,p.s,#,this,one hundred,dollars,is not,give,you,-,#,only,use,as,attract,you,attention,#,,,,,,,,
[1l],,,,,,,,,,,,,,,,,,,,,,,,,
你,唔好,拎,咗,去,，,陣間,記得,畀,返,我,。,」,,,,,,,,,,,,,
nei5,m4-hou2,ling1,zo2,heoi3,#,zan6-gaan1,gei3-dak1,bei2,faan1,ngo5,#,#,,,,,,,,,,,,,
you,do not,take,-ed,away,#,later,remember,to give,back,me,#,#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,
小明,係,一,個,超級,大,肥佬,，,身邊,嘅,人,都,叫,佢,減肥,，,但係,佢,就係,唔聽,。,,,,,
Siu2-ming4,hai6,jat1,go3,ciu1-kap1,daai6,fei4-lou2,#,san1-bin1,ge3,jan4,dou1,giu3,keoi5,gaam2-fei4,#,daan6-hai6,keoi5,zau6-hai6,m4-teng1,#,,,,,
Siu Ming,is,one,(measure),super,big,fat guy,#,at one's side,-,people,all,ask,him,to lose weight,#,but,he,just,don't hear,#,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,
佢,老友,阿成,有次,同,佢,飲,酒,。,,,,,,,,,,,,,,,,,
keoi5,lou5-jau5,Aa3-sing4,jau5-ci3,tung4,keoi5,jam2,zau2,#,,,,,,,,,,,,,,,,,
he,buddy,Ah Sing,one time,with,him,drink,wine,#,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,
阿成,話,﹕,「,唔好,話,我,話,你,，,你,睇,你,肥,到,噉,，,邊,有,女人,會,睇你上眼,啊,。,,
Aa3-sing4,waa6,#,#,m4-hou2,waa6,ngo5,waa6,nei5,#,nei5,tai2,nei5,fei4,dou3,gam2,#,bin1,jau5,neoi5-jan2,wui5,tai2-nei5-soeng5-ngaan5,aa3,#,,
Ah Sing,say,#,#,do not,say,I,say,you,#,you,look,you,fat,to,in this way,#,where,have,women,will,like you,(particle),#,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,
跑,兩,步,又,話,攰,，,好心,你,做,下,運動,減下肥,啦,。,」,,,,,,,,,,
paau2,loeng5,bou6,jau6,waa6,gui6,#,hou2-sam1,nei5,zou6,haa5,wan6-dung6,gaam2-haa5-fei4,laa1,#,#,,,,,,,,,,
run,two,steps,again,say,tired,#,come on,you,do,a bit,sports,to lose some weight,(particle),#,#,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,
「,你,成,四十,歲,人,，,一日,剩係,掛住,食,，,夜晚,就,打機,睇,波,，,,,,,,,,
#,nei5,sing4,sei3-sap6,seoi3,jan4,#,jat1-jat6,zing6-hai6,gwaa3-zyu6,sik6,#,je6-maan5,zau6,daa2-gei1,tai2,bo1,#,,,,,,,,
#,you,nearly,forty,years old,person,#,all day,only,think about,to eat,#,night,then,play video games,watch,ball games,#,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,
行,幾,步,路,都,話,遠,要,搭,車,。,你,噉樣,點,得,啊,。,」,,,,,,,,
haang4,gei2,bou6,lou6,dou1,waa6,jyun5,jiu3,daap3,ce1,#,nei5,gam2-joeng2,dim2,dak1,aa3,#,#,,,,,,,,
walk,few,steps of,road,also,say,far,want to ,take,car,#,you,in this way,how,can,(particle),#,#,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,
小明,飲,咗,啖,酒,，,喺,阿成,耳,邊,講,「,我,屋企,隻,貓,要,生,BB,喇,」,，,,,,
Siu2-ming4,jam2,zo2,daam6,zau2,#,hai2,Aa3-sing4,ji5,bin1,gong2,#,ngo5,uk1-kei2,zek3,maau1,jiu3,saang1,bi4-bi1,laa3,#,#,,,,
Siu Ming,drink,-ed,a sip of,wine,#,at,Ah Sing,ear,side,say,#,I,home,(measure),cat,need to,give birth,babies,(particle),#,#,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,
然後,就,走,咗,出,門口,。,,,,,,,,,,,,,,,,,,,
