[0],,,,,,,,,,,,,,,,,,,,,,
感情,問題,,,,,,,,,,,,,,,,,,,,,
gam2-cing4,man6-tai4,,,,,,,,,,,,,,,,,,,,,
affection,question,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,
今日,起身,我,個,女朋友,問,我,佢,有,乜嘢,唔同,咗,。,,,,,,,,,,
gam1-jat6,hei2-san1,ngo5,go3,neoi5-pang4-jau5,man6,ngo5,keoi5,jau5,mat1-je5,m4-tung4,zo2,#,,,,,,,,,,
today,to get up,I,(measure),girlfriend,ask,I,she,have,what,different,-en,#,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,
我,覺得,佢,想,揾,嘢,嘈,我,，,即刻,收,晒,碗,碟,好好,坐,。,,,,,,
ngo5,gok3-dak1,keoi5,soeng2,wan2,je5,cou4,ngo5,#,zik1-hak1,sau1,saai3,wun2,dip6,hou2-hou2,co5,#,,,,,,
I,feel,she,want to,find,thing,to make a fuzz,I,#,at once,collect,all,bowl,dish,nicely,sit,#,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,
我,話,乜,都,唔同,咗,喎,！,頭髮,唔同,咗,，,眼,耳,口,鼻,都,唔同,咗,，,,,
ngo5,waa6,mat1,dou1,m4-tung4,zo2,wo3,#,tau4-faat3,m4-tung4,zo2,#,ngaan5,ji5,hau2,bei6,dou1,m4-tung4,zo2,#,,,
I,say,whatever,"all, also",different,-en,(particle),#,hair,different,-en,#,eye,ear,mouth,nose,"all, also",different,-en,#,,,
[1d],,,,,,,,,,,,,,,,,,,,,,
一個,字,：,靚,咗,！,,,,,,,,,,,,,,,,,
jat1-go3,zi6,#,leng3,zo2,#,,,,,,,,,,,,,,,,,
one (measure),word,#,pretty,-en,#,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,
佢,就,問,我,肚唔肚餓,，,諗住,淥,碗,麪,過,我,。,,,,,,,,,,
keoi5,zau6,man6,ngo5,tou5-m4-tou5-ngo6,#,nam2-zyu6,luk6,wun2,min6,gwo3,ngo5,#,,,,,,,,,,
she,then,ask,I,hungry or not,#,thinking about,boil,bowl of,noodles,for,I,#,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,
兄弟,過,你,幾,招,，,唔使,多謝,我,。,,,,,,,,,,,,,
hing1-dai6,gwo3,nei5,gei2,ziu1,#,m4-sai2,do1-ze6,ngo5,#,,,,,,,,,,,,,
brothers,pass,you,several,moves,#,no need,thank,I,#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,
你,信,我,，,我,冇,做,過,。,,,,,,,,,,,,,,
nei5,seon3,ngo5,#,ngo5,mou5,zou6,gwo3,#,,,,,,,,,,,,,,
you,believe,I,#,I,don't have,to do,-ed,#,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,
「,你,乜,都,唔,使,講,，,我,日日,見,你,facebook,揾,女仔,，,,,,,,,
#,nei5,mat1,dou1,m4,sai2,gong2,#,ngo5,jat6-jat6,gin3,nei5,facebook,wan2,neoi5-zai2,#,,,,,,,
#,you,what,"all, also",not,need,to say,#,I,every day,see,you,facebook,find,girl,#,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,
我,懷疑,你,出面,有,第三,者,啊,，,叫,我,仲,點,信,你,？,」,,,,,,
ngo5,waai4-ji4,nei5,ceot1-min6,jau5,dai6-saam1,ze2,aa3,#,giu3,ngo5,zung6,dim2,seon3,nei5,#,#,,,,,,
I,doubt,you,outside,have,third,person,(particle),#,ask,I,still,how,to trust,you,#,#,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,
我,只係,like,咗,七,八,張,靚女,相,。,,,,,,,,,,,,,
ngo5,zi2-hai6,like,zo2,cat1,baat3,zoeng1,leng3-neoi2,soeng2,#,,,,,,,,,,,,,
I,just only,like,-en,seven,eight,(measure),pretty girl,photograph,#,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,
「,不如,你,拎,張,紙,畫,隻,龜,，,話,你,冇,做,過,。,」,,,,,,
#,bat1-jyu4,nei5,ling1,zoeng1,zi2,waak6,zek3,gwai1,#,waa6,nei5,mou5,zou6,gwo3,#,#,,,,,,
#,how about,you,take,(measure),paper,to draw,(measure),turtle,#,say,you,don't have,do,-ed,#,#,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,
我,做,咗,。,,,,,,,,,,,,,,,,,,,
ngo5,zou6,zo2,#,,,,,,,,,,,,,,,,,,,
I,do,-en,#,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,
「,我,都,係,唔,信,。,我,知,你,會,一,錯,再,錯,，,,,,,,,
#,ngo5,dou1,hai6,m4,seon3,#,ngo5,zi1,nei5,wui5,jat1,co3,zoi3,co3,#,,,,,,,
