[title],,,,,,,,,,,,,,,,,
幼稚園,好,多,嘢,玩,,,,,,,,,,,,,
jau3-zi6-jyun2,hou2,do1,je5,waan2,,,,,,,,,,,,,
kindergarten,very,many,thing,play,,,,,,,,,,,,,
[0],,,,,,,,,,,,,,,,,
媽媽,洗,咗,啲,生果,畀,阿女,。,,,,,,,,,,
maa4-maa1,sai2,zo2,di1,saang1-gwo2,bei2,aa3-neoi2,#,,,,,,,,,,
mother,wash,-ed,some,fruit,give,daughter,#,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,
媽,：,幼稚園,老師,都,會,畀,生果,你,做,茶點,。,,,,,,
maa1,#,jau3-zi6-jyun2,lou5-si1,dou1,wui5,bei2,saang1-gwo2,nei5,zou6,caa4-dim2,#,,,,,,
mother,#,kindergarten,teacher,also,will,give,fruit,you,for,afternoon tea,#,,,,,,
[2],,,,,,,,,,,,,,,,,
女,：,唔係,媽媽,畀,咩,？,,,,,,,,,,,
neoi2,#,m4-hai6,maa4-maa1,bei2,me1,#,,,,,,,,,,,
daughter,#,is not,mother,give,(particle),#,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,
爸,：,爸爸,媽媽,唔會,跟,你,去,幼稚園,啊,。,,,,,,,
baa1,#,baa4-baa1,maa4-maa1,m4-wui5,gan1,nei5,heoi3,jau3-zi6-jyun2,aa3,#,,,,,,,
dad,#,father,mother,will not,follow,you,go to,kindergarten,(particle),#,,,,,,,
[4],,,,,,,,,,,,,,,,,
女,：,我,唔要,！,,,,,,,,,,,,,
neoi2,#,ngo5,m4-jiu3,#,,,,,,,,,,,,,
daughter,#,I,do not want,#,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,
媽,：,個,個,小朋友,嘅,爸爸,媽媽,都,去,幼稚園,嘅話,，,,,,,
maa1,#,go3,go3,siu2-pang4-jau5,ge3,baa4-baa1,maa4-maa1,dou1,heoi3,jau3-zi6-jyun2,ge3-waa2,#,,,,,
ma,#,every,every,children,('s),father,mother,also,go,kindergarten,if,#,,,,,
[6],,,,,,,,,,,,,,,,,
幼稚園,入面,就,會,有,太,多,人,㗎喇,！,,,,,,,,
jau3-zi6-jyun2,jap6-min6,zau6,wui5,jau5,taai3,do1,jan4,gaa3-laa3,#,,,,,,,,
kindergarten,inside,as a result,will,have,too,many,people,(particle),#,,,,,,,,
[7],,,,,,,,,,,,,,,,,
但,唔使驚,㗎,阿女,，,幼稚園,老師,會,,,,,,,,,,
daan6,m4-sai2-geng1,gaa3,aa3-neoi2,#,jau3-zi6-jyun2,lou5-si1,wui5,,,,,,,,,,
but,don't be afraid,(particle),daughter,#,kindergarten,teacher,will,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,
陪住,你,同,其他,小朋友,，,又,會,睇實,你哋,,,,,,,,
pui4-zyu6,nei5,tung4,kei4-taa1,siu2-pang4-jau5,#,jau6,wui5,tai2-sat6,nei5-dei6,,,,,,,,
accompany,you,and,other,children,#,also,will,take care,you (plural),,,,,,,,
[9],,,,,,,,,,,,,,,,,
有冇,整親,或者,唔,開心,！,,,,,,,,,,,,
