[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,媽媽,得閒,，,佢,想,靜靜,睇,下,書,。,不過,仔仔,都,一樣,好,得閒,。,佢,冇,嘢,做,。,佢,成日,都,唔聽話,，,開始,想,做,啲,好,曳,嘅,事,。,,,,,,,,,,,,,,,
gam1-jat6,maa4-maa1,dak1-haan4,#,keoi5,soeng2,zing6-zing2,tai2,haa5,syu1,#,bat1-gwo3,zai4-zai2,dou1,jat1-joeng6,hou2,dak1-haan4,#,keoi5,mou5,je5,zou6,#,keoi5,sing4-jat6,dou1,m4-teng1-waa6,#,hoi1-ci2,soeng2,zou6,di1,hou2,jai5,ge3,si6,#,,,,,,,,,,,,,,,
today,mother,free,#,she,want to,quietly,read,a while,book,#,but,son,also,the same,very,free,#,he,don't have,thing,to do,#,he,always,all,don't obey,#,begin to,want to,do,some,very,naughty,-,matter,#,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仔仔,嘈住,話,：,「,媽媽,，,攞,嗰邊,嗰,個,藍色,盒,畀,我,！,我,想,要,嗰,個,藍色,盒,！,我,想,睇下,裏面,有,乜嘢,！,」,媽媽,答,佢,：,「,等陣,先,攞,畀,你,啦,！,」,,,,,,,
zai4-zai2,cou4-zyu6,waa6,#,#,maa4-maa1,#,lo2,go2-bin1,go2,go3,laam4-sik1,hap2,bei2,ngo5,#,ngo5,soeng2,jiu3,go2,go3,laam4-sik1,hap2,#,ngo5,soeng2,tai2-haa5,leoi5-min6,jau5,mat1-je5,#,#,maa4-maa1,daap3,keoi5,#,#,dang2-zan6,sin1,lo2,bei2,nei5,laa1,#,#,,,,,,,
son,disturb,to say,#,#,mother,#,take,there,that,(measure),blue,box,to,me,#,I,want to,have,that,(measure),blue,box,#,I,want to,take a look,inside,have,what,#,#,mother,reply,him,#,#,later,then,take,to,you,(particle),#,#,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仔仔,企,上,張,櫈,度,，,佢,想,自己,攞,個,藍色,盒,落嚟,。,媽媽,大叫,：,「,唔好,啊,！,阿仔,！,你,一,攞,走,最,下面,個,盒,，,上面,啲,盒,都,會,跌,落嚟,㗎,！,」,,,,,,,,
zai4-zai2,kei5,soeng5,zoeng1,dang3,dou6,#,keoi5,soeng2,zi6-gei2,lo2,go3,laam4-sik1,hap2,lok6-lai4,#,maa4-maa1,daai6-giu3,#,#,m4-hou2,aa3,#,aa3-zai2,#,nei5,jat1,lo2,zau2,zeoi3,haa6-min6,go3,hap2,#,soeng6-min6,di1,hap2,dou1,wui5,dit3,lok6-lai4,gaa3,#,#,,,,,,,,
son,stand,onto,(measure),chair,there,#,he,want to,oneself,take,(measure),blue,box,down,#,mother,shout,#,#,don't,(particle),#,son,#,you,once,take,away,the most,bottom,(measure),box,#,above,those,boxes,all,will,fall,down,(particle),#,#,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仔仔,嬲,咗,媽媽,，,佢,覺得,媽媽,唔幫,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zai4-zai2,nau1,zo2,maa4-maa1,#,keoi5,gok3-dak1,maa4-maa1,m4-bong1,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
son,angry,-ed,mother,#,he,think,mother,don't help,him,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,見到,仔仔,唔開心,，,諗住,同,仔仔,出去,行,下,。,「,嚟,啦,，,阿仔,！,同,媽媽,一齊,去,街市,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gin3-dou2,zai4-zai2,m4-hoi1-sam1,#,nam2-zyu6,tung4,zai4-zai2,ceot1-heoi3,haang4,haa5,#,#,lai4,laa1,#,aa3-zai2,#,tung4,maa4-maa1,jat1-cai4,heoi3,gaai1-si5,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,see,son,not happy,#,intend to,with,son,go out,to walk,a while,#,#,come,(particle),#,son,#,with,mother,together,go to,wet market,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,同,仔仔,去,揾,賣,生果,嘅,伯伯,。,媽媽,諗住,買,啲,蘋果,返去,。,仔仔,見到,啲,橙,，,佢,望住,最,下面,嗰,個,話,：,「,我,想,要,嗰,個,橙,！,」,,,,,,,,,,,,,
maa4-maa1,tung4,zai4-zai2,heoi3,wan2,maai6,saang1-gwo2,ge3,baak3-baak3,#,maa4-maa1,nam2-zyu6,maai5,di1,ping4-gwo2,faan1-heoi3,#,zai4-zai2,gin3-dou2,di1,caang2,#,keoi5,mong6-zyu6,zeoi3,haa6-min6,go2,go3,waa6,#,#,ngo5,soeng2,jiu3,go2,go3,caang2,#,#,,,,,,,,,,,,,
mother,and,son,go to,find,sell,fruits,-,old man,#,mother,intend to,buy,some,apples,to go back,#,son,see,those,oranges,#,he,stare at,the most,bottom,that,(measure),to say,#,#,I,want to,have,that,(measure),orange,#,#,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賣,生果,嘅,伯伯,鬧,佢,：,「,唔准,！,你,隻,曳曳豬,！,你,一,攞,走,最,下面,個,橙,，,上面,啲,橙,都,會,跌,落嚟,㗎,！,」,,,,,,,,,,,,,,,,,,,
maai6,saang1-gwo2,ge3,baak3-baak3,naau6,keoi5,#,#,m4-zeon2,#,nei5,zek3,jai1-jai1-zyu1,#,nei5,jat1,lo2,zau2,zeoi3,haa6-min6,go3,caang2,#,soeng6-min6,di1,caang2,dou1,wui5,dit3,lok6-lai4,gaa3,#,#,,,,,,,,,,,,,,,,,,,
sell,fruits,-,old man,scold,him,#,#,not allowed,#,you,(measure),naughty pig,#,you,once,take,away,the most,bottom,(measure),orange,#,above,those,oranges,all,will,fall,down,(particle),#,#,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仔仔,走,咗,入,一,間,賣,書,嘅,舖頭,度,。,佢,見到,好多,書,。,佢,望住,最,下面,嗰,本,書,話,：,「,我,想,要,嗰,本,書,！,」,,,,,,,,,,,,,,,,,
zai4-zai2,zau2,zo2,jap6,jat1,gaan1,maai6,syu1,ge3,pou3-tau2,dou6,#,keoi5,gin3-dou2,hou2-do1,syu1,#,keoi5,mong6-zyu6,zeoi3,haa6-min6,go2,bun2,syu1,waa6,#,#,ngo5,soeng2,jiu3,go2,bun2,syu1,#,#,,,,,,,,,,,,,,,,,
son,walk,-ed,into,one,(measure),sell,books,-,shop,there,#,he,see,many,books,#,he,stare at,the most,bottom,that,(measure),book,to say,#,#,I,want to,have,that,(measure),book,#,#,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賣,書,嘅,哥哥,叫,停,佢,：,「,停手,啊,！,細路,！,你,一,攞,走,最,下面,嗰,本,書,，,上面,啲,書,都,會,跌,落嚟,㗎,！,」,,,,,,,,,,,,,,,,,,
maai6,syu1,ge3,go4-go1,giu3,ting4,keoi5,#,#,ting4-sau2,aa3,#,sai3-lou6,#,nei5,jat1,lo2,zau2,zeoi3,haa6-min6,go2,bun2,syu1,#,soeng6-min6,di1,syu1,dou1,wui5,dit3,lok6-lai4,gaa3,#,#,,,,,,,,,,,,,,,,,,
sell,books,-,young man,yell,to stop,him,#,#,stop,(particle),#,kid,#,you,once,take,away,the most,bottom,that,(measure),book,#,above,those,books,all,will,fall,down,(particle),#,#,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仔仔,又,走到去,賣,點心,嘅,叔叔,度,。,叔叔,堆,高,啲,咖喱角,。,仔仔,見到,啲,咖喱角,，,佢,望住,最,下面,嗰,嚿,話,：,「,我,想,食,嗰,嚿,！,」,,,,,,,,,,,,,,,,
zai4-zai2,jau6,zau2-dou3-heoi3,maai6,dim2-sam1,ge3,suk1-suk1,dou6,#,suk1-suk1,deoi1,gou1,di1,gaa3-lei1-gok3,#,zai4-zai2,gin3-dou2,di1,gaa3-lei1-gok3,#,keoi5,mong6-zyu6,zeoi3,haa6-min6,go2,gau6,waa6,#,#,ngo5,soeng2,sik6,go2,gau6,#,#,,,,,,,,,,,,,,,,
son,also,walked to,sell,dim-sum,-,uncle,there,#,uncle,pile,high,those,curry puffs,#,son,see,those,curry puffs,#,he,stare at,the most,bottom,that,(measure),to say,#,#,I,want to,eat,that,(measure),#,#,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賣,點心,嘅,叔叔,話,佢,：,「,唔好,！,你,一,攞,走,最,下面,嗰,嚿,，,上面,啲,咖喱角,都,會,跌,落嚟,㗎,！,你,攞,最,上面,嗰,嚿,咖喱角,啦,！,」,,,,,,,,,,,,,,
maai6,dim2-sam1,ge3,suk1-suk1,waa6,keoi5,#,#,m4-hou2,#,nei5,jat1,lo2,zau2,zeoi3,haa6-min6,go2,gau6,#,soeng6-min6,di1,gaa3-lei1-gok3,dou1,wui5,dit3,lok6-lai4,gaa3,#,nei5,lo2,zeoi3,soeng6-min6,go2,gau6,gaa3-lei1-gok3,laa1,#,#,,,,,,,,,,,,,,
sell,dim-sum,-,uncle,blame,him,#,#,Don't,#,you,once,take,away,the most,bottom,that,(measure),#,above,those,curry puffs,all,will,fall,down,(particle),#,you,take,the most,top,that,(measure),curry puff,(particle),#,#,,,,,,,,,,,,,,
