[2a],,,,,,,,,,,,,,,,,,,,
我,叫,小歌,。,,,,,,,,,,,,,,,,,
ngo5,giu3,Siu2-go1,#,,,,,,,,,,,,,,,,,
I,call,Siu-go,#,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,
我,有,我,自己,張,牀,，,呢度,係,我,自己,嘅,地方,。,,,,,,,
ngo5,jau5,ngo5,zi6-gei2,zoeng1,cong4,#,ni1-dou6,hai6,ngo5,zi6-gei2,ge3,dei6-fong1,#,,,,,,,
I,have,I,self,(measure),bed,#,here,is,I,self, 's,place,#,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,
我,鍾意,喺度,瞓覺,。,,,,,,,,,,,,,,,,
ngo5,zung1-ji3,hai2-dou6,fan3-gaau3,#,,,,,,,,,,,,,,,,
I,like,right here,to sleep,#,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,
不過,我,想,瞓,嗰陣,，,成日,都,有,人,撳,門鐘,。,,,,,,,,
bat1-gwo3,ngo5,soeng2,fan3,go2-zan6,#,sing4-jat6,dou1,jau5,jan4,gam6,mun4-zung1,#,,,,,,,,
but,I,want to,sleep,that time,#,always,all,there is,someone,press,door bell,#,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,
個,門鐘,好,曳曳,，,佢,喺度,「,鈴鈴,」,、,「,鈴鈴,」,噉樣,嘈住,我,。,,,
go3,mun4-zung1,hou2,jai1-jai1,#,keoi5,hai2-dou6,#,ling1-ling1,#,#,#,ling1-ling1,#,gam2-joeng2,cou4-zyu6,ngo5,#,,,
(measure),door bell,very,naughty,#,it,right here,#,Ding Dong!,#,#,#,Ding Dong!,#,in this way,disturb,me,#,,,
[4],,,,,,,,,,,,,,,,,,,,
我,覺得,好,嘈,。,我,轉一轉,身,，,向住,第二,邊,。,,,,,,,,
ngo5,gok3-dak1,hou2,cou4,#,ngo5,zyun3-jat1-zyun3,san1,#,hoeng3-zyu6,dai6-ji6,bin1,#,,,,,,,,
I,feel,very,noisy,#,I,turn a bit,body,#,face,the other,side,#,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,
跟住,到,個,電話,叫,喇,，,,,,,,,,,,,,,,
gan1-zyu6,dou3,go3,din6-waa2,giu3,laa3,#,,,,,,,,,,,,,,
and then,come to,(measure),telephone,shout,(particle),#,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,
佢,喺度,「,滋滋,」,、,「,滋滋,」,噉樣,嘈住,我,。,,,,,,,,
