[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢度,住,咗,好多,動物,。,佢,係,隻,驢,。,佢,個,名,叫,阿高,。,,,,,,,,,,,,,,
ni1-dou6,zyu6,zo2,hou2-do1,dung6-mat6,#,keoi5,hai6,zek3,lou4,#,keoi5,go3,meng2,giu3,Aa3-gou1,#,,,,,,,,,,,,,,
here,live,-ed,many,animals,#,it,is,(measure),donkey,#,it,(measure),name,call,Bheema,#,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,好,鍾意,瞓覺,。,佢,成日,瞓,到,好,晏,都,唔起身,。,,,,,,,,,,,,,,,,,
Aa3-gou1,hou2,zung1-ji3,fan3-gaau3,#,keoi5,sing4-jat6,fan3,dou3,hou2,aan3,dou1,m4-hei2-san1,#,,,,,,,,,,,,,,,,,
Bheema,very,like,to sleep,#,it,always,sleep,until,very,late,also,don't get up,#,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他,動物,食,早餐,嗰陣,，,阿高,仲,瞓,緊,。,,,,,,,,,,,,,,,,,,,,
kei4-taa1,dung6-mat6,sik6,zou2-caan1,go2-zan6,#,Aa3-gou1,zung6,fan3,gan2,#,,,,,,,,,,,,,,,,,,,,
other,animals,eat,breakfast,that time,#,Bheema,still,sleep,-ing,#,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,成日,都,冇,早餐,食,，,啲,早餐,畀,其他,動物,食,晒,。,,,,,,,,,,,,,,,,
keoi5,sing4-jat6,dou1,mou5,zou2-caan1,sik6,#,di1,zou2-caan1,bei2,kei4-taa1,dung6-mat6,sik6,saai3,#,,,,,,,,,,,,,,,,
it,always,also,don't have,breakfast,to eat,#,those,breakfast,by,other,animals,eat,all,#,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,阿高,又,冇,早餐,食,喇,。,佢,覺得,好,肚餓,，,好,唔開心,。,,,,,,,,,,,,,,,
gam1-jat6,Aa3-gou1,jau6,mou5,zou2-caan1,sik6,laa3,#,keoi5,gok3-dak1,hou2,tou5-ngo6,#,hou2,m4-hoi1-sam1,#,,,,,,,,,,,,,,,
today,Bheema,again,don't have,breakfast,to eat,(particle),#,it,feel,very,hungry,#,very,unhappy,#,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
住,喺,隔籬,嘅,牛牛,問,佢,：,「,點解,你,咁,唔開心,嘅,？,」,,,,,,,,,,,,,,,
zyu6,hai2,gaak3-lei4,ge3,Ngau4-ngau2,man6,keoi5,#,#,dim2-gaai2,nei5,gam3,m4-hoi1-sam1,ge2,#,#,,,,,,,,,,,,,,,
live,at,next door,-,Gauri,ask,it,#,#,why,you,so,unhappy,(particle),#,#,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,答,佢,：,「,我,冇,食,早餐,，,好,肚餓,啊,！,」,,,,,,,,,,,,,,,,
Aa3-gou1,daap3,keoi5,#,#,ngo5,mou5,sik6,zou2-caan1,#,hou2,tou5-ngo6,aa3,#,#,,,,,,,,,,,,,,,,
Bheema,reply,it,#,#,I,didn't,eat,breakfast,#,very,hungry,(particle),#,#,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛牛,話,：,「,不如,聽日,我,叫醒,你,食,早餐,吖,！,」,,,,,,,,,,,,,,,,,
Ngau4-ngau2,waa6,#,#,bat1-jyu4,ting1-jat6,ngo5,giu3-seng2,nei5,sik6,zou2-caan1,aa1,#,#,,,,,,,,,,,,,,,,,
Gauri,say,#,#,why not,tomorrow,I,wake up,you,to eat,breakfast,(particle),#,#,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,話,：,「,好,啊,！,唔該,你,！,」,,,,,,,,,,,,,,,,,,,,
Aa3-gou1,waa6,#,#,hou2,aa3,#,m4-goi1,nei5,#,#,,,,,,,,,,,,,,,,,,,,
Bheema,say,#,#,good,(particle),#,thank,you,#,#,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,咗,第二,日,，,牛牛,都係,叫唔醒,阿高,。,,,,,,,,,,,,,,,,,,,,,
dou3,zo2,dai6-ji6,jat6,#,Ngau4-ngau2,dou1-hai6,giu3-m4-seng2,Aa3-gou1,#,,,,,,,,,,,,,,,,,,,,,
arrive,-ed,the next,day,#,Gauri,also,cannot wake up,Bheema,#,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,咗,晏晝,，,阿高,去,到,海邊,，,佢,要,送,貨,畀,狗狗,。,,,,,,,,,,,,,,,
dou3,zo2,aan3-zau3,#,Aa3-gou1,heoi3,dou3,hoi2-bin1,#,keoi5,jiu3,sung3,fo3,bei2,Gau2-gau2,#,,,,,,,,,,,,,,,
arrive,-ed,afternoon,#,Bheema,go,to,seaside,#,it,need to,deliver,goods,to,Moti,#,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
狗狗,見到,阿高,，,問,佢,：,「,點解,你,咁,唔開心,嘅,？,」,,,,,,,,,,,,,,,,
Gau2-gau2,gin3-dou2,Aa3-gou1,#,man6,keoi5,#,#,dim2-gaai2,nei5,gam3,m4-hoi1-sam1,ge2,#,#,,,,,,,,,,,,,,,,
Moti,see,Bheema,#,ask,it,#,#,why,you,so,unhappy,(particle),#,#,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,答,佢,：,「,我,已經,兩,日,冇,食,早餐,喇,！,」,,,,,,,,,,,,,,,,
Aa3-gou1,daap3,keoi5,#,#,ngo5,ji5-ging1,loeng5,jat6,mou5,sik6,zou2-caan1,laa3,#,#,,,,,,,,,,,,,,,,
Bheema,reply,it,#,#,I,already,two,days,didn't,eat,breakfast,already,#,#,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
狗狗,話,：,「,不如,聽日,我,叫,你,起身,，,一齊,食,早餐,吖,！,」,,,,,,,,,,,,,,
Gau2-gau2,waa6,#,#,bat1-jyu4,ting1-jat6,ngo5,giu3,nei5,hei2-san1,#,jat1-cai4,sik6,zou2-caan1,aa1,#,#,,,,,,,,,,,,,,
Moti,say,#,#,why not,tomorrow,I,wake,you,to get up,#,together,eat,breakfast,(particle),#,#,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,話,：,「,好,啊,！,唔該,你,！,」,,,,,,,,,,,,,,,,,,,,
Aa3-gou1,waa6,#,#,hou2,aa3,#,m4-goi1,nei5,#,#,,,,,,,,,,,,,,,,,,,,
Bheema,say,#,#,good,(particle),#,thank,you,#,#,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,咗,第二,朝,，,狗狗,都係,叫唔醒,阿高,。,,,,,,,,,,,,,,,,,,,,,
dou3,zo2,dai6-ji6,ziu1,#,Gau2-gau2,dou1-hai6,giu3-m4-seng2,Aa3-gou1,#,,,,,,,,,,,,,,,,,,,,,
arrive,-ed,the next,morning,#,Moti,also,cannot wake up,Bheema,#,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,阿高,一樣,冇,早餐,食,。,佢,冇,晒,力,噉,瞓,喺,啲,草,度,。,,,,,,,,,,,,
gam1-jat6,#,Aa3-gou1,jat1-joeng6,mou5,zou2-caan1,sik6,#,keoi5,mou5,saai3,lik6,gam2,fan3,hai2,di1,cou2,dou6,#,,,,,,,,,,,,
today,#,Bheema,the same,don't have,breakfast,to eat,#,it,don't have,all,energy,in this way,lie,on,those,grass,there,#,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雞先生,行,過,，,見到,阿高,，,問,佢,：,「,點解,你,睇落,咁,攰,嘅,？,」,,,,,,,,,,,,
Gai1-sin1-saang1,haang4,gwo3,#,gin3-dou2,Aa3-gou1,#,man6,keoi5,#,#,dim2-gaai2,nei5,tai2-lok6,gam3,gui6,ge2,#,#,,,,,,,,,,,,
Cheenu,walk,pass,#,see,Bheema,#,ask,it,#,#,why,you,look,so,tired,(particle),#,#,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,答,佢,：,「,我,三,日,冇,食,早餐,喇,，,我,好,唔開心,！,」,,,,,,,,,,,,,
Aa3-gou1,daap3,keoi5,#,#,ngo5,saam1,jat6,mou5,sik6,zou2-caan1,laa3,#,ngo5,hou2,m4-hoi1-sam1,#,#,,,,,,,,,,,,,
Bheema,reply,it,#,#,I,three,days,didn't,eat,breakfast,already,#,I,very,unhappy,#,#,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雞先生,話,：,「,聽朝,等,我,叫醒,你,啦,！,我,一定,可以,嘅,！,」,,,,,,,,,,,,,,
Gai1-sin1-saang1,waa6,#,#,ting1-ziu1,dang2,ngo5,giu3-seng2,nei5,laa1,#,ngo5,jat1-ding6,ho2-ji5,ge3,#,#,,,,,,,,,,,,,,
Cheenu,say,#,#,tomorrow morning,let,me,wake up,you,(particle),#,I,sure,can,(particle),#,#,,,,,,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,話,：,「,好,啊,！,唔該,你,！,」,,,,,,,,,,,,,,,,,,,,
Aa3-gou1,waa6,#,#,hou2,aa3,#,m4-goi1,nei5,#,#,,,,,,,,,,,,,,,,,,,,
Bheema,say,#,#,good,(particle),#,thank,you,#,#,,,,,,,,,,,,,,,,,,,,
[5f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二,朝,，,雞先生,好,大聲,叫,，,都係,叫唔醒,阿高,。,,,,,,,,,,,,,,,,,,,
dai6-ji6,ziu1,#,Gai1-sin1-saang1,hou2,daai6-seng1,giu3,#,dou1-hai6,giu3-m4-seng2,Aa3-gou1,#,,,,,,,,,,,,,,,,,,,
the next,morning,#,Cheenu,very,loudly,scream,#,also,cannot wake up,Bheema,#,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,走,去,啲,樹,度,，,佢,見到,烏鴉仔,。,,,,,,,,,,,,,,,,,,,,
Aa3-gou1,zau2,heoi3,di1,syu6,dou6,#,keoi5,gin3-dou2,Wu1-aa1-zai2,#,,,,,,,,,,,,,,,,,,,,
Bheema,walk,to,those,trees,there,#,it,see,Kalu,#,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏鴉仔,講,緊,故事,畀,大家,聽,。,啲,聲,好,大,。,,,,,,,,,,,,,,,,,,
Wu1-aa1-zai2,gong2,gan2,gu3-si6,bei2,daai6-gaa1,teng1,#,di1,seng1,hou2,daai6,#,,,,,,,,,,,,,,,,,,
Kalu,tell,-ing,story,to,everyone,to hear,#,the,sound,very,large,#,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,烏鴉仔,，,不如,你,聽朝,叫醒,我,食,早餐,吖,！,,,,,,,,,,,,,,,,,,,
#,Wu1-aa1-zai2,#,bat1-jyu4,nei5,ting1-ziu1,giu3-seng2,ngo5,sik6,zou2-caan1,aa1,#,,,,,,,,,,,,,,,,,,,
#,Kalu,#,why not,you,tomorrow morning,wake up,me,to eat,breakfast,(particle),#,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,四,日,冇,食,早餐,喇,！,」,阿高,噉,同,烏鴉仔,講,。,,,,,,,,,,,,,,,,
ngo5,sei3,jat6,mou5,sik6,zou2-caan1,laa3,#,#,Aa3-gou1,gam2,tung4,Wu1-aa1-zai2,gong2,#,,,,,,,,,,,,,,,,
I,four,days,didn't,eat,breakfast,already,#,#,Bheema,in this way,with,Kalu,say,#,,,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏鴉仔,答,佢,：,「,好,啊,！,包喺我身上,啦,！,」,,,,,,,,,,,,,,,,,,,
Wu1-aa1-zai2,daap3,keoi5,#,#,hou2,aa3,#,baau1-hai2-ngo5-san1-soeng6,laa1,#,#,,,,,,,,,,,,,,,,,,,
Kalu,reply,it,#,#,good,(particle),#,I'll handle it,(particle),#,#,,,,,,,,,,,,,,,,,,,
[6f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,咗,第二,朝,，,烏鴉仔,都係,叫唔醒,阿高,。,,,,,,,,,,,,,,,,,,,,,
dou3,zo2,dai6-ji6,ziu1,#,Wu1-aa1-zai2,dou1-hai6,giu3-m4-seng2,Aa3-gou1,#,,,,,,,,,,,,,,,,,,,,,
arrive,-ed,the next,morning,#,Kalu,also,cannot wake up,Bheema,#,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他,動物,點,叫醒,佢,，,阿高,都係,醒,唔到,。,佢,好,唔開心,。,,,,,,,,,,,,,,,,
kei4-taa1,dung6-mat6,dim2,giu3-seng2,keoi5,#,Aa3-gou1,dou1-hai6,seng2,m4-dou2,#,keoi5,hou2,m4-hoi1-sam1,#,,,,,,,,,,,,,,,,
other,animals,how,wake up,it,#,Bheema,also,wake up,cannot,#,it,very,unhappy,#,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二,日,朝早,，,其他,動物,開始,食,早餐,喇,，,阿高,仲,瞓,緊,。,,,,,,,,,,,,,,,
dai6-ji6,jat6,ziu1-zou2,#,kei4-taa1,dung6-mat6,hoi1-ci2,sik6,zou2-caan1,laa3,#,Aa3-gou1,zung6,fan3,gan2,#,,,,,,,,,,,,,,,
the next,day,morning,#,other,animals,begin to,eat,breakfast,already,#,Bheema,still,sleep,-ing,#,,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,有,隻,烏蠅,飛,落,阿高,個,鼻,度,。,,,,,,,,,,,,,,,,,,
ni1-go3,si4-hau6,#,jau5,zek3,wu1-jing1,fei1,lok6,Aa3-gou1,go3,bei6,dou6,#,,,,,,,,,,,,,,,,,,
this,moment,#,there is,(measure),fly,fly,fall,Bheema,(measure),nose,there,#,,,,,,,,,,,,,,,,,,
[7d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,乞,……,嚏,！,」,阿高,打,咗,個,大,乞嚏,。,,,,,,,,,,,,,,,,,,
#,hat1,#-#,ci1,#,#,Aa3-gou1,daa2,zo2,go3,daai6,hat1-ci1,#,,,,,,,,,,,,,,,,,,
