[0],,,,,,,,,,,,,,,,,
數,下,有,幾多,動物,,,,,,,,,,,,,
sou2,haa5,jau5,gei2-do1,dung6-mat6,,,,,,,,,,,,,
count#گننا#गणना गर्न,a bit,have,how many,animal,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,
喺,水邊,，,有,一,隻,大笨象,。,,,,,,,,,,
hai2,seoi2-bin1,#,jau5,jat1,zek3,daai6-ban6-zoeng6,#,,,,,,,,,,
at#پر#मा,waterside#پانی کے کنارے#पानीको किनारा,##,have#ہے#छ,one#ایک#एक,(classifier),elephant#ہاتھی#हात्ती,##,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,
佢,好,口渴,，,慢慢,噉,行,緊,去,飲,水,。,,,,,,
keoi5,hou2,hau2-hot3,#,maan6-maan2,gam2,haang4,gan2,heoi3,jam2,seoi2,#,,,,,,
it#یہ#त्यो,very#بہت#धेरै,thirsty#پیاسا#तिर्खाएको,##,slowly#آہستہ آہستہ#बिस्तारै,-ly#-ly#-ly,walk#چلنا#हिडनु,-ing#-ing#-ing,to go#جانا#जानलाई,to drink#پینا#पिउनलाई,water#پانی#पानी,##,,,,,,
[2.1a],,,,,,,,,,,,,,,,,
有,其他,動物,都,喺度,飲,緊,水,喎,。,,,,,,,,
jau5,kei4-taa1,dung6-mat6,dou1,hai2-dou6,jam2,gan2,seoi2,wo3,#,,,,,,,,
have#ہے#छ,other#دوسرے#अन्य,animal#جانور#जनावर,also#بھی#पनि,right here#یہیں#यँही,drink#پینا#पिउनु,-ing#-ing#-ing,water#پانی#पानी,(particle),##,,,,,,,,
[2.1b],,,,,,,,,,,,,,,,,
原來,係,長頸鹿,嚟,，,佢哋,條,頸,好,長,。,,,,,,,
jyun4-loi4,hai6,coeng4-geng2-luk2,lai4,#,keoi5-dei6,tiu4,geng2,hou2,coeng4,#,,,,,,,
it turns out#یہ ثابت ہوتا ہے#यो पत्ता लागेको,is#ہے#छ,giraffe#زرافہ#जिराफ,is#ہے#छ,##,they#وہ#तिनीहरू,(classifier),neck#گردن#घाँटी,very#بہت#धेरै,long#لمبا#लामो,##,,,,,,,
[2.1c],,,,,,,,,,,,,,,,,
你,數,唔,數,到,呢度,有,幾多,隻,長頸鹿,？,,,,,,,
nei5,sou2,m4,sou2,dou2,ni1-dou6,jau5,gei2-do1,zek3,coeng4-geng2-luk2,#,,,,,,,
you#تم#तपाईं,count#گننا#गणना गर्न,not#نہیں#होइन,count#گننا#गणना गर्न,can#کر سکتے#सक्छौ,here#یہاں#यहाँ,have#ہے#छ,how many#کتنے#कति वटा,(classifier),giraffe#زرافہ#जिराफ,##,,,,,,,
[2.1d],,,,,,,,,,,,,,,,,
係,兩,隻,啊,。,,,,,,,,,,,,,
hai6,loeng5,zek3,aa3,#,,,,,,,,,,,,,
is#ہے#छ,two#دو#दुई,(classifier),(particle),##,,,,,,,,,,,,,
[2.2a],,,,,,,,,,,,,,,,,
一,隻,象,和,＿＿,隻,長頸鹿,，,,,,,,,,,,
