[2],,,,,,,,,,,,
蝴蝶,飛,到,高一高,，,佢,喺,天空,跳,緊,舞,。,
wu4-dip2,fei1,dou3,gou1-jat1-gou1,#,keoi5,hai2,tin1-hung1,tiu3,gan2,mou5,#,
butterfly,fly,to,very high,#,it,at,the sky,jump,-ing,dance,#,
[3],,,,,,,,,,,,
蜜蜂,停低,飲,杯,茶,，,佢,要,多,糖,唔,飛沙,。
mat6-fung1,ting4-dai1,jam2,bui1,caa4,#,keoi5,jiu3,do1,tong4,m4,fei1-saa1,#
bee,stop,drink,cup of,tea,#,it,want,more,sugar,not,no sugar,#
[4],,,,,,,,,,,,
碟,上,有,條,紅衫魚,，,佢,喺,呢度,覺覺豬,。,,
dip2,soeng6,jau5,tiu4,hung4-saam1-jyu2,#,keoi5,hai2,ni1-dou6,gaau4-gaau1-zyu1,#,,
dish,on,have,(measure),golden threadfin bream fish,#,it,at,here,sleep,#,,
[5],,,,,,,,,,,,
狗仔,攞,唔到,個,波,，,青蛙,跳,高,接住,咗,。,
gau2-zai2,lo2,m4-dou2,go3,bo1,#,cing1-waa1,tiu3,gou1,zip3-zyu6,zo2,#,
puppy,get,cannot,(measure),ball,#,frog,jump,high,catch,-ed,#,
[6],,,,,,,,,,,,
太陽,一陣間,落山,，,曬,到,鴨仔,成身,橙,。,,,
taai3-joeng4,jat1-zan6-gaan1,lok6-saan1,#,saai3,dou3,aap3-zai2,sing4-san1,caang2,#,,,
the sun,in a while,go down the mountain,#,shine,till,duckling,the whole body,orange,#,,,
[7],,,,,,,,,,,,
靚靚,花朵,紫,又,紅,，,上面,有,條,青,毛蟲,。,
leng3-leng3,faa1-do2,zi2,jau6,hung4,#,soeng6-min6,jau5,tiu4,ceng1,mou4-cung4,#,
pretty,flower,purple,and,red,#,above,there is,(measure),blue-green,caterpillar,#,
[8],,,,,,,,,,,,
貓仔,雖然,戴,橙,帽,，,都,遮,唔住,啲,黑,毛,。
maau1-zai2,seoi1-jin4,daai3,caang2,mou2,#,dou1,ze1,m4-zyu6,di1,hak1,mou4,#
kitten,although,put on,orange,hat,#,still,cover,cannot,those,black,fur,#
[9],,,,,,,,,,,,
細細粒,嘅,老鼠仔,，,住,嗰,間,屋,都,唔曳,。,,
sai3-sai3-nap1,ge3,lou5-syu2-zai2,#,zyu6,go2,gaan1,uk1,dou1,m4-jai5,#,,
tiny,-,small mouse,#,live,that,(measure),house,also,not bad,#,,
[10],,,,,,,,,,,,
啡,毛,狐狸,好,密實,，,行街,要,着,四,隻,襪,。
fe1,mou4,wu4-lei2,hou2,mat6-sat6,#,haang4-gaai1,jiu3,zoek3,sei3,zek3,mat6,#
brown,fur,fox,very,conservative,#,walk on street,have to,wear,four,(measure),socks,#
[11],,,,,,,,,,,,
草蜢,一身,都係,綠,，,打開,本,書,仔細,讀,。,,
cou2-maang5,jat1-san1,dou1-hai6,luk6,#,daa2-hoi1,bun2,syu1,zi2-sai3,duk6,#,,
grasshopper,the whole body,all,green,#,open,(measure),book,careful,read,#,,
[12],,,,,,,,,,,,
黑色,山羊,坐,住,船,，,喺,河,上面,轉,緊,圈,。
hak1-sik1,saan1-joeng4,co5,zyu6,syun4,#,hai2,ho4,soeng6-min6,zyun3,gan2,hyun1,#
black,goat,take,-ing,ship,#,at,river,above,turn,-ing,circle,#
[13],,,,,,,,,,,,
見到,淺,水,有,鱷魚,，,走,得,太,慢,就,執輸,。
gin3-dou2,cin2,seoi2,jau5,ngok6-jyu4,#,zau2,dak1,taai3,maan6,zau6,zap1-syu1,#
see,shallow,water,there is,crocodile,#,leave,in a way,too,slow,then,lose out,#
[14],,,,,,,,,,,,
生日,蛋糕,好,好味,，,阿蛇,食,到,舔舔脷,。,,,
saang1-jat6,daan6-gou1,hou2,hou2-mei6,#,aa3-se4,sik6,dou3,lem2-lem2-lei6,#,,,
birthday,cake,very,delicious,#,snake,eat,till,licking tongue,#,,,
[15],,,,,,,,,,,,
雞,媽媽,想,學,寫,字,，,雞仔,踩,污糟,張,紙,。
gai1,maa4-maa1,soeng2,hok6,se2,zi6,#,gai1-zai2,caai2,wu1-zou1,zoeng1,zi2,#
chicken,mother,want to,study,to write,words,#,chick,tread,dirty,(measure),paper,#
[16],,,,,,,,,,,,
老虎,成身,黑,又,黃,，,佢,喺,水,邊,曬太陽,。,
lou5-fu2,sing4-san1,hak1,jau6,wong4,#,keoi5,hai2,seoi2,bin1,saai3-taai3-joeng4,#,
tiger,the whole body,black,and,yellow,#,it,at,water,side,sunbathe,#,
[17],,,,,,,,,,,,
動物,背後,嘅,故事,，,諗,到,我,再,話你知,。,,
dung6-mat6,bui3-hau6,ge3,gu3-si6,#,nam2,dou2,ngo5,zoi3,waa6-nei5-zi1,#,,
animal,behind,-,story,#,think,can,I,again,let you know,#,,
