[0],,,,,,,,,,,,,,,,,,,,,,,,,
冷線,好,有用,,,,,,,,,,,,,,,,,,,,,,,
laang1-sin3,hou2,jau5-jung6,,,,,,,,,,,,,,,,,,,,,,,
knitting yarn,very,useful,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,拎,咗,個,冷線,球,出嚟,。,啲,冷線,係,紅色,嘅,。,婆婆,用,佢,嚟,幫,細佬,織,冷帽,。,,,
po4-po2,ling1,zo2,go3,laang1-sin3,kau4,ceot1-lai4,#,di1,laang1-sin3,hai6,hung4-sik1,ge3,#,po4-po2,jung6,keoi5,lai4,bong1,sai3-lou2,zik1,laang1-mou2,#,,,
grandma,take,-ed,(measure),knitting yarn,ball,out,#,those,knitting yarns,are,red,-,#,grandma,use,it,to,help,younger brother,knit,knitted hat,#,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,
黑,貓仔,睇落,好,鍾意,啲,冷線,喎,。,佢,係噉,玩,啲,冷,，,玩,到,啲,手手腳腳,都,畀,啲,冷,綁住,咗,。
hak1,maau1-zai2,tai2-lok6,hou2,zung1-ji3,di1,laang1-sin3,wo3,#,keoi5,hai6-gam2,waan2,di1,laang1,#,waan2,dou3,di1,sau2-sau2-goek3-goek3,dou1,bei2,di1,laang1,bong2-zyu6,zo2,#
black,kitten,seems,really,like,those,knitting yarns,(particle),#,it,keep,play,those,knitting yarns,#,play,till,those,hands and legs,all,by,those,knitting yarns,bind,-ed,#
[3],,,,,,,,,,,,,,,,,,,,,,,,,
我,同,家姐,都,攞,咗,啲,冷線,嚟,玩,。,我哋,玩,花繩,，,用,條,冷線,變,咗,好多,嘢,出嚟,。,,
ngo5,tung4,gaa1-ze1,dou1,lo2,zo2,di1,laang1-sin3,lai4,waan2,#,ngo5-dei6,waan2,faa1-sing2,#,jung6,tiu4,laang1-sin3,bin3,zo2,hou2-do1,je5,ceot1-lai4,#,,
I,and,elder sister,also,take,-ed,some,knitting yarns,to,play,#,we,play,string figure,#,use,(measure),knitting yarn,to transform,-ed,many,things,out,#,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,
我,又,用,條,冷線,綁住,個,氣球,，,等,個,氣球,唔好,飛,走,。,,,,,,,,,,
ngo5,jau6,jung6,tiu4,laang1-sin3,bong2-zyu6,go3,hei3-kau4,#,dang2,go3,hei3-kau4,m4-hou2,fei1,zau2,#,,,,,,,,,,
I,again,use,(measure),knitting yarn,to tie,(measure),balloon,#,let,(measure),balloon,do not,fly,away,#,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,
公公,成日,揾,唔到,眼鏡,。,我哋,用,條,冷線,綁住,佢,，,等,公公,掛住,佢,。,公公,讚,我哋,叻,。,,,
gung4-gung1,sing4-jat6,wan2,m4-dou2,ngaan5-geng2,#,ngo5-dei6,jung6,tiu4,laang1-sin3,bong2-zyu6,keoi5,#,dang2,gung4-gung1,gwaa3-zyu6,keoi5,#,gung4-gung1,zaan3,ngo5-dei6,lek1,#,,,
grandpa,always,find,cannot,eyeglasses,#,we,use,(measure),knitting yarn,to tie,it,#,let,grandpa,hang,it,#,grandpa,praise,we,brilliant,#,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,
我哋,又,用,條,冷線,綁住,啲,旗仔,，,幫,屋企,扮靚,。,係咪,好,靚,呢,？,,,,,,,,
ngo5-dei6,jau6,jung6,tiu4,laang1-sin3,bong2-zyu6,di1,kei4-zai2,#,bong1,uk1-kei2,baan6-leng3,#,hai6-mai6,hou2,leng3,ne1,#,,,,,,,,
we,again,use,(measure),knitting yarn,to tie,those,little flags,#,help,home,beautify,#,is or isn't,very,beautiful,(particle),#,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,
冷線,真係,好,有用,。,你,數唔數到,我哋,用,佢,嚟,做,咗,幾多,樣,嘢,呢,？,,,,,,,,
laang1-sin3,zan1-hai6,hou2,jau5-jung6,#,nei5,sou2-m4-sou2-dou2,ngo5-dei6,jung6,keoi5,lai4,zou6,zo2,gei2-do1,joeng6,je5,ne1,#,,,,,,,,
knitting yarn,really,very,useful,#,you,can or cannot count,we,use,it,to,make,-ed,how many,kind of,things,(particle),#,,,,,,,,
