[0],,,,,,,,,,,,,,,,,,,,,,,,,,,
手,同,腳,,,,,,,,,,,,,,,,,,,,,,,,,
sau2,tung4,goek3,,,,,,,,,,,,,,,,,,,,,,,,,
hand,and,leg,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋嘅,身體,有,兩,隻,手,，,兩,隻,腳,。,有,咗,手,同,腳,，,我,可以,跑,。,我,跑,得,幾,快,㗎,。
ngo5-dei6-ge3,san1-tai2,jau5,loeng5,zek3,sau2,#,loeng5,zek3,goek3,#,jau5,zo2,sau2,tung4,goek3,#,ngo5,ho2-ji5,paau2,#,ngo5,paau2,dak1,gei2,faai3,gaa3,#
our,body,have,two,(measure),hand,#,two,(measure),leg,#,have,-ed,hand,and,leg,#,I,can,run,#,I,run,(suffix),quite,fast,(particle),#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,
有,咗,手,同,腳,，,我,亦都,可以,跳,。,我,跳,得,幾,高,㗎,。,,,,,,,,,,
jau5,zo2,sau2,tung4,goek3,#,ngo5,jik6-dou1,ho2-ji5,tiu3,#,ngo5,tiu3,dak1,gei2,gou1,gaa3,#,,,,,,,,,,
have,-ed,hand,and,leg,#,I,also,can,jump,#,I,jump,(suffix),quite,high,(particle),#,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,可以,聽,住,歌,跳舞,。,我,覺得,跳舞,好,好玩,。,,,,,,,,,,,,,,,
ngo5,ho2-ji5,teng1,zyu6,go1,tiu3-mou5,#,ngo5,gok3-dak1,tiu3-mou5,hou2,hou2-waan2,#,,,,,,,,,,,,,,,
I,can,listen,-ing,song,to dance,#,I,feel,dance,very,amusing,#,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,可以,游水,。,我,鍾意,喺,夏天,游水,。,,,,,,,,,,,,,,,,,,
ngo5,ho2-ji5,jau4-seoi2,#,ngo5,zung1-ji3,hai2,haa6-tin1,jau4-seoi2,#,,,,,,,,,,,,,,,,,,
I,can,swim,#,I,like,in,summer,to swim,#,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,又,可以,跳繩,。,我,跳,到,好多,下,㗎,。,,,,,,,,,,,,,,,,
ngo5,jau6,ho2-ji5,tiu3-sing2,#,ngo5,tiu3,dou2,hou2-do1,haa5,gaa3,#,,,,,,,,,,,,,,,,
I,also,can,rope skipping,#,I,jump,can,many,time,(particle),#,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,仲,可以,踢波,。,我,鍾意,同,朋友,一齊,踢波,。,,,,,,,,,,,,,,,,
ngo5,zung6,ho2-ji5,tek3-bo1,#,ngo5,zung1-ji3,tung4,pang4-jau5,jat1-cai4,tek3-bo1,#,,,,,,,,,,,,,,,,
I,also,can,play football,#,I,like,with,friend,together,play football,#,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,
有,咗,手,同,腳,，,我,做,好多,嘢,都,好,方便,。,不過,我,唔識,飛,。,因為,我,唔似,雀仔,噉,有,對,翼,。
jau5,zo2,sau2,tung4,goek3,#,ngo5,zou6,hou2-do1,je5,dou1,hou2,fong1-bin6,#,bat1-gwo3,ngo5,m4-sik1,fei1,#,jan1-wai6,ngo5,m4-ci5,zoek3-zai2,gam2,jau5,deoi3,jik6,#
have,-ed,hand,and,leg,#,I,do,many,thing,all,very,convenient,#,but,I,don't know how,to fly,#,because,I,unlike,bird,in that way,have,pair,wing,#
