[0],,,,,,,,,,,,,,,,,,,,,,,,
我,可以,做,啲,咩,？,,,,,,,,,,,,,,,,,,,
ngo5,ho2-ji5,zou6,di1,me1,#,,,,,,,,,,,,,,,,,,,
I,can,to do,some,what,#,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,
今日,唔使,返,學校,，,我,好,得閒,。,「,媽媽,，,我,有,乜嘢,可以,做,㗎,？,」,我,噉,問,。,
gam1-jat6,m4-sai2,faan1,hok6-haau6,#,ngo5,hou2,dak1-haan4,#,#,maa4-maa1,#,ngo5,jau5,mat1-je5,ho2-ji5,zou6,gaa3,#,#,ngo5,gam2,man6,#,
today,no need,to return to,school,#,I,very,free,#,#,mother,#,I,have,what,can,to do,(particle),#,#,I,in this way,ask,#,
[3],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,玩,波波,？,好耐,冇,玩,過,喇,。,平時,我,眼界,唔,差,，,都,掟,得,幾,準,㗎,。
ngo5,hai6-mai6,ho2-ji5,waan2,bo1-bo1,#,hou2-noi6,mou5,waan2,gwo3,laa3,#,ping4-si4,ngo5,ngaan5-gaai3,m4,caa1,#,dou1,deng3,dak1,gei2,zeon2,gaa3,#
I,is or isn't,can,play,ball,#,long time,haven't,play,-ed,already,#,usually,I,vision,not,bad,#,also,throw,(suffix),quite,accurate,(particle),#
[4],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,同,細佬,玩,？,我,都,想,多啲,同,佢,一齊,。,,,,,,,,,,
ngo5,hai6-mai6,ho2-ji5,tung4,sai3-lou2,waan2,#,ngo5,dou1,soeng2,do1-di1,tung4,keoi5,jat1-cai4,#,,,,,,,,,,
I,is or isn't,can,with,younger brother,to play,#,I,also,want,more,with,him,together,#,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,打,鼓,？,我,打,得,唔錯,㗎,。,,,,,,,,,,,,,
ngo5,hai6-mai6,ho2-ji5,daa2,gu2,#,ngo5,daa2,dak1,m4-co3,gaa3,#,,,,,,,,,,,,,
