[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《,阿十,又,發白日夢,》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-Sap6,jau6,faat3-baak6-jat6-mung6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ah Ten,again,daydream,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿媽,：,「,起身,啦,！,」,阿十,：,「,我,個,名,叫,阿十,，,我,有,四,個,家姐,、,五,個,哥哥,同埋,小狗,阿花,。,唔好,睇,我,個,樣,好,細,，,我,已經,十歲,㗎喇,，,啱啱,升,小五,。,」,,,,
aa3-maa1,#,#,hei2-san1,laa1,#,#,Aa3-Sap6,#,#,ngo5,go3,meng2,giu3,Aa3-Sap6,#,ngo5,jau5,sei3,go3,gaa1-ze1,#,ng5,go3,go4-go1,tung4-maai4,siu2-gau2,Aa3-Faa1,#,m4-hou2,tai2,ngo5,go3,joeng2,hou2,sai3,#,ngo5,ji5-ging1,sap6-seoi3,gaa3-laa3,#,ngaam1-ngaam1,sing1,siu2-ng5,#,#,,,,
Mum,#,#,get up,(particle),#,#,Ah Ten,#,#,I,(measure),name,call,Ah Ten,#,I,have,four,(measure),elder sisters,#,five,(measure),elder brothers,and,puppy,Ah Fa,#,do not,look,I,(measure),face,very,young,#,I,already,ten years old,(particle),#,just now,go up,primary five,#,#,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿十,：,「,唉,！,又,要,起身,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Sap6,#,#,aai1,#,jau6,jiu3,hei2-san1,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah Ten,#,#,Sigh!,#,again,need to,get up,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,開始,喺度,諗,：,「,如果,我,條,頸,伸,到,好,長,，,噉,我,坐,喺,張,牀,度,，,就,睇,到,好,遠,嘅,嘢,，,我,咪,唔使,去,學校,囉,，,我,都,係,小朋友,嚟,，,唔使,去,學校,最,開心,！,」
ngo5,hoi1-ci2,hai2-dou6,nam2,#,#,jyu4-gwo2,ngo5,tiu4,geng2,san1,dou2,hou2,coeng4,#,gam2,ngo5,co5,hai2,zoeng1,cong4,dou6,#,zau6,tai2,dou2,hou2,jyun5,ge3,je5,#,ngo5,mai6,m4-sai2,heoi3,hok6-haau6,lo1,#,ngo5,dou1,hai6,siu2-pang4-jau5,lai4,#,m4-sai2,heoi3,hok6-haau6,zeoi3,hoi1-sam1,#,#
I,start,right here,to think,#,#,if,I,(measure),neck,stretch,can,very,long,#,then,I,sit,in,(measure),bed,there,#,then,see,can,very,far,-,things,#,I,then,don't need to,go to,school,(particle),#,I,also,am,child,(particle),#,don't need to,go to,school,the most,happy,#,#
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
