[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔關,我,事,㗎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-gwaan1,ngo5,si6,gaa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none of,my,business,(particle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,叫,阿六,，,今年,啱啱,十歲,喇,。,平時,我,最,鍾意,畫畫,喇,！,唔記得,講,下,今日,兩個,主角,，,狗仔,叫,阿大,，,貓仔,叫,阿細,。,」
#,ngo5,giu3,Aa3-Luk6,#,gam1-nin4,ngaam1-ngaam1,sap6-seoi3,laa3,#,ping4-si4,ngo5,zeoi3,zung1-ji3,waak6-waa2,laa3,#,m4-gei3-dak1,gong2,haa5,gam1-jat6,loeng5-go3,zyu2-gok3,#,gau2-zai2,giu3,Aa3-Daai6,#,maau1-zai2,giu3,Aa3-Sai3,#,#
#,I,am called,Aa Six,#,this year,just,ten years old,already,#,usually,I,most,like,painting,(particle),#,forget,to say,once,today,two,main characters,#,puppy,is called,Aa Big,#,kitten,is called,Aa Small,#,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,星期六,，,阿媽,出去,買嘢,，,阿六,就,坐,咗,喺度,畫畫,。,阿大,好想,知,阿六,喺度,做,緊,咩,啊,，,所以,諗住,跳過,去,睇下,。,,,
gam1-jat6,sing1-kei4-luk6,#,aa3-maa1,ceot1-heoi3,maai5-je5,#,Aa3-Luk6,zau6,co5,zo2,hai2-dou6,waak6-waa2,#,Aa3-Daai6,hou2-soeng2,zi1,Aa3-Luk6,hai2-dou6,zou6,gan2,me1,aa3,#,so2-ji5,nam2-zyu6,tiu3-gwo3,heoi3,tai2-haa5,#,,,
today,Saturday,#,Mum,go out,shopping,#,Aa Six,as a result,sit,-ed,right here,painting,#,Aa Big,really want,to know,Aa Six,right here,do,-ing,what,(particle),#,so,think of,jumping over,to,take a look,#,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,，,阿大,跳,咗,去,阿細,張,床,度,。,阿細,：,「,阿大,，,你,做咩,要,整亂,我,張,床,啊,！,搞錯,啊,。,」,,,,
dim2-zi1,#,Aa3-Daai6,tiu3,zo2,heoi3,Aa3-Sai3,zoeng1,cong4,dou6,#,Aa3-Sai3,#,#,Aa3-Daai6,#,nei5,zou6-me1,jiu3,zing2-lyun6,ngo5,zoeng1,cong4,aa3,#,gaau2-co3,aa3,#,#,,,,
however,#,Aa Big,jump,-ed,to,Aa Small,(measure),bed,there,#,Aa Small,#,#,Aa Big,#,you,for what reason,have to,mess up,my,(measure),bed,(particle),#,kidding me,(particle),#,#,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿細,依家,好,嬲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Sai3,ji1-gaa1,hou2,nau1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Small,now,very,angry,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿細,唔理,整,跌,晒,所有,嘢,，,淨係,想,追,返,阿大,。,阿細,：,「,阿大,，,你,唔好,走,啊,！,你,要,同,我,講,對唔住,！,」,
Aa3-Sai3,m4-lei5,zing2,dit3,saai3,so2-jau5,je5,#,zing6-hai6,soeng2,zeoi1,faan1,Aa3-Daai6,#,Aa3-Sai3,#,#,Aa3-Daai6,#,nei5,m4-hou2,zau2,aa3,#,nei5,jiu3,tung4,ngo5,gong2,deoi3-m4-zyu6,#,#,
Aa Small,don't care,make,fall,-ed,all,things,#,only,want,to chase,back,Aa Big,#,Aa Small,#,#,Aa Big,#,you,do not,leave,(particle),#,you,have to,with,me,say,sorry,#,#,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,阿細,見到,前面,冇得,行,，,跟住,想,即刻,停,喺度,。,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,Aa3-Sai3,gin3-dou2,cin4-min6,mou5-dak1,haang4,#,gan1-zyu6,soeng2,zik1-hak1,ting4,hai2-dou6,#,,,,,,,,,,,,,,,,,,,
suddenly,#,Aa Small,see,in front,can't,walk,#,and then,want,at once,stop,right here,#,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,見到,阿細,跌,緊,落嚟,，,佢,想,去,幫,阿細,。,點知,佢哋,兩個,撞,喺,一齊,。,,,,,,,,,,,,,
Aa3-Daai6,gin3-dou2,Aa3-Sai3,dit3,gan2,lok6-lai4,#,keoi5,soeng2,heoi3,bong1,Aa3-Sai3,#,dim2-zi1,keoi5-dei6,loeng5-go3,zong6,hai2,jat1-cai4,#,,,,,,,,,,,,,
Aa Big,see,Aa Small,fall,-ing,down,#,it,want,to go,to help,Aa Small,#,unexpectedly,they,two,bump,-ed,together,#,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿細,好,嬲,噉,鬧,緊,阿大,：,「,你,做咩,撞,我,，,老虎,唔,發嬲,，,當,我,係,病貓,！,」,,,,,,,,,
Aa3-Sai3,hou2,nau1,gam2,naau6,gan2,Aa3-Daai6,#,#,nei5,zou6-me1,zong6,ngo5,#,lou5-fu2,m4,faat3-nau1,#,dong3,ngo5,hai6,beng6-maau1,#,#,,,,,,,,,
Aa Small,very,angry,in this way,scold,-ing,Aa Big,#,#,you,for what reason,bump,me,#,tiger,not,get angry,#,consider,I,am,sick cat,#,#,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,好,唔開心,，,想,同,阿細,講,返,清楚,。,,,,,,,,,,,,,,,,,,,,,,
Aa3-Daai6,hou2,m4-hoi1-sam1,#,soeng2,tung4,Aa3-Sai3,gong2,faan1,cing1-co2,#,,,,,,,,,,,,,,,,,,,,,,
Aa Big,very,not happy,#,want,with,Aa Small,to say,back,clear,#,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,突然,追,住,阿細,，,阿細,好,驚,，,所以,跳,咗,上,張,食飯,枱,度,。,,,,,,,,,,,,,,
Aa3-Daai6,dat6-jin4,zeoi1,zyu6,Aa3-Sai3,#,Aa3-Sai3,hou2,geng1,#,so2-ji5,tiu3,zo2,soeng5,zoeng1,sik6-faan6,toi2,dou6,#,,,,,,,,,,,,,,
Aa Big,suddenly,chase,-ing,Aa Small,#,Aa Small,very,afraid,#,so,jump,-ed,up,(measure),dining,table,there,#,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,阿六,突然,聽到,開門,聲,。,佢,心諗,：,大件事,喇,！,,,,,,,,,,,,,,,,,,,,
dim2-zi1,Aa3-Luk6,dat6-jin4,teng1-dou2,hoi1-mun4,seng1,#,keoi5,sam1-nam2,#,daai6-gin6-si6,laa3,#,,,,,,,,,,,,,,,,,,,,
unexpectedly,Aa Six,suddenly,hear,door opening,sound,#,he,think,#,big trouble,(particle),#,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿六,望住,阿媽,，,好,驚,噉,講,：,「,阿媽,，,如果,我,同,你,講,，,唔關,我,事,，,你,信,唔,信,我,啊,？,」,,,
