[0],,,,,,,,,,,,,,,,,
奇幻,旅程,,,,,,,,,,,,,,,,
kei4-waan6,leoi5-cing4,,,,,,,,,,,,,,,,
miracle,journey,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,
我,好,鍾意,同,阿魚,去街,，,,,,,,,,,,,
ngo5,hou2,zung1-ji3,tung4,aa3-jyu2,heoi3-gaai1,#,,,,,,,,,,,
I,very,like,with,Aa Fish,go out,#,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,
今日,同,佢,去街,有,好多,嘢,發生,。,,,,,,,,,
gam1-jat6,tung4,keoi5,heoi3-gaai1,jau5,hou2-do1,je5,faat3-sang1,#,,,,,,,,,
today,with,she,go out,there are,many,thing,happen,#,,,,,,,,,
[3],,,,,,,,,,,,,,,,,
我,成日,都,會,覺得,啲,花花,草草,會,同,我,拍手,。,,,,,
ngo5,sing4-jat6,dou1,wui5,gok3-dak1,di1,faa1-faa1,cou2-cou2,wui5,tung4,ngo5,paak3-sau2,#,,,,,
I,always,also,will,feel,those,flower,grass,will,with,me,clap hands,#,,,,,
[4a],,,,,,,,,,,,,,,,,
我哋,慢慢,噉,行,，,有,件,得人驚,嘅,事,發生,咗,。,,,,,
ngo5-dei6,maan6-maan2,gam2,haang4,#,jau5,gin6,dak1-jan4-geng1,ge3,si6,faat3-sang1,zo2,#,,,,,
we,slowly,such,walk,#,there is,(measure),terrifying,s,thing,happen,-ed,#,,,,,
[4b],,,,,,,,,,,,,,,,,
有,隻,狗仔,望住,我,，,佢,同,我,講,：,,,,,,,
jau5,zek3,gau2-zai2,mong6-zyu6,ngo5,#,keoi5,tung4,ngo5,gong2,#,,,,,,,
there is,(measure),puppy,stare at,me,#,it,with,me,say,#,,,,,,,
[4c],,,,,,,,,,,,,,,,,
「,前面,會,有,我,嘅,朋友,，,你,見到,可以,同,佢哋,玩,下,。,」,
#,cin4-min6,wui5,jau5,ngo5,ge3,pang4-jau5,#,nei5,gin3-dou2,ho2-ji5,tung4,keoi5-dei6,waan2,haa5,#,#,
#,front,will,have,my,'s,friend,#,you,see able,can,with,them,play,(suffix),#,#,
[5a],,,,,,,,,,,,,,,,,
我,以為,聽,錯,咗,，,行,多,幾,步,，,點知,真係,有,貓,、,,
ngo5,ji5-wai4,teng1,co3,zo2,#,haang4,do1,gei2,bou6,#,dim2-zi1,zan1-hai6,jau5,maau1,#,,
I,thought,hear,wrong,-ed,#,walk,more,few,step,#,unexpectedly,really,have,cat,#,,
[5b],,,,,,,,,,,,,,,,,
老鼠,、,雀仔,同,樹,同,我,玩,。,,,,,,,,,
lou5-syu2,#,zoek3-zai2,tung4,syu6,tung4,ngo5,waan2,#,,,,,,,,,
mouse,#,bird,and,tree,with,me,play,#,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,
我,好,開心,，,終於,可以,同,動物,傾計,喇,。,,,,,,,
ngo5,hou2,hoi1-sam1,#,zung1-jyu1,ho2-ji5,tung4,dung6-mat6,king1-gai2,laa3,#,,,,,,,
I,very,happy,#,finally,can,with,animal,chat,(particle),#,,,,,,,
[6],,,,,,,,,,,,,,,,,
突然,我,見到,有,粒,石頭,。,,,,,,,,,,,
dat6-jin4,ngo5,gin3-dou2,jau5,lap1,sek6-tau4,#,,,,,,,,,,,
suddenly,I,see able,there is,(measure),stone,#,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,
原來,啲,石頭,都,識,講嘢,，,佢哋,好,凍,，,,,,,,,
jyun4-loi4,di1,sek6-tau4,dou1,sik1,gong2-je5,#,keoi5-dei6,hou2,dung3,#,,,,,,,
originally,those,stone,also,know,speaking,#,they,very,cold,#,,,,,,,
[7b],,,,,,,,,,,,,,,,,
所以,我,將,佢哋,放,喺,褲袋,。,,,,,,,,,,
so2-ji5,ngo5,zoeng1,keoi5-dei6,fong3,hai2,fu3-doi2,#,,,,,,,,,,
so,I,take,them,put,in,trouser pocket,#,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,
我,行,咗,一陣,，,原來,我,將,好,多,嘢,都,放,咗,落,褲袋,。,
ngo5,haang4,zo2,jat1-zan6,#,jyun4-loi4,ngo5,zoeng1,hou2,do1,je5,dou1,fong3,zo2,lok6,fu3-doi2,#,
I,walk,-ed,a while,#,turns out,I,take,very,many,thing,also,put,-ed,in,trouser pocket,#,
[9],,,,,,,,,,,,,,,,,
行,過,阿十,屋企,，,佢,送,咗,啲,豆,俾,我,，,拎,返,屋企,食,。
haang4,gwo3,aa3-sap6,uk1-kei2,#,keoi5,sung3,zo2,di1,dau2,bei2,ngo5,#,ling1,faan1,uk1-kei2,sik6,#
walk,pass,Aa Ten,home,#,he,give,-ed,some,bean,give,me,#,take,back,home,to eat,#
[10a],,,,,,,,,,,,,,,,,
嚟,到,阿八,間,舖頭,，,佢,就,送,咗,一個,夾仔,俾,我,，,,,
lai4,dou3,aa3-baat3,gaan1,pou3-tau2,#,keoi5,zau6,sung3,zo2,jat1-go3,gep2-zai2,bei2,ngo5,#,,,
come,to,Aa Eight,(measure),shop,#,he,then,gift,-ed,one,pin,give,me,#,,,
[10b],,,,,,,,,,,,,,,,,
聽講,係,會,自己,識,跳,嚟,跳,去,。,,,,,,,,
teng1-gong2,hai6,wui5,zi6-gei2,sik1,tiu3,lai4,tiu3,heoi3,#,,,,,,,,
heard,is,will,self,know,jump,come,jump,go,#,,,,,,,,
[11a],,,,,,,,,,,,,,,,,
去,到,阿六,屋企,，,佢,就,送,咗,張,貼紙,,,,,,,
heoi3,dou3,aa3-luk6,uk1-kei2,#,keoi5,zau6,sung3,zo2,zoeng1,tip3-zi2,,,,,,,
go,to,Aa Six,home,#,he,then,gift,-ed,(measure),sticker,,,,,,,
[11b],,,,,,,,,,,,,,,,,
想,我,靜靜,噉,坐,喺度,等,阿魚,。,,,,,,,,,
soeng2,ngo5,zing6-zing2,gam2,co5,hai2-dou6,dang2,aa3-jyu2,#,,,,,,,,,
want,me,quietly,such,sit,at here,wait,Aa Fish,#,,,,,,,,,
[12],,,,,,,,,,,,,,,,,
跟住,見到,阿大,，,佢,送,咗,粒,扣,俾,我,，,原來,係,粒,糖,。,
gan1-zyu6,gin3-dou2,aa3-daai2,#,keoi5,sung3,zo2,lap1,kau3,bei2,ngo5,#,jyun4-loi4,hai3,lap1,tong2,#,
and then,see,Aa Big,#,he,gift,-ed,(measure),button,give,me,#,turns out,is,(measure),candy,#,
[13],,,,,,,,,,,,,,,,,
我,返,到,屋企,將,全部,嘢,都,放,喺,個,盒,度,。,,,,
ngo5,faan1,dou3,uk1-kei2,zoeng1,cyun4-bou6,je5,dou1,fong3,hai2,go3,hap2,dou6,#,,,,
I,return,to,home,take,all,thing,all,put,in,(measure),box,there,#,,,,
[14],,,,,,,,,,,,,,,,,
最後,，,我,送,咗,一,粒,心,型,石頭,俾,阿魚,。,,,,,
zeoi3-hau6,#,ngo5,sung3,zo2,jat1,lap1,sam1,jing4,sek6-tau4,bei2,aa3-jyu2,#,,,,,
at the end,#,I,give,-ed,a,(measure),heart,shape,stone,give,Aa Fish,#,,,,,
