[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《,小,蜜蜂,與,大笨象,》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,siu2,mat6-fung1,jyu5,daai6-ban6-zoeng6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,small,bee,and,elephant,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,日,，,大笨象,阿細,見到,一,隻,蜜蜂,喺度,喊,緊,，,阿細,問,佢,做咩事,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,jat1,jat6,#,daai6-ban6-zoeng6,Aa3-Sai3,gin3-dou2,jat1,zek3,mat6-fung1,hai2-dou6,haam3,gan2,#,Aa3-Sai3,man6,keoi5,zou6-me1-si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
there is ,one,day,#,elephant,Aa Small,see,one,(measure),bee,right here,cry,-ing,#,Aa Small,ask,it,what happened,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小,蜜蜂,：,「,我,叫,阿大,，,我,係,第一,次,出嚟,呢度,玩,，,唔知,點,返,屋企,，,好,唔開心,啊,。,你,送,我,返,屋企,好唔好,啊,？,」,,,,,,,,,,,,
siu2,mat6-fung1,#,#,ngo5,giu3,Aa3-Daai6,#,ngo5,hai6,dai6-jat1,ci3,ceot1-lai4,ni1-dou6,waan2,#,m4-zi1,dim2,faan1,uk1-kei2,#,hou2,m4-hoi1-sam1,aa3,#,nei5,sung3,ngo5,faan1,uk1-kei2,hou2-m4-hou2,aa3,#,#,,,,,,,,,,,,
small,bee,#,#,I,call,Aa Big,#,I,am,the first,time,come out,here,to play,#,don't know,how,to return,home,#,very,unhappy,(particle),#,you,send,me,to return,home,good or not good,(particle),#,#,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿細,話,：,「,冇問題,啊,。,你,屋企,喺,邊度,？,我,送,你,返去,吖,。,」,然後,，,阿細,送,咗,阿大,去,樹,上面,，,問,：,「,你,行,入去,望一望,，,睇下,呢,個,係咪,你,屋企,吖,？,」
Aa3-Sai3,waa6,#,#,mou5-man6-tai4,aa3,#,nei5,uk1-kei2,hai2,bin1-dou6,#,ngo5,sung3,nei5,faan1-heoi3,aa1,#,#,jin4-hau6,#,Aa3-Sai3,sung3,zo2,Aa3-Daai6,heoi3,syu6,soeng6-min6,#,man6,#,#,nei5,haang4,jap6-heoi3,mong6-jat1-mong6,#,tai2-haa5,ni1,go3,hai6-mai6,nei5,uk1-kei2,aa1,#,#
Aa Small,say,#,#,no problem,(particle),#,you,home,at,where,#,I,send,you,to return,(particle),#,#,and then,#,Aa Small,send,-ed,Aa Big,to go,tree,above,#,ask,#,#,you,walk,inside,to take a look,#,see,this,(measure),is or isn't,you,home,(particle),#,#
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,有,隻,雀仔,飛,咗,過嚟,，,想,食,咗,阿大,，,阿大,大叫,：,「,唔係,啊,，,呢度,係,雀仔,屋企,啊,！,」,,,,,,,,,,,,,,,,,,,
dat6-jin4,jau5,zek3,zoek3-zai2,fei1,zo2,gwo3-lai2,#,soeng2,sik6,zo2,Aa3-Daai6,#,Aa3-Daai6,daai6-giu3,#,#,m4-hai6,aa3,#,ni1-dou6,hai6,zoek3-zai2,uk1-kei2,aa3,#,#,,,,,,,,,,,,,,,,,,,
suddenly,there is,(measure),bird,fly,-ed,come here,#,want to,eat,-ed,Aa Big,#,Aa Big,shout,#,#,no,(particle),#,here,is,bird,home,(particle),#,#,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,，,阿細,又,送,咗,阿大,去,一,個,好,黑,嘅,洞穴,度,。,佢,問,：,「,呢,個,係唔係,你,屋企,？,」,,,,,,,,,,,,,,,,,,,
gan1-zyu6,#,Aa3-Sai3,jau6,sung3,zo2,Aa3-Daai6,heoi3,jat1,go3,hou2,hak1,ge3,dung6-jyut6,dou6,#,keoi5,man6,#,#,ni1,go3,hai6-m4-hai6,nei5,uk1-kei2,#,#,,,,,,,,,,,,,,,,,,,
