[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,去,冒險,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,heoi3,mou6-him2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,go,adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,第一,次,嚟,到,人類,屋企,，,好多,嘢,都係,第一,次,見,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,dai6-jat1,ci3,lai4,dou3,jan4-leoi6,uk1-kei2,#,hou2-do1,je5,dou1-hai6,dai6-jat1,ci3,gin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little mouse,first,time,come,to,human,home,#,many,thing,also,first,time,see,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,叫,老鼠仔,，,喺,屋企,好,悶,喇,，,所以,我,偷走,出嚟,玩,。,點解,啲,公仔,咁,高,嘅,？,佢,做咩,喺,到,大叫,，,又,跳嚟跳去,呢,？,我,唔明,啊,。,」,爸爸,見到,老鼠仔,好,驚,，,而,媽媽,就,想,捉,住,隻,老鼠仔,。,「,點解,又,多,兩個,公仔,，,佢哋,都,唔同,樣,嘅,。,啊,！,做咩,有,一個,公仔,想,追,我,㗎,，,救命,啊,！,」
#,ngo5,giu3,lou5-syu2-zai2,#,hai2,uk1-kei2,hou2,mun6,laa3,#,so2-ji5,ngo5,tau1-zau2,ceot1-lai4,waan2,#,dim2-gaai2,di1,gung1-zai2,gam3,gou1,ge2,#,keoi5,zou6-me1,hai2,dou3,daai6-giu3,#,jau6,tiu3-lai4-tiu3-heoi3,ne1,#,ngo5,m4-ming4,aa3,#,#,baa4-baa1,gin3-dou2,lou5-syu2-zai2,hou2,geng1,#,ji4,maa4-maa1,zau6,soeng2,zuk1,zyu6,zek3,lou5-syu2-zai2,#,#,dim2-gaai2,jau6,do1,loeng5-go3,gung1-zai2,#,keoi5-dei6,dou1,m4-tung4,joeng2,ge2,#,aa3,#,zou6-me1,jau5,jat1-go3,gung1-zai2,soeng2,zeoi1,ngo5,gaa3,#,gau3-meng6,aa3,#,#
#,I,called,little mouse,#,at,home,very,bored,(particle),#,so,I,run off,out,play,#,why,those,doll,so,tall,(particle),#,he,why,at,here,shout,#,also,jumping around,(particle),#,I,not understand,(particle),#,#,father,see,little mouse,very,afraid,#,and,mother,then,want,to catch,-ing,(measure),little mouse,#,#,why,again,more,two (measure),doll,#,they,all,different,face,(particle),#,(particle),#,why,have,one (measure),doll,want to,chase,me,(particle),#,Help!,(particle),#,#
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,有,隻,貓仔,出現,喺,老鼠仔,面前,。,佢,想,捉,老鼠仔,。,「,啊,！,呢個,喵喵,叫,嘅,公仔,係咩,嚟,㗎,？,點解,我,會,對,佢,特別,驚,嘅,？,我,要,跑,快啲,啊,，,爸爸,，,救命,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,jau5,zek3,maau1-zai2,ceot1-jin6,hai2,lou5-syu2-zai2,min6-cin4,#,keoi5,soeng2,zuk1,lou5-syu2-zai2,#,#,aa3,#,ni1-go3,meu1-meu1,giu3,ge3,gung1-zai2,hai6-me1,lai4,gaa3,#,dim2-gaai2,ngo5,wui5,deoi3,keoi5,dak6-bit6,geng1,ge2,#,ngo5,jiu3,paau2,faai3-di1,aa3,#,baa4-baa1,#,gau3-meng6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,have,(measure),kitten,appear,at,little mouse,front,#,it,want,to catch,little mouse,#,#,(particle),#,this (measure),meow meow,call,(linker),doll,what is,(particle),(particle),#,why,I,will,towards,it,specially,afraid,(particle),#,I,have to,run,faster,(particle),#,father,#,Help!,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,諗住,拎,個,掃把,可以,捉,到,老鼠仔,，,原來,老鼠仔,已經,唔,喺,原來,嗰度,，,去,咗,媽媽,後面,。,「,我,喺,你,後面,啊,。,呢個,公仔,好,傻,啊,，,好,好笑,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,nam2-zyu6,ling1,go3,sou3-baa2,ho2-ji5,zuk1,dou2,lou5-syu2-zai2,#,jyun4-loi4,lou5-syu2-zai2,ji5-ging1,m4,hai2,jyun4-loi4,go2-dou6,#,heoi3,zo2,maa4-maa1,hau6-min6,#,#,ngo5,hai2,nei5,hau6-min6,aa3,#,ni1-go3,gung1-zai2,hou2,so4,aa3,#,hou2,hou2-siu3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,thinking about,take,(measure),broom,can,catch,(suffix),little mouse,#,it turns out,little mouse,already,not,at,original,there,#,go,-en,mother,behind,#,#,I,at,you,behind,(particle),#,this (measure),doll,very,silly,(particle),#,very,funny,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
