[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《,月亮,與,帽,》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyut6-loeng6,jyu5,mou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,the moon,and,cap,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,我,又,同,爸爸,、,媽媽,、,哥哥,同,細妹,一齊,去,公園,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,#,ngo5,jau6,tung4,baa4-baa1,#,maa4-maa1,#,go4-go1,tung4,sai3-mui2,jat1-cai4,heoi3,gung1-jyun2,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
today,#,I,again,with,father,#,mother,#,elder brother,and,younger sister,together,go to,park,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,送,咗,個,好,靚,嘅,太陽眼鏡,畀,哥哥,，,媽媽,送,咗,頂,藍色,嘅,帽,畀,我,，,細妹,有,佢,鍾意,嘅,嘢食,。,,,,,,,,,,,,,,,
baa4-baa1,sung3,zo2,go3,hou2,leng3,ge3,taai3-joeng4-ngaan5-geng2,bei2,go4-go1,#,maa4-maa1,sung3,zo2,deng2,laam4-sik1,ge3,mou2,bei2,ngo5,#,sai3-mui2,jau5,keoi5,zung1-ji3,ge3,je5-sik6,#,,,,,,,,,,,,,,,
father,give,-ed,(measure),very,beautiful,-,sunglasses,to,elder brother,#,mother,give,-ed,(measure),blue,-,cap,to,me,#,younger sister,have,she,like,-,food,#,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,一,陣,大,風,吹,咗,過嚟,，,吹,走,咗,我,頂,新,帽,。,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,jat1,zan6,daai6,fung1,ceoi1,zo2,gwo3-lai4,#,ceoi1,zau2,zo2,ngo5,deng2,san1,mou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,one,(measure),big,wind,blow,-ed,come here,#,blow,away,-ed,I,(measure),new,cap,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,頂,新,帽,飛,咗,去,大,樹,上面,，,我,試,咗,好多,次,都,攞唔返,落嚟,。,,,,,,,,,,,,,,,,,,,,,,,
ngo5,deng2,san1,mou2,fei1,zo2,heoi3,daai6,syu6,soeng6-min6,#,ngo5,si3,zo2,hou2-do1,ci3,dou1,lo2-m4-faan1,lok6-lai4,#,,,,,,,,,,,,,,,,,,,,,,,
I,(measure),new,cap,fly,-ed,to,big,tree,above,#,I,try,-ed,many,times,all,cannot take back,come down,#,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,喺度,喊,。,「,唔要,啊,，,我,要,我,頂,帽,啊,。,」,我,唔開心,到,冇食到,嘢,。,,,,,,,,,,,,,,,,,,,,,
ngo5,hai2-dou6,haam3,#,#,m4-jiu3,aa3,#,ngo5,jiu3,ngo5,deng2,mou2,aa3,#,#,ngo5,m4-hoi1-sam1,dou3,mou5-sik6-dou3,je5,#,,,,,,,,,,,,,,,,,,,,,
I,right here,cry,#,#,don't want,(particle),#,I,want,I,(measure),cap,(particle),#,#,I,not happy,till,didn't eat,thing,#,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,晚,我,望,住,天空,，,突然,月亮,哥哥,過,咗,嚟,。,佢,睇到,我,頂,帽,卡住,咗,喺,棵,大,樹,度,。,,,,,,,,,,,,,,,,
go2,maan5,ngo5,mong6,zyu6,tin1-hung1,#,dat6-jin4,jyut6-loeng6,go4-go1,gwo3,zo2,lai4,#,keoi5,tai2-dou2,ngo5,deng2,mou2,kaa1-zyu6,zo2,hai2,po1,daai6,syu6,dou6,#,,,,,,,,,,,,,,,,
that,night,I,look,-ing,the sky,#,suddenly,the moon,elder brother,come,-ed,come,#,he,see,I,(measure),cap,stuck,-ed,at,(measure),big,tree,there,#,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,試咗一試,戴,我,頂,新,帽,，,然後,笑笑口,噉,講,：,「,你,有冇,見,過,月亮,試,新,嘢,？,」,我,都,笑,住,噉,講,：,「,冇,啊,！,」,,,,,,,
keoi5,si3-zo2-jat1-si3,daai3,ngo5,deng2,san1,mou2,#,jin4-hau6,siu3-siu3-hau2,gam2,gong2,#,#,nei5,jau5-mou5,gin3,gwo3,jyut6-loeng6,si3,san1,je5,#,#,ngo5,dou1,siu3,zyu6,gam2,gong2,#,#,mou5,aa3,#,#,,,,,,,
he,tried,wear,I,(measure),new,cap,#,and then,smile,in this way,say,#,#,you,have or haven't,see,-ed,the moon,to try,new,thing,#,#,I,also,laugh,-ing,in this way,say,#,#,haven't,(particle),#,#,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,第二,日,，,媽媽,送,咗,一,頂,新,嘅,帽,畀,我,。,媽媽,話,：,「,呢,個,係,月亮,哥哥,送,畀,你,㗎,，,記得,要,多謝,佢,啊,。,你,今晚,同,佢,講,啦,！,」
dou3,dai6-ji6,jat6,#,maa4-maa1,sung3,zo2,jat1,deng2,san1,ge3,mou2,bei2,ngo5,#,maa4-maa1,waa6,#,#,ni1,go3,hai6,jyut6-loeng6,go4-go1,sung3,bei2,nei5,gaa3,#,gei3-dak1,jiu3,do1-ze6,keoi5,aa3,#,nei5,gam1-maan5,tung4,keoi5,gong2,laa1,#,#
till,the next,day,#,mother,give ,-ed,one,(measure),new,-,cap,to,me,#,mother,say,#,#,this,(measure),is,the moon,elder brother,give,to,you,(particle),#,remember,have to,thank,him,(particle),#,you,tonight,with,him,say,(particle),#,#
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,夜晚,，,我,同,月亮,一齊,好,開心,噉,戴,住,我哋,頂,新,嘅,帽,。,我哋,嗰,晚,過,得,好,開心,。,,,,,,,,,,,,,,,,,
dou3,je6-maan5,#,ngo5,tung4,jyut6-loeng6,jat1-cai4,hou2,hoi1-sam1,gam2,daai3,zyu6,ngo5-dei6,deng2,san1,ge3,mou2,#,ngo5-dei6,go2,maan5,gwo3,dak1,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,,,
till,night,#,I,with,the moon,together,very,happy,in this way,wear,-ing,we,(measure),new,-,cap,#,we,that,night,spend,(suffix),very,happy,#,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,今日,咁,熱,，,我,都係,用,月亮,哥哥,送,畀,我,頂,新,帽,啦,。,唔知,太陽,哥哥,佢,使唔使,用,呢,？,」,,,,,,,,,,,,,,,,
#,gam1-jat6,gam3,jit6,#,ngo5,dou1-hai6,jung6,jyut6-loeng6,go4-go1,sung3,bei2,ngo5,deng2,san1,mou2,laa1,#,m4-zi1,taai3-joeng4,go4-go1,keoi5,sai2-m4-sai2,jung6,ne1,#,#,,,,,,,,,,,,,,,,
#,today,so,hot,#,I,would rather,use,the moon,elder brother,give,to,me,(measure),new,hat,(particle),#,don't know,the sun,elder brother,he,need or need not to,use,(particle),#,#,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,有,好多,頂,唔同,嘅,帽,，,你哋,覺得,我,今日,揀,邊,頂,好,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jau5,hou2-do1,deng2,m4-tung4,ge3,mou2,#,nei5-dei6,gok3-dak1,ngo5,gam1-jat6,gaan2,bin1,deng2,hou2,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,
#,I,have,many,(measure),different,-,cap,#,you,think,I,today,pick,which,(measure),good,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,
