[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等,你,捉到,我,先,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dang2,nei5,zuk1-dou2,ngo5,sin1,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wait,you,catch,me,first,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,大家好,啊,！,我,係,二筒,。,佢,係,我,嘅,主人,，,叫,三萬,。,佢,成日,都,叫,我,同,佢,玩,，,但係,我,都係,唔睬,佢,。,我,好,眼瞓,啊,，,瞓,一陣,先,。,」,,
#,daai6-gaa1-hou2,aa3,#,ngo5,hai6,Ji6-Tung4,#,keoi5,hai6,ngo5,ge3,zyu2-jan4,#,giu3,Saam1-Maan6,#,keoi5,sing4-jat6,dou1,giu3,ngo5,tung4,keoi5,waan2,#,daan6-hai6,ngo5,dou1-hai6,m4-coi2,keoi5,#,ngo5,hou2,ngaan5-fan3,aa3,#,fan3,jat1-zan6,sin1,#,#,,
#,hi everyone,(particle),#,I,am,Cookies,#,he,is,I, 's,master,#,call,Treeman,#,he,always,also,ask,me,with,him,play,#,but,I,also,don't respond to,him,#,I,very,sleepy,(particle),#,sleep,a while,first,#,#,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢,叫,我,坐,喺度,，,噉,我,都,聽,佢,講,，,坐,喺度,。,」,係,啊,！,二筒,坐,咗,喺度,啊,，,一陣,囉,。,跟住,佢,又,去,咗,邊,啊,？,唉⋯⋯,,,,,
#,keoi5,giu3,ngo5,co5,hai2-dou6,#,gam2,ngo5,dou1,teng1,keoi5,gong2,#,co5,hai2-dou6,#,#,hai6,aa3,#,Ji6-Tung4,co5,zo2,hai2-dou6,aa3,#,jat1-zan6,lo1,#,gan1-zyu6,keoi5,jau6,heoi3,zo2,bin1,aa3,#,aai2,,,,,
#,he,ask,me,to sit,right here,#,in this way,I,also,listen,he,say,#,sit,right here,#,#,yes,(particle),#,Cookies,sit,-ed,right here,(particle),#,a while,(particle),#,and then,it,again,go to,-ed,where,(particle),#,sigh...,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,想,捉,我,？,好,難,啊,。,我,跳,，,又,想,嚟,多,次,？,我,又,跳,！,」,三萬,想,捉住,二筒,。,二筒,亂,跑,，,跳,嚟,跳,去,。,,,,,,,
#,soeng2,zuk1,ngo5,#,hou2,naan4,aa3,#,ngo5,tiu3,#,jau6,soeng2,lai4,do1,ci3,#,ngo5,jau6,tiu3,#,#,Saam1-Maan6,soeng2,zuk1-zyu6,Ji6-Tung4,#,Ji6-Tung4,lyun6,paau2,#,tiu3,lai4,tiu3,heoi3,#,,,,,,,
#,want to,catch,me,#,very,difficult,(particle),#,I,jump,#,again,want to,come,more,time,#,I,again,jump,#,#,Treeman,want to,catch,Cookies,#,Cookies,randomly,run,#,jump,come,jump,go,#,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,捉,我,唔到,哩,？,等,我,靜雞雞,行,出去,先,。,」,二筒,行,緊,嗰陣,，,佢,心,入面,講,：,「,你,睇,我,唔到,，,你,睇,我,唔到⋯⋯,」,,,,,,,,,
#,zuk1,ngo5,m4-dou2,le5,#,dang2,ngo5,zing6-gai1-gai1,haang4,ceot1-heoi3,sin1,#,#,Ji6-Tung4,haang4,gan2,go2-zan6,#,keoi5,sam1,jap6-min6,gong2,#,#,nei5,tai2,ngo5,m4-dou2,#,nei5,tai2,ngo5,m4-dou2,#,,,,,,,,,
#,catch,me,cannot,(particle),#,let,me,quietly,walk,out,first,#,#,Cookies,walk,-ing,that time,#,it,heart,inside,say,#,#,you,see,me,cannot,#,you,see,me,cannot,#,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三萬,見到,二筒,喇,，,佢,行,過去,想,捉住,二筒,，,二筒,好,快,噉,跑,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,
Saam1-Maan6,gin3-dou2,Ji6-Tung4,laa3,#,keoi5,haang4,gwo3-heoi3,soeng2,zuk1-zyu6,Ji6-Tung4,#,Ji6-Tung4,hou2,faai3,gam2,paau2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,
Treeman,see,Cookies,(particle),#,he,walk,to go,want to,catch,Cookies,#,Cookies,very,fast,in this way,run,away,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跑跑下,，,二筒,見到,有,樣,嘢,好,搞笑,，,玩,咗,一,粒,鐘,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paau2-paau2-haa5,#,Ji6-Tung4,gin3-dou2,jau5,joeng6,je5,hou2,gaau2-siu3,#,waan2,zo2,jat1,lap1,zung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
