[0],,,,,,,,,,,,,,,,,,
好想,做,，,唔想,做,,,,,,,,,,,,,,
hou2-soeng2,zou6,#,m4-soeng2,zou6,,,,,,,,,,,,,,
want,to do,#,don't want,to do,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,
「,我,有,兩個,哥哥,，,叫,阿大,同,阿二,。,,,,,,,,
#,ngo5,jau5,loeng5-go3,go4-go1,#,giu3,aa3-daai6,tung4,aa3-ji2,#,,,,,,,,
#,I,have,two,elder brother,#,call,Aa Big,and,Aa Two,#,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,
我,最,細,，,我,叫,阿三,。,又,到,朝早,喇,，,,,,,,
ngo5,zeoi3,sai3,#,ngo5,giu3,aa3-saam1,#,jau6,dou3,ziu1-zou2,laa3,#,,,,,,
I,most,smallest,#,I,call,Aa three,#,again,till,morning,already,#,,,,,,
[1c],,,,,,,,,,,,,,,,,,
佢哋,係,時候,起身,喇,！,」,,,,,,,,,,,,
keoi5-dei6,hai6,si4-hau6,hei2-san1,laa3,#,#,,,,,,,,,,,,
they,are,time,to get up,already,#,#,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,
呢度,係,阿大,張,床,。,阿大,點,都,唔,肯,起身,。,,,,,,
nei1-dou6,hai6,aa3-daai6,zoeng1,cong4,#,aa3-daai6,dim2,dou1,m4,hang2,hei2-san1,#,,,,,,
here,is,Aa Big,(measure),bed,#,Aa Big,how,also,not,agree,to get up,#,,,,,,
[2b],,,,,,,,,,,,,,,,,,
「,又,嚟,喇,，,佢,又,唔想,起身,喇,。,,,,,,,,
#,jau6,lai4,laa3,#,keoi5,jau6,m4-soeng2,hei2-san1,laa3,#,,,,,,,,
#,again,come,already,#,he,again,don't want,to get up,already,#,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,
日日,朝早,都係,噉,，,佢,好多,嘢,都,唔想,去,做,。,」,,,,,
jat6-jat6,ziu1-zou2,dou1-hai6,gam2,#,keoi5,hou2-do1,je5,dou1,m4-soeng2,heoi3,zou6,#,#,,,,,
every day,morning,also ,in this way,#,he,many,thing,also,don't want,to go,to do,#,#,,,,,
[3a],,,,,,,,,,,,,,,,,,
「,等,我,同,你哋,講,下,佢,唔想,做咩,啦,！,,,,,,,
#,dang2,ngo5,tung4,nei5-dei6,gong2,haa5,keoi5,m4-soeng2,zou6-me1,laa1,#,,,,,,,
#,let,me,with,you,to say,(suffix),he,don't want,to do what,(particle),#,,,,,,,
[3b],,,,,,,,,,,,,,,,,,
佢,唔想,刷,牙,啦,，,佢,唔想,沖涼,啦,，,,,,,,,,
keoi5,m4-soeng2,caat3,ngaa4,laa1,#,keoi5,m4-soeng2,cung1-loeng4,laa1,#,,,,,,,,
he,don't want,brush,teeth,(particle),#,he,don't want,take a shower,(particle),#,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,
佢,早餐,都,唔想,食,。,唉,！,」,,,,,,,,,,
keoi5,zou2-caan1,dou1,m4-soeng2,sik6,#,aai1,#,#,,,,,,,,,,
he,breakfast,also,don't want,to eat,#,Sigh!,#,#,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,
「,佢,最,唔,鍾意,嘅,係,去,學校,。,,,,,,,,,
#,keoi5,zeoi3,m4,zung1-ji3,ge3,hai6,heoi3,hok6-haau6,#,,,,,,,,,
#,he,most,not,like,('s ),is,go to,school,#,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,
我,諗,佢,最,鍾意,嘅,應該,係,瞓,喺度,，,,,,,,,,
ngo5,nam2,keoi5,zeoi3,zung1-ji3,ge3,jing1-goi1,hai6,fan3,hai2-dou6,#,,,,,,,,
I,think,he,most,like,('s),should,be,sleep,right here,#,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,
咩,都,唔使做,。,唉,！,」,,,,,,,,,,,,
me1,dou1,m4-sai2-zou6,#,aai1,#,#,,,,,,,,,,,,
what,also,no need to do,#,Sigh!,#,#,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,
等我哋,嚟,睇下,阿二,今日,有,咩,做,先,。,,,,,,,,,
dang2-ngo5-dei2,lai4,tai2-haa5,aa3-ji2,gam1-jat6,jau5,me1,zou6,sin1,#,,,,,,,,,
let us,come,take a look,Aa Two,today,have,what,to do,first,#,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,
「,今日,阿二,好,開心,噉,出,門口,。,應該,有,好嘢,玩,。,,,,,
#,gam1-jat6,aa3-ji2,hou2,hoi1-sam1,gam2,ceot1,mun4-hau2,#,jing1-goi1,jau5,hou2-je5,waan2,#,,,,,
#,today,Aa Two,very,happy,in this way,to go,out,#,should,have,good things,to play,#,,,,,
[5c],,,,,,,,,,,,,,,,,,
啊,！,阿二,今日,去,咗,睇,動物,啊,，,咩,動物,都,有,，,,,,
aa3,#,aa3-ji2,gam1-jat6,heoi3,zo2,tai2,dung6-mat6,aa3,#,me1,dung6-mat6,dou1,jau5,#,,,,
(particle),#,Aa Two,today,to go,-ed,to look,animal,(particle),#,what,animal,all,have,#,,,,
[5d],,,,,,,,,,,,,,,,,,
有,鴨仔,，,豬仔,，,同,有,雀仔,啦,，,,,,,,,,,
jau5,aap3-zai2,#,zyu1-zai2,#,tung4,jau5,zoek3-zai2,laa1,#,,,,,,,,,
there is,duckling,#,a piglet,#,and,have,bird,(particle),#,,,,,,,,,
[5e],,,,,,,,,,,,,,,,,,
有,好多,好多,隻,動物,，,睇到,都,覺得,開心,。,」,,,,,,,
jau5,hou2-do1,hou2-do1,zek3,dung6-mat6,#,tai2-dou2,dou1,gok3-dak1,hoi1-sam1,#,#,,,,,,,
there are,many,many,(measure),animal,#,to see,also,feel,happy,#,#,,,,,,,
[6a],,,,,,,,,,,,,,,,,,
「,等,我,嚟,講,下,阿二,先,，,同,阿大,唔,一樣,，,,,,,
#,dang2,ngo5,lai4,gong2,haa5,aa3-ji2,sin1,#,tung4,aa3-daai6,m4,jat1-joeng6,#,,,,,
#,let,me,come,to say,(suffix),Aa Two,first,#,and,Aa Big,not,the same,#,,,,,
[6b],,,,,,,,,,,,,,,,,,
阿二,好鍾意,去,學校,，,好鍾意,刷,牙,，,,,,,,,,,,
aa3-ji2,hou2-zung1-ji3,heoi3,hok6-haau6,#,hou2-zung1-ji3,caat3,ngaa4,#,,,,,,,,,,
Aa Two,like a lot,go to,school,#,like a lot,brush,teeth,#,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,
好鍾意,食,早餐,，,,,,,,,,,,,,,,,
hou2-zung1-ji3,sik6,zou2-caan1,#,,,,,,,,,,,,,,,
like a lot,eat,breakfast,#,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,
