[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過嚟,一齊,食,蛋糕,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3-lai4,jat1-cai4,sik6,daan6-gou1,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
come here,together,to eat,cake,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,阿大,自己,整,咗,一,個,蛋糕,，,佢,好,想,同,屋企人,一齊,食,。,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,#,Aa3-Daai6,zi6-gei2,zing2,zo2,jat1,go3,daan6-gou1,#,keoi5,hou2,soeng2,tung4,uk1-kei2-jan4,jat1-cai4,sik6,#,,,,,,,,,,,,,,,,,,,,,
today,#,Aa Big,himself,make,-ed,one,(measure),cake,#,he,really,want to,with,family,together,eat,#,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,、,二,、,三,、,四,、,五,、,六,、,七,、,八,，,個,蛋糕,分,做,八,份,，,睇,落去,好,好食,。,,,,,,,,,,,
jat1,#,ji6,#,saam1,#,sei3,#,ng5,#,luk6,#,cat1,#,baat3,#,go3,daan6-gou1,fan1,zou6,baat3,fan6,#,tai2,lok6-heoi3,hou2,hou2-sik6,#,,,,,,,,,,,
one,#,two,#,three,#,four,#,five,#,six,#,seven,#,eight,#,(measure),cake,divide,as,eight,slices,#,look,(particle),very,tasty,#,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,返到,屋企,喇,！,佢,好,鍾意,食,蛋糕,，,返到嚟,見到,有,蛋糕,喺度,，,拎,咗,一,份,嚟,食,。,,,,,,,,,,,,,,,
po4-po2,faan1-dou3,uk1-kei2,laa3,#,keoi5,hou2,zung1-ji3,sik6,daan6-gou1,#,faan1-dou3-lai4,gin3-dou2,jau5,daan6-gou1,hai2-dou6,#,ling1,zo2,jat1,fan6,lai4,sik6,#,,,,,,,,,,,,,,,
grandmother,returned,home,already,#,she,really ,like,to eat,cakes,#,come back,see,there is,cake,right here,#,take,-ed,one,portion,to,eat,#,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公公,喺,房,睇,緊,書,，,跟住,出嚟,見到,有,蛋糕,，,佢,都,拎,咗,一,份,返,房,，,一路,睇,書,，,一路,食,。,,,,,,,,,,
gung4-gung1,hai2,fong2,tai2,gan2,syu1,#,gan1-zyu6,ceot1-lai4,gin3-dou2,jau5,daan6-gou1,#,keoi5,dou1,ling1,zo2,jat1,fan6,faan1,fong2,#,jat1-lou6,tai2,syu1,#,jat1-lou6,sik6,#,,,,,,,,,,
grandfather,in,room,read,-ing,book,#,and then,come out,see,there is,cake,#,he,also,take,-ed,one,portion,to go back,room,#,while,read,books,#,while,eat,#,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,都,返,咗,屋企,，,佢,見到,有,一,份,蛋糕,，,蛋糕,上面,寫住,「,畀,媽媽,」,，,噉,佢,知道,係,阿大,留,畀,佢,食,嘅,，,佢,好,開心,噉,慢慢,食,。
maa4-maa1,dou1,faan1,zo2,uk1-kei2,#,keoi5,gin3-dou2,jau5,jat1,fan6,daan6-gou1,#,daan6-gou1,soeng6-min6,se2-zyu6,#,bei2,maa4-maa1,#,#,gam2,keoi5,zi1-dou3,hai6,Aa3-Daai6,lau4,bei2,keoi5,sik6,ge3,#,keoi5,hou2,hoi1-sam1,gam2,maan6-maan2,sik6,#
mother,also,return,-ed,home,#,she,see,there is,one,portion of,cake,#,cake,above,written,#,to,mother,#,#,in this way,she,know,is,Aa Big,keep,for,her,to eat,-,#,she,very,happy,in this way,slowly,eat,#
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,睇,緊,電視,，,阿大,拎,咗,一,份,蛋糕,畀,佢,，,阿大,都,想,一齊,睇,電視,，,佢,要,拎,一,份,蛋糕,畀,下一個,人,。,,,,,,,,
baa4-baa1,tai2,gan2,din6-si6,#,Aa3-Daai6,ling1,zo2,jat1,fan6,daan6-gou1,bei2,keoi5,#,Aa3-Daai6,dou1,soeng2,jat1-cai4,tai2,din6-si6,#,keoi5,jiu3,ling1,jat1,fan6,daan6-gou1,bei2,haa6-jat1-go3,jan4,#,,,,,,,,
father,watch,-ing,television,#,Aa Big,take,-ed,one,portion of,cake,to give,him,#,Aa Big,also,want to,together,watch,television,#,he,need to,take,one,portion of,cake,to give,the next,person,#,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,下一個,要,拎,畀,嘅,係,姨姨,，,姨姨,做緊嘢,，,都係,唔好,嘈,佢,喇,。,,,,,,,,,,,,,,,,,,,,,
Aa3-Daai6,haa6-jat1-go3,jiu3,ling1,bei2,ge3,hai6,ji1-ji1,#,ji1-ji1,zou6-gan2-je5,#,dou1-hai6,m4-hou2,cou4,keoi5,laa3,#,,,,,,,,,,,,,,,,,,,,,
Aa Big,the next,need to,take,for,-,is,auntie,#,auntie,working,#,would rather,do not,bother,her,(particle),#,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下一個,梗係,要,留,一,份,畀,叔叔,啦,，,佢,喺,出面,做緊嘢,，,噉,放,喺,呢度,等,佢,一陣,食,。,,,,,,,,,,,,,,,
haa6-jat1-go3,gang2-hai6,jiu3,lau4,jat1,fan6,bei2,suk1-suk1,laa1,#,keoi5,hai2,ceot1-min6,zou6-gan2-je5,#,gam2,fong3,hai2,ni1-dou6,dang2,keoi5,jat1-zan6,sik6,#,,,,,,,,,,,,,,,
the next,of course,need to,keep,one,portion,for,uncle,(particle),#,he,at,outside,working,#,then,put,at,here,to wait for,him,later,to eat,#,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梗係,要,拎,畀,細妹,啦,，,細妹,打,完,籃球,，,一定,好,肚餓,，,拎,一,份,留,畀,佢,食,。,,,,,,,,,,,,,,,
gang2-hai6,jiu3,ling1,bei2,sai3-mui2,laa1,#,sai3-mui2,daa2,jyun4,laam4-kau4,#,jat1-ding6,hou2,tou5-ngo6,#,ling1,jat1,fan6,lau4,bei2,keoi5,sik6,#,,,,,,,,,,,,,,,
of course,need to,take,for,younger sister,(particle),#,younger sister,hit,finished,basketball,#,sure,very,hungry,#,take,one,portion,to keep,for,her,to eat,#,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啊,！,阿大,唔記得,咗,，,原來,自己,都,未,食,，,好彩,仲有,一,份,。,,,,,,,,,,,,,,,,,,,,,,
aa3,#,Aa3-Daai6,m4-gei3-dak1,zo2,#,jyun4-loi4,zi6-gei2,dou1,mei6,sik6,#,hou2-coi2,zung6-jau5,jat1,fan6,#,,,,,,,,,,,,,,,,,,,,,,
(particle),#,Aa Big,forget,-ed,#,it turns out,himself,also,not yet,eat,#,lucky,still have,one,portion,#,,,,,,,,,,,,,,,,,,,,,,
