[1],,,,,,,,,,,,,,,,,,,,,
識講嘢,嘅,(狗仔),！,,,,,,,,,,,,,,,,,,
sik1-gong2-je5,ge3,Gau2-Zai2,#,,,,,,,,,,,,,,,,,,
know how to speak,s,Doggy,#,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,
「,我哋,屋企,有,阿爸,，,阿媽,，,(阿大),同埋,我,，,我,叫,(狗仔),。,」,,,,,
#,ngo5-dei6,uk1-kei2,jau5,aa3-baa4,#,aa3-maa1,#,Aa3-Daai6,tung4-maai4,ngo5,#,ngo5,giu3,Gau2-Zai2,#,#,,,,,
#,our,home,have,Dad,#,Mum,#,Aa Big,and,me,#,I,call,Doggy,#,#,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,
今日,，,(狗仔),食咗,神奇,嘅,一,嚿,肉,，,,,,,,,,,,,,
gam1-jat6,#,Gau2-Zai2,sik6-zo2,san4-kei4,ge3,jat1,gau6,juk6,#,,,,,,,,,,,,
today,#,Doggy,have eaten,miraculous,s,a,(measure),meat,#,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,
知道,自己,可以,同,(阿大),講嘢,。,(阿大),都,嚇,咗,一,跳,，,,,,,,,,
zi1-dou3,zi6-gei2,ho2-ji5,tung4,Aa3-Daai6,gong2-je5,#,Aa3-Daai6,dou1,haak3,zo2,jat1,tiu3,#,,,,,,,,
know,itself,can,with,Aa Big,speaking,#,Aa Big,also,shock,-ed,one,jump,#,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,
但,得,(阿大),聽到,(狗仔),講,咩,，,其他人,聽唔明,。,,,,,,,,,,,
daan6,dak1,Aa3-Daai6,teng1-dou2,Gau2-Zai2,gong2,me1,#,kei4-taa1-jan4,teng1-m4-ming4,#,,,,,,,,,,,
but,only,Aa Big,hear,Doggy,say,what,#,other people,cannot understand,#,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,
(狗仔),同,(阿大),去,咗,公園,玩,。,,,,,,,,,,,,,,
Gau2-Zai2,tung4,Aa3-Daai6,heoi3,zo2,gung1-jyun2,waan2,#,,,,,,,,,,,,,,
Doggy,and,Aa Big,go,-ed,park,play,#,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,我係,屋企,嘅,管家,，,好多,事,我,都,要,管,。,,,,,,,
Gau2-Zai2,#,#,ngo5-hai6,uk1-kei2,ge3,gun2-gaa1,#,hou2-do1,si6,ngo5,dou1,jiu3,gun2,#,,,,,,,
Doggy,#,#,I am,home,s,housekeeper,#,many,things,I,also,need,manage,#,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,
(阿大),去,公園,玩,，,我,要,一齊,去,，,驚,佢,受傷,。,」,,,,,,,
Aa3-Daai6,heoi3,gung1-jyun2,waan2,#,ngo5,jiu3,jat1-cai4,heoi3,#,geng1,keoi5,sau6-soeng1,#,#,,,,,,,
Aa Big,go,park,play,#,I,need,together,to go,#,afraid,he,get injured,#,#,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,(阿大),瞓覺,，,噉,我,企,喺呢度,，,唔畀,其他人,嘈,佢,。,,,,,,
Gau2-Zai2,#,#,Aa3-Daai6,fan3-gaau3,#,gam2,ngo5,kei5,hai2-ni1-dou6,#,m4-bei2,kei4-taa1-jan4,cou4,keoi5,#,,,,,,
Doggy,#,#,Aa Big,sleep,#,in this way,I,stand,here,#,not allow,other people,bother,him,#,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,
喂,！,(貓仔),，,(阿大),要,瞓覺,，,你,唔好,入嚟,。,」,,,,,,,,,
wai3,#,Maau1-Zai2,#,Aa3-Daai6,jiu3,fan3-gaau3,#,nei5,m4-hou2,jap6-lai4,#,#,,,,,,,,,
Hey!,#,Kitty,#,Aa Big,need,to sleep,#,you,do not,come in,#,#,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,(狗仔),，,你,真係,識,講嘢,啊,！,我,好,開心,啊,！,,,,,,
Aa3-Daai6,#,#,Gau2-Zai2,#,nei5,zan1-hai6,sik1,gong2-je5,aa3,#,ngo5,hou2,hoi1-sam1,aa3,#,,,,,,
Aa Big,#,#,Doggy,#,you,really,know how to,speak,(particle),#,I,very,happy,(particle),#,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,
噉,我哋,一齊,返學校,，,一齊,玩,。,」,(狗仔),：,「,嗯,，,我,都,想,！,」,,,
gam2,ngo5-dei6,jat1-cai4,faan1-hok6-haau6,#,jat1-cai4,waan2,#,#,Gau2-Zai2,#,#,m4,#,ngo5,dou1,soeng2,#,#,,,
in this way,we,together,go to school,#,together,play,#,#,Doggy,#,#,um,#,I,also,want,#,#,,,
[6a],,,,,,,,,,,,,,,,,,,,,
(阿大),、,(狗仔),同,其他,朋友,一齊,比賽,。,(阿大),：,「,(狗仔),過嚟,。,」,,,,,,
Aa3-Daai6,#,Gau2-Zai2,tung4,kei4-taa1,pang4-jau5,jat1-cai4,bei2-coi3,#,Aa3-Daai6,#,#,Gau2-Zai2,gwo3-lai2,#,#,,,,,,
Aa Big,#,Doggy,with,other,friend,together,competition,#,Aa Big,#,#,Doggy,come here,#,#,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,知道,，,嚟緊,。,」,,,,,,,,,,,,,,
Gau2-Zai2,#,#,zi1-dou3,#,lei4-gan2,#,#,,,,,,,,,,,,,,
Doggy,#,#,OK,#,coming,#,#,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,
阿媽,鬧,緊,(阿大),同,(狗仔),。,,,,,,,,,,,,,,,
aa3-maa1,naau6,gan2,Aa3-Daai6,tung4,Gau2-Zai2,#,,,,,,,,,,,,,,,
Mum,scold,-ing,Aa Big,and,Doggy,#,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,(狗仔),，,我哋,又,畀人鬧,喇,，,唉,。,」,,,,,,,,,
Aa3-Daai6,#,#,Gau2-Zai2,#,ngo5-dei6,jau6,bei2-jan4-naau6,laa3,#,aai1,#,#,,,,,,,,,
Aa Big,#,#,Doggy,#,we,again,scolded by others,already,#,Sigh!,#,#,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,唔緊要,，,我,同,你,一齊,。,」,,,,,,,,,,,
Gau2-Zai2,#,#,m4-gan2-jiu3,#,ngo5,tung4,nei5,jat1-cai4,#,#,,,,,,,,,,,
Doggy,#,#,doesn't matter,#,I,with,you,together,#,#,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,
有,一,班,雀仔,喺度,嘈,住,阿媽,做嘢,。,,,,,,,,,,,,
jau5,jat1,baan1,zoek3-zai2,hai2-dou6,cou4,zyu6,aa3-maa1,zou6-je5,#,,,,,,,,,,,,
there is,one,group,bird,right here,noisy,-ing,Mum,work,#,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,(狗仔),，,去,趕走,佢哋,。,」,,,,,,,,,,,,
Aa3-Daai6,#,#,Gau2-Zai2,#,heoi3,gon2-zau2,keoi5-dei6,#,#,,,,,,,,,,,,
Aa Big,#,#,Doggy,#,go,get away,them,#,#,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,(狗仔),，,我哋,一齊,玩,啦,！,」,,,,,,,,,,,
Aa3-Daai6,#,#,Gau2-Zai2,#,ngo5-dei6,jat1-cai4,waan2,laa1,#,#,,,,,,,,,,,
Aa Big,#,#,Doggy,#,we,together,to play,(particle),#,#,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,好,啊,！,最,鍾意,同,(阿大),一齊,玩,。,」,,,,,,,,
Gau2-Zai2,#,#,hou2,aa3,#,zeoi3,zung1-ji3,tung4,Aa3-Daai6,jat1-cai4,waan2,#,#,,,,,,,,
Doggy,#,#,good,(particle),#,most,like,with,Aa Big,together,to play,#,#,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,
(狗仔),：,「,(阿大),，,有,人,嚟,咗,啊,，,去,開門,。,」,,,,,,,
Gau2-Zai2,#,#,Aa3-Daai6,#,jau5,jan4,lai4,zo2,aa3,#,heoi3,hoi1-mun4,#,#,,,,,,,
Doggy,#,#,Aa Big,#,there is,people,come,-ed,(particle),#,go,to open the door,#,#,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,噉,你,都,聽到,？,係喎,，,有,人,喎,，,係,(小魚),送,嘢,畀,我,。,」
Aa3-Daai6,#,#,gam2,nei5,dou1,teng1-dou2,#,hai6-wo3,#,jau5,jan4,wo3,#,hai6,Siu2-Jyu2,sung3,je5,bei2,ngo5,#,#
Aa Big,#,#,in this way,you,also,hear,#,"Oh, Right!",#,there is,people,(particle),#,is,Little Fish,give,thing,to,me,#,#
[11a],,,,,,,,,,,,,,,,,,,,,
(阿大),：,「,你,睇下,，,(小三),嚟,咗,啊,！,」,(狗仔),：,「,我,好鍾意,同,(小三),,,
Aa3-Daai6,#,#,nei5,tai2-haa5,#,Siu2-Saam1,lai4,zo2,aa3,#,#,Gau2-Zai2,#,#,ngo5,hou2-zung1-ji3,tung4,Siu2-Saam1,,,
Aa Big,#,#,you,see,#,Little Three,come,-ed,(particle),#,#,Doggy,#,#,I,like a lot,with,Little Three,,,
[11b],,,,,,,,,,,,,,,,,,,,,
一齊,玩,。,好想,一齊,開心,噉,玩,落去,。,」,,,,,,,,,,,
jat1-cai4,waan2,#,hou2-soeng2,jat1-cai4,hoi1-sam1,gam2,waan2,lok6-heoi3,#,#,,,,,,,,,,,
together,to play,#,really want,together,happy,in this way,play,forever,#,#,,,,,,,,,,,
