[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邊個,可以,幫,我,出,書,啊,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bin1-go3,ho2-ji5,bong1,ngo5,ceot1,syu1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who,can,help,me,publish,book,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家好,啊,，,我,叫,阿細,，,我,係,一,個,好,鍾意,睇,書,嘅,學生,。,今日,，,喺,公園,嘅,時候,，,我,好,想,睇,一,本,書,。,,,,,,,,,,,,,,,,,,,
daai6-gaa1-hou2,aa3,#,ngo5,giu3,Aa3-sai3,#,ngo5,hai6,jat1,go3,hou2,zung1-ji3,tai2,syu1,ge3,hok6-saang1,#,gam1-jat6,#,hai2,gung1-jyun2,ge3,si4-hau6,#,ngo5,hou2,soeng2,tai2,jat1,bun2,syu1,#,,,,,,,,,,,,,,,,,,,
hello everyone,(particle),#,I,call,Aa Small,#,I,am,one,(measure),really,like,to read,books,-,student,#,today,#,at,park,-,time,#,I,really,want to,read,one,(measure),book,#,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,冇,書,，,冇得,睇,書,，,所以,我,想,自己,出,一,本,書,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,mou5,syu1,#,mou5-dak1,tai2,syu1,#,so2-ji5,ngo5,soeng2,zi6-gei2,ceot1,jat1,bun2,syu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,don't have,book,#,can't,read,book,#,so,I,want,myself,to publish,one,(measure),book,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,開始,自己,出,書,，,爸爸,媽媽,佢哋,都,幫,我,出,書,。,然後,我,先,去,畫,圖,，,爸爸,幫,我,油,顏色,，,爸爸,講,：,「,阿細,，,你,寫,得,好,啊,。,」,然後,我,開心,噉,答,：,「,多謝,爸爸,！,」
ngo5,hoi1-ci2,zi6-gei2,ceot1,syu1,#,baa4-baa1,maa4-maa1,keoi5-dei6,dou1,bong1,ngo5,ceot1,syu1,#,jin4-hau6,ngo5,sin1,heoi3,waak6,tou4,#,baa4-baa1,bong1,ngo5,jau4,ngaan4-sik1,#,baa4-baa1,gong2,#,#,Aa3-sai3,#,nei5,se2,dak1,hou2,aa3,#,#,jin4-hau6,ngo5,hoi1-sam1,gam2,daap3,#,#,do1-ze6,baa4-baa1,#,#
I,begin,myself,to publish,books,#,Dad,Mum,they,also,help,me,publish,books,#,and then,I,first,go,to draw,pictures,#,Dad,help,me,paint,colours,#,Dad,say,#,#,Aa Small,#,you,write,(suffix),good,(particle),#,#,and then,I,happy,in this way,reply,#,#,thank,Dad,#,#
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,要,油,顏色,嘅,時候,，,媽媽,幫,我,剪,開,張,紙,。,媽媽,講,：,「,阿細,，,你,好,叻,啊,！,」,我,笑,住,答,媽媽,：,「,梗係,啦,！,多謝,媽媽,！,」,,,,,,,,,,,
ngo5,jiu3,jau4,ngaan4-sik1,ge3,si4-hau6,#,maa4-maa1,bong1,ngo5,zin2,hoi1,zoeng1,zi2,#,maa4-maa1,gong2,#,#,Aa3-sai3,#,nei5,hou2,lek1,aa3,#,#,ngo5,siu3,zyu6,daap3,maa4-maa1,#,#,gang2-hai6,laa1,#,do1-ze6,maa4-maa1,#,#,,,,,,,,,,,
I,need to,paint,colours,-,time,#,Mum,help,me,cut,open,(measure),paper,#,Mum,say,#,#,Aa Small,#,you,very,clever,(particle),#,#,I,smile,-ing,reply,Mum,#,#,of course,(particle),#,thank,Mum,#,#,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,我,剪,開,張,紙,嘅,時候,，,嫲嫲,行,咗,過嚟,，,佢,諗住,嚟,幫,我,貼,圖,。,嫲嫲,講,：,「,阿細,，,你,剪,得,好,！,」,我,笑,住,講,：,「,梗係,啦,！,好,易,啫,，,多謝,嫲嫲,！,」,
dou3,ngo5,zin2,hoi1,zoeng1,zi2,ge3,si4-hau6,#,maa4-maa4,haang4,zo2,gwo3-lai4,#,keoi5,nam2-zyu6,lai4,bong1,ngo5,tip3,tou4,#,maa4-maa4,gong2,#,#,Aa3-sai3,#,nei5,zin2,dak1,hou2,#,#,ngo5,siu3,zyu6,gong2,#,#,gang2-hai6,laa1,#,hou2,ji6,ze1,#,do1-ze6,maa4-maa4,#,#,
