[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋企,大,危機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk1-kei2,daai6,ngai4-gei1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,big,crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,終於,返,到,屋企,喇,，,坐車,坐,到,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zung1-jyu1,faan1,dou3,uk1-kei2,laa3,#,co5-ce1,co5,dou3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,at last,to return,to,home,(particle),#,to ride a car,to sit,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭,都,暈,埋,」,阿大,大聲,噉,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau4,dou1,wan4,maai4,#,aa3-daai2,daai6-seng1,gam2,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head,also,dizzy,also,#,David,loudly,then,to say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,快啲,入,屋,，,好,肚餓,啊,！,」,家姐,冇,晒,力,噉,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,faai3-di1,jap6,uk1,#,hou2,tou5-ngo6,aa3,#,#,gaa1-ze1,mou5,saai3,lik6,gam2,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,faster,to enter,house,#,very,hungry,(particle),#,#,elder sister,don't have,all,strength,then,to say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,笑,住,講,：,「,知道,喇,，,我,依家,去,煮,飯,俾,你哋,食,啦,，,你哋,有冇,話,想,食,咩,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,siu3,zyu6,gong2,#,#,zi1-dou3,laa3,#,ngo5,ji1-gaa1,heoi3,zyu2,faan6,bei2,nei5-dei6,sik6,laa1,#,nei5-dei6,jau5-mou5,waa6,soeng2,sik6,me1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,to laugh,to live,to say,#,#,to know,(particle),#,I,now,to go,cook,meal,to give,you (plural),to eat,(particle),#,you (plural),have-or-haven't,to say,to want,to eat,what,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
