[0],,,,,,,,,,,,,,,,,,,,,,,
一,年,一,次,剪,頭髮,,,,,,,,,,,,,,,,,,
jat1,nin4,jat1,ci3,zin2,tau4-faat3,,,,,,,,,,,,,,,,,,
one,year,one,time ,cut,hair,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,
有,一,個,地方,，,係,人,同,動物,都,可以,一齊,和平,生活,嘅,。,呢度,有,個,有錢,人,叫,阿達,，
jau5,jat1,go3,dei6-fong1,#,hai6,jan4,tung4,dung6-mat6,dou1,ho2-ji5,jat1-cai4,wo4-ping4,sang1-wut6,ge3,#,ni1-dou6,jau5,go3,jau5-cin4,jan4,giu3,Aa3-daat6,#
there is,one,(measure),place,#,is,human,and,animals,all,can,together,peaceful,live,-,#,here,there is,(measure),rich,person,called,Ah Tat,#
[1b],,,,,,,,,,,,,,,,,,,,,,,
每,年,嘅,一月,一號,係,佢,要,剪,頭髮,嘅,日子,，,今日,終於,到,喇,。,,,,,,
mui5,nin4,ge3,jat1-jyut6,jat1-hou6,hai6,keoi5,jiu3,zin2,tau4-faat3,ge3,jat6-zi2,#,gam1-jat6,zung1-jyu1,dou3,laa3,#,,,,,,
every,year,-,January,the first,is,he,need to,cut,hair,-,date,#,today,finally,come to,(particle),#,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,
當,佢,想,出門口,，,佢,老婆,叫住,佢,：,「,唔准,去,，,依家,疫情,咁,嚴重,，,唔准,出,。,,
dong1,keoi5,soeng2,ceot1-mun4-hau2,#,keoi5,lou5-po4,giu3-zyu6,keoi5,#,#,m4-zeon2,heoi3,#,ji1-gaa1,jik6-cing4,gam3,jim4-zung6,#,m4-zeon2,ceot1,#,,
when,he,want to,go out,#,his,wife,stop,him,#,#,not allow,to go,#,now,pandemic,so,serious,#,not allow,to go out,#,,
[2b],,,,,,,,,,,,,,,,,,,,,,,
其實,你,想,剪,都,冇,人,幫,到,你,。,」,,,,,,,,,,,,
kei4-sat6,nei5,soeng2,zin2,dou1,mou5,jan4,bong1,dou2,nei5,#,#,,,,,,,,,,,,
actually,you,want to,cut,also,there is no,people,help,can,you,#,#,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,
阿達,好,嬲,噉,講,：,「,我,一定,要,剪,，,依,個,係,我,一直,嘅,習慣,嚟,。,」,,
Aa3-daat6,hou2,nau1,gam2,gong2,#,#,ngo5,jat1-ding6,jiu3,zin2,#,ji1,go3,hai6,ngo5,jat1-zik6,ge3,zaap6-gwaan3,lai4,#,#,,
Ah Tat,very,angry,in this way,say,#,#,I,must,need to,cut,#,this,(measure),is,I,constantly,-,habit,is,#,#,,
[4],,,,,,,,,,,,,,,,,,,,,,,
突然,，,佢,記得,好似,好多,舖頭,都,冇,開,門,做,生意,。,,,,,,,,,,
dat6-jin4,#,keoi5,gei3-dak1,hou2-ci5,hou2-do1,pou3-tau2,dou1,mou5,hoi1,mun4,zou6,saang1-ji3,#,,,,,,,,,,
suddenly,#,he,remember,seems,many,shops,also,haven't,opened,door,to do,business,#,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,
過,咗,咁,耐,，,一定,開,返,晒,。,佢,行,咗,出,門口,，,真係,好多,舖頭,都,冇,開,門,。
gwo3,zo2,gam3,noi6,#,jat1-ding6,hoi1,faan1,saai3,#,keoi5,haang4,zo2,ceot1,mun4-hau2,#,zan1-hai6,hou2-do1,pou3-tau2,dou1,mou5,hoi1,mun4,#
pass,-ed  ,so,long time,#,sure,open,back,all,#,he,walk,-ed ,out,door,#,really,many,shops,also,haven't,opened,door,#
[6],,,,,,,,,,,,,,,,,,,,,,,
佢,好,忟憎,噉,講,：,「,我,就,唔信,剪,唔到,，,我,揾,阿明,，,上年,都,係,揾,佢,！,」
keoi5,hou2,mang2-zang2,gam2,gong2,#,#,ngo5,zau6,m4-seon3,zin2,m4-dou2,#,ngo5,wan2,Aa3-ming4,#,soeng6-nin2,dou1,hai6,wan2,keoi5,#,#
he,very,irritable,in this way,say,#,#,I,then,don't believe,cut,cannot,#,I,find,Ah Ming,#,last year,also,was,find,him,#,#
[7],,,,,,,,,,,,,,,,,,,,,,,
