[Line 0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,係,一,名,工程師,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hai6,jat1,ming4,gung1-cing4-si1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,am,one,(measure),engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,叫,阿樂,，,我,細細個,就,有,一,個,夢想,，,係,想,成為,一,個,工程師,，,但係,好,難,實現,到,。,你哋,可能,會,講,只係,工程師,，,認真啲,讀書,咪,得,囉,。,吖,！,仲,有,一,樣,嘢,未,講,，,我,係,一,個,女仔,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,giu3,Aa3-lok6,#,ngo5,sai3-sai3-go3,zau6,jau5,jat1,go3,mung6-soeng2,#,hai6,soeng2,sing4-wai4,jat1,go3,gung1-cing4-si1,#,daan6-hai6,hou2,naan4,sat6-jin6,dou2,#,nei5-dei6,ho2-nang4,wui5,gong2,zi2-hai6,gung1-cing4-si1,#,jing6-zan1-di1,duk6-syu1,mai6,dak1,lo1,#,aa1,#,zung6,jau5,jat1,joeng6,je5,mei6,gong2,#,ngo5,hai6,jat1,go3,neoi5-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,am called,Ah Lok,#,I,little,then,have,one,(measure),dream,#,is,want to,become,one,(measure),engineer,#,but,very,difficult,achieve,can,#,you,maybe,will,say,only,engineer,#,more serious,study,then,okay,(particle),#,(particle),#,still,have,one,kind of,thing,not yet,say,#,I,am,one,(measure),girl,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,想,整,嘅,嘢,有,好多,，,多,到,你哋,都,唔信,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,soeng2,zing2,ge3,je5,jau5,hou2-do1,#,do1,dou3,nei5-dei6,dou1,m4-seon3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,want to,make,-,things,there are,many,#,many,to a point,you,also,don't believe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,想,起,一,條,好,長,好,長,嘅,公路,，,可以,畀,我,踩,住,單車,，,由,地球,踩,去,月球,。,我,好,早,就,想,去,月球,睇下,，,睇下,月亮,係咪,有,隻,兔仔,喺度,，,可以,帶,一,個,月餅,當,手信,，,我,諗,佢,應該,會,鍾意,食,。,但係,班,上,嘅,男,同學,聽到,我,想,做,工程師,，,佢,係噉,笑,我,，,指,住,我,話,：,「,你,一,個,女仔,，,仲,想,做,工程師,，,點,會,夠,我哋,男仔,嚟,，,我,夢想,都,係,做,工程師,，,你,都係,喺,寫字樓,返工,啦,。,」
ngo5,hou2,soeng2,hei2,jat1,tiu4,hou2,coeng4,hou2,coeng4,ge3,gung1-lou6,#,ho2-ji5,bei2,ngo5,caai2,zyu6,daan1-ce1,#,jau4,dei6-kau4,caai2,heoi3,jyut6-kau4,#,ngo5,hou2,zou2,zau6,soeng2,heoi3,jyut6-kau4,tai2-haa5,#,tai2-haa5,jyut6-loeng6,hai6-mai6,jau5,zek3,tou3-zai2,hai2-dou6,#,ho2-ji5,daai3,jat1,go3,jyut6-beng2,dong3,sau2-seon3,#,ngo5,nam2,keoi5,jing1-goi1,wui5,zung1-ji3,sik6,#,daan6-hai6,baan1,soeng6,ge3,naam4,tung4-hok6,teng1-dou2,ngo5,soeng2,zou6,gung1-cing4-si1,#,keoi5,hai6-gam2,siu3,ngo5,#,zi2,zyu6,ngo5,waa6,#,#,nei5,jat1,go3,neoi5-zai2,#,zung6,soeng2,zou6,gung1-cing4-si1,#,dim2,wui5,gau3,ngo5-dei6,naam4-zai2,lai4,#,ngo5,mung6-soeng2,dou1,hai6,zou6,gung1-cing4-si1,#,nei5,dou1-hai6,hai2,se2-zi6-lau4,faan1-gung1,laa1,#,#
I,really,want to,build,one,(measure),very,long,very,long,-,highway,#,can,let,me,ride,-ing,bicycle,#,from,the Earth,ride,to,the moon,#,I,very,early,then,want to,go to,the moon,to take a look,#,see,the moon,is or isn't,there is,(measure),rabbit,right here,#,can,bring,one,(measure),mooncake,as,souvenir,#,I,think,it,should,will,like,to eat,#,but,class,on,-,male,classmate,heard,I,want to,become,engineer,#,he,keep,laugh,me,#,point at,-ing,me,to say,#,#,you,one,(measure),girl,#,even,want to,do,engineer,#,how,will,comparable to,us,boys,be,#,I,dream,also,is,to become,engineer,#,you,had better,at,office,work,(particle),#,#
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,想,整,一,架,火箭,出嚟,，,可以,飛,嚟,飛,去,，,好,想,睇下,其他,地方,，,好,想,知,有冇,一,個,地方,係,男,女,平等,嘅,呢,？,其實,，,我,喺,學校,嘅,科學,考試,年年,都,係,全,班,第一名,，,嗰,個,男仔,次次,都,係,唔合格,，,但係,個個,都,讚,佢,叻,，,有,理想,，,但係,我,就,⋯⋯,點解,會,有,咁,大,唔同,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hou2,soeng2,zing2,jat1,gaa3,fo2-zin3,ceot1-lai4,#,ho2-ji5,fei1,lai4,fei1,heoi3,#,hou2,soeng2,tai2-haa5,kei4-taa1,dei6-fong1,#,hou2,soeng2,zi1,jau5-mou5,jat1,go3,dei6-fong1,hai6,naam4,neoi5,ping4-dang2,ge3,ne1,#,kei4-sat6,#,ngo5,hai2,hok6-haau6,ge3,fo1-hok6,haau2-si3,nin4-nin4,dou1,hai6,cyun4,baan1,dai6-jat1-ming4,#,go2,go3,naam4-zai2,ci3-ci3,dou1,hai6,m4-hap6-gaak3,#,daan6-hai6,go3-go3,dou1,zaan3,keoi5,lek1,#,jau5,lei5-soeng2,#,daan6-hai6,ngo5,zau6,#,dim2-gaai2,wui5,jau5,gam3,daai6,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,really,want,to make,one,(measure),rocket,out,#,can,fly,come,fly,go,#,really,want to,take a look,other,places,#,really,want to,know,have or haven't,one,(measure),place,is,male,female,equal,-,(particle),#,actually,#,I,at,school, 's,science,examination,every year,all,am,whole,class,the top,#,that,(measure),boy,every time,all,is,fail,#,but,everyone,all,praise,him,clever,#,have,ideal,#,but,I,then,#,why,will,have,so,big,difference,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吖,！,我,仲,有,個,地方,想,去,呀,！,我,好,想,去,睇,海,嘅,世界,，,聽,人,講,有,好多,魚,、,海星,同,海草,。,因為,我,唔識,游水,，,如果,我,整,到,一,部,潛水艇,就,好,喇,！,噉,我,就,可以,去,睇下,唔同,嘅,嘢,。,有時,，,我,唔係,好,明白,，,點解,連,屋企人,都,唔支持,我,。,成日,都,係,嗰,句,：,「,女仔,做,咩,工程師,，,做,寫字樓,唔好,咩,？,」,但係,我,都,有,自己,鍾意,同,想,做,嘅,嘢,㗎,。,,,,,,,,,,,,
aa1,#,ngo5,zung6,jau5,go3,dei6-fong1,soeng2,heoi3,aa3,#,ngo5,hou2,soeng2,heoi3,tai2,hoi2,ge3,sai3-gaai3,#,teng1,jan4,gong2,jau5,hou2-do1,jyu2,#,hoi2-sing1,tung4,hoi2-cou2,#,jan1-wai6,ngo5,m4-sik1,jau4-seoi2,#,jyu4-gwo2,ngo5,zing2,dou2,jat1,bou6,cim4-seoi2-teng5,zau6,hou2,laa3,#,gam2,ngo5,zau6,ho2-ji5,heoi3,tai2-haa5,m4-tung4,ge3,je5,#,jau5-si4,#,ngo5,m4-hai6,hou2,ming4-baak6,#,dim2-gaai2,lin4,uk1-kei2-jan4,dou1,m4-zi1-ci4,ngo5,#,sing4-jat6,dou1,hai6,go2,geoi3,#,#,neoi5-zai2,zou6,me1,gung1-cing4-si1,#,zou6,se2-zi6-lau4,m4-hou2,me1,#,#,daan6-hai6,ngo5,dou1,jau5,zi6-gei2,zung1-ji3,tung4,soeng2,zou6,ge3,je5,gaa3,#,,,,,,,,,,,,
(particle),#,I,still,have,(measure),place,want to,go,(particle),#,I,really,want to,go to,see,sea, ’s,world,#,hear,people,say,have,many,fish,#,starfish,and,seagrass,#,because,I,don't know,swim,#,if,I,make,can,one,(measure),submarine,then,good,(particle),#,then,I,then,can,go to,take a look,different,-,things,#,sometimes,#,I,am not,very,understand,#,why,even,family,also,don't support,me,#,always,also,is,that,sentence,#,#,girl,do,what,engineer,#,do,office,not good,(particle),#,#,but,I,also,have,oneself,like,and,want to,do,-,thing,(particle),#,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,日,，,科學,老師,叫,我,落堂,嚟,揾,佢,，,佢,問,咗,我,一,個,問題,，,如果,你,係,一,個,工程師,，,你,會,想,整,咩嘢,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,jat1,jat6,#,fo1-hok6,lou5-si1,giu3,ngo5,lok6-tong4,lai4,wan2,keoi5,#,keoi5,man6,zo2,ngo5,jat1,go3,man6-tai4,#,jyu4-gwo2,nei5,hai6,jat1,go3,gung1-cing4-si1,#,nei5,wui5,soeng2,zing2,me1-je5,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there is,one,day,#,science,teacher,ask,me,finished class,come,to find,him/her,#,he/she,ask,-ed,me,one,(measure),question,#,if,you,are,one,(measure),engineer,#,you,will,want to,make,what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,細細聲,噉,問,：,「,我,都,可以,做,到,工程師,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,sai3-sai3-seng1,gam2,man6,#,#,ngo5,dou1,ho2-ji5,zou6,dou2,gung1-cing4-si1,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,low voice,in this way,ask,#,#,I,also,can,become,can,engineer,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,好,肯定,噉,答,：,「,可以,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,hou2,hang2-ding6,gam2,daap3,#,#,ho2-ji5,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
