[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紙船,的,秘密,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi2-syun4,dik1,bei3-mat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper ship,’s,secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新年,之後,嘅,第一,個,節日,到,喇,！,唔少,人,屋企,都,準備,咗,花燈,同,湯圓,，,而,小明,同,大鼻,就,準備,咗,紙船,慶祝,。,,,,,,,,,,,,,,,,,,
san1-nin4,zi1-hau6,ge3,dai6-jat1,go3,zit3-jat6,dou3,laa3,#,m4-siu2,jan4,uk1-kei2,dou1,zeon2-bei6,zo2,faa1-dang1,tung4,tong1-jyun2,#,ji4,siu2-ming4,tung4,daai6-bei6,zau6,zeon2-bei6,zo2,zi2-syun4,hing3-zuk1,#,,,,,,,,,,,,,,,,,,
new year,after,’s,first,(measure),festival,arrive,already,#,not few,human,home,"all, also",to prepare,-ed,lantern,and,rice ball,#,and,Siu Ming,and,Big Nose,then,to prepare,-ed,paper ship,celebrate,#,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,喺,河,邊,放,紙船,，,睇住,紙船,喺,水,上面,浮下浮下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,hai2,ho4,bin1,fong3,zi2-syun4,#,tai2-zyu6,zi2-syun4,hai2,seoi2,soeng6-min6,fau4-haa5-fau4-haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,at,river,side,to put,paper ship,#,look,paper ship,at,water,above,floating,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,紙船,可以,浮,喺,水,度,嘅,？,」,小明,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,zi2-syun4,ho2-ji5,fau4,hai2,seoi2,dou6,ge3,#,#,siu2-ming4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,paper ship,can,float,at,water,place,(particle),#,#,Siu Ming,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係咪,因為,我,有,頭髮,呢,？,」,大鼻,都,唔,知,紙船,點解,識,浮,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6-mai6,jan1-wai6,ngo5,jau5,tau4-faat3,ne1,#,#,daai6-bei6,dou1,m4,zi1,zi2-syun4,dim2-gaai2,sik1,fau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,is or isn't,because,I,have,hair,(particle),#,#,Big Nose,also,not,know,paper ship,why,know,float,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,小明,知道,一定,唔,關,頭髮,事,，,佢,摸住,自己,嘅,光頭,噉,諗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,siu2-ming4,zi1-dou3,jat1-ding6,m4,gwaan1,tau4-faat3,si6,#,keoi5,mo2-zyu6,zi6-gei2,ge3,gwong1-tau4,gam2,nam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,Siu Ming,know,sure,not,related to,hair,matter,#,he,feel,oneself,’s,bald head,then,think,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,決定,返去,問,公公,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,kyut3-ding6,faan1-heoi3,man6,gung4-gung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,decide,go back,ask,grandfather (mother's father),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,公公,，,點解,紙船,識,浮,嘅,？,」,小明,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gung4-gung1,#,dim2-gaai2,zi2-syun4,sik1,fau4,ge3,#,#,siu2-ming4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,grandfather,#,why,paper ship,know,float,(particle),#,#,Siu Ming,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平時,乜,都,識,嘅,公公,俾,小明,問,到,𢯎,晒,頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ping4-si4,mat1,dou1,sik1,ge3,gung4-gung1,bei2,siu2-ming4,man6,dou3,aau1,saai3,tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usually,all,also,know,-,grandfather,to give,Siu Ming,to ask,to,scratch,all,head,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,決定,帶,小明,同,大鼻,去,揾,花姨姨,。,花姨姨,係,公公,個,女,，,又,係,科學,老師,，,一定,會,知,點解,。,,,,,,,,,,,,,,,,,,,,,
