[0],,,,,,,,,,,,,,,,,,,,,,,,,,
畀,個,密碼,嚟,睇下,,,,,,,,,,,,,,,,,,,,,,
bei2,go3,mat6-maa5,lai4,tai2-haa5,,,,,,,,,,,,,,,,,,,,,,
give,(measure),password,to,take a look,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,
今日,心怡,同,媽媽,出街,買,嘢,，,行,過,一,條,街,，,聽到,有,個,叔叔,喺度,叫賣,。,,,,,,
gam1-jat6,Sam1-ji4,tung4,maa4-maa1,ceot1-gaai1,maai5,je5,#,haang4,gwo3,jat1,tiu4,gaai1,#,teng1-dou2,jau5,go3,suk1-suk1,hai2-dou6,giu3-maai6,#,,,,,,
today,Sammy,and,mother,go out,to buy,thing,#,walk,pass,one,(measure),street,#,heard,have,(measure),uncle,right here,shout to sell,#,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,
「,埋嚟,睇,，,埋嚟,揀,呀,！,想要,配,鎖匙,嘅,都,可以,過嚟,呀,，,,,,,,,,,,
#,maai4-lai4,tai2,#,maai4-lai4,gaan2,aa3,#,soeng2-jiu3,pui3,so2-si4,ge3,dou1,ho2-ji5,gwo3-lai4,aa3,#,,,,,,,,,,
#,come over,to look,#,come over,to pick,(particle),#,want to,duplicate,key,-,also,can,come over,(particle),#,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,
唔同,嘅,鎖匙,公仔,我,都,有,，,好,靚,㗎,！,」,,,,,,,,,,,,,,
m4-tung4,ge3,so2-si4,gung1-zai2,ngo5,dou1,jau5,#,hou2,leng3,gaa3,#,#,,,,,,,,,,,,,,
different,-,key,doll,I,all,have,#,very,good-looking,(particle),#,#,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,
心怡,聽到,，,就,拉住,媽媽,去到,叔叔,面前,，,好,緊張,噉,講,：,,,,,,,,,,,,
Sam1-ji4,teng1-dou2,#,zau6,laai1-zyu6,maa4-maa1,heoi3-dou3,suk1-suk1,min6-cin4,#,hou2,gan2-zoeng1,gam2,gong2,#,,,,,,,,,,,,
Sammy,heard,#,as a result,pull,mother,walked to,uncle,in front of,#,very,nervous,in this way,say,#,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,，,可唔可以,配,一,條,畀,我,呀,，,我,已經,大個,女,喇,，,識,得,自己,保管,㗎,喇,。,」,,
#,maa4-maa1,#,ho2-m4-ho2-ji5,pui3,jat1,tiu4,bei2,ngo5,aa3,#,ngo5,ji5-ging1,daai6-go3,neoi2,laa3,#,sik1,dak1,zi6-gei2,bou2-gun2,gaa3,laa3,#,#,,
#,mother,#,can or cannot,duplicate,one,(measure),for,me,(particle),#,I,already,grown up,girl,already,#,know,(particle),oneself,to take care of,(particle),(particle),#,#,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,笑,住,講,：,「,好啦,，,配,啦,，,真係,冇你辦法,。,」,,,,,,,,,,,,
