[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,同,小吉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,tung4,Siu2-gat1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,and,Katy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,同,小吉,係,一,對,好朋友,。,小雲,係,一,個,好,要,面,嘅,女仔,，,而,小吉,就,內向,啲,，,佢,鍾意,跟住,小雲,，,小雲,做,咩,，,小吉,都,會,跟住,做,。,,,,,,,,,,,,,,,
Siu2-wan4,tung4,Siu2-gat1,hai6,jat1,deoi3,hou2-pang4-jau5,#,Siu2-wan4,hai6,jat1,go3,hou2,jiu3,min2,ge3,neoi5-zai2,#,ji4,Siu2-gat1,zau6,noi6-hoeng3,di1,#,keoi5,zung1-ji3,gan1-zyu6,Siu2-wan4,#,Siu2-wan4,zou6,me1,#,Siu2-gat1,dou1,wui5,gan1-zyu6,zou6,#,,,,,,,,,,,,,,,
Wendy,and,Katy,is,one,pair,good friends,#,Wendy,is,one,(measure),very,to want,face,(linker),girl,#,and,Katy,in contrast,introvert,-er,#,she,to like,to follow,Wendy,#,Wendy,do,what,#,Katy,always,will,to follow,to do,#,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,小吉,嚟,小雲,屋企,，,小雲,一,開門,就,聽到,小吉,笑,到,見,牙,唔,見,眼,噉,話,：,「,聽日,係,母親節,，,你,睇下,我,準備,咗,咩,禮物,畀,媽媽,？,」,,,,,,,,,,,,,,,
gam1-jat6,#,Siu2-gat1,lai4,Siu2-wan4,uk1-kei2,#,Siu2-wan4,jat1,hoi1-mun4,zau6,teng1-dou2,Siu2-gat1,siu3,dou3,gin3,ngaa4,m4,gin3,ngaan5,gam2,waa6,#,#,ting1-jat6,hai6,mou5-can1-zit3,#,nei5,tai2-haa5,ngo5,zeon2-bei6,zo2,me1,lai5-mat6,bei2,maa4-maa1,#,#,,,,,,,,,,,,,,,
today,#,Katy,to come,Wendy,home,#,Wendy,once,to open the door,then,heard,Katy,to laugh,to,to see,tooth,cannot,to see,eye,-ly,to say,#,#,tomorrow,is,Mother's Day,#,you,to look,I,to prepare,-en,what,gift,to give,mother,#,#,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正當,小雲,都,想,拎,佢,份,禮物,出嚟,嗰陣,，,小吉,拎,咗,一,條,頸巾,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zing3-dong1,Siu2-wan4,dou1,soeng2,ling1,keoi5,fan6,lai5-mat6,ceot1-lai4,go2-zan6,#,Siu2-gat1,ling1,zo2,jat1,tiu4,geng2-gan1,ceot1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
