[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海底,世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2-dai2,sai3-gaai3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea bed,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,天氣,好好,，,藍天,白,雲,，,好,適合,出,海,！,我,同,教練,由,西貢,搭,船,出發,，,準備,去,潛水,！,我,最,鍾意,睇,關於,海,嘅,書,，,覺得,海底,世界,一定,好,靚,，,所以,一直,都,想,試,下,潛水,。,今,次,終於,有,機會,喇,，,我,好,緊張,！,聽講,海,入面,啲,魚,好,靚,，,所以,我,帶,埋,部,防水,相機,，,諗住,影,多啲,靚,相,。
gam1-jat6,tin1-hei3,hou2-hou2,#,laam4-tin1,baak6,wan4,#,hou2,sik1-hap6,ceot1,hoi2,#,ngo5,tung4,gaau3-lin6,jau4,Sai1-gung3,daap3,syun4,ceot1-faat3,#,zeon2-bei6,heoi3,cim4-seoi2,#,ngo5,zeoi3,zung1-ji3,tai2,gwaan1-jyu1,hoi2,ge3,syu1,#,gok3-dak1,hoi2-dai2,sai3-gaai3,jat1-ding6,hou2,leng3,#,so2-ji5,jat1-zik6,dou1,soeng2,si3,haa5,cim4-seoi2,#,gam1,ci3,zung1-jyu1,jau5,gei1-wui5,laa3,#,ngo5,hou2,gan2-zoeng1,#,teng1-gong2,hoi2,jap6-min6,di1,jyu2,hou2,leng3,#,so2-ji5,ngo5,daai3,maai4,bou6,fong4-seoi2,soeng2-gei1,#,nam2-zyu6,jing2,do1-di1,leng3,soeng2,#
today,weather,good,#,blue sky,white,cloud,#,very,suitable,to go out,sea,#,I,and,coach,from,Sai Kung,to take,ship,start,#,to prepare,to go,to dive,#,I,most,to like,to look,regarding,sea,(linker),book,#,to feel,sea bed,world,sure,very,good-looking,#,therefore,keep on,also,to want,to try,a bit,to dive,#,this,time,at last,have,chance,already,#,I,very,nervous,#,heard that,sea,inside,some,fish,very,good-looking,#,therefore,I,bring,(suffix),(measure),water-proof,camera,#,thinking about,to take,more,beautiful,photo,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教練,好,仔細,噉,幫,我,檢查,蛙鞋,、,面罩,、,氧氣筒,等,裝備,，,確保,全部,冇,問題,之後,，,就,可以,準備,落,水,喇,！,佢,話,喺,水,入面,大家,都,講,唔到,嘢,，,所以,一定,要,跟住,佢,，,唔好,游,咁,遠,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaau3-lin6,hou2,zi2-sai3,gam2,bong1,ngo5,gim2-caa4,waa1-haai4,#,min6-zaau3,#,joeng5-hei3-tung2,dang2,zong1-bei6,#,kok3-bou2,cyun4-bou6,mou5,man6-tai4,zi1-hau6,#,zau6,ho2-ji5,zeon2-bei6,lok6,seoi2,laa3,#,keoi5,waa6,hai2,seoi2,jap6-min6,daai6-gaa1,dou1,gong2,m4-dou2,je5,#,so2-ji5,jat1-ding6,jiu3,gan1-zyu6,keoi5,#,m4-hou2,jau4,gam3,jyun5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coach,very,careful,then,to help,I,examine,fins,#,mask,#,Scuba tank,etc.,equipment,#,to ensure,all,don't have,question,after,#,then,can,to prepare,to fall,water,already,#,he / she,to say,at,water,inside,everyone,all,to say,cannot,thing,#,therefore,sure,to want,follow,he / she,#,do not,to swim,so,far,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教練,數,三,聲,之後,，,我哋,就,一齊,跳,落,水,。,落,水,冇,幾耐,，,我哋,就,見到,好多,魚仔,。,佢哋,一,條,跟住,一,條,噉,游,，,全部,都,好,可愛,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaau3-lin6,sou2,saam1,seng1,zi1-hau6,#,ngo5-dei6,zau6,jat1-cai4,tiu3,lok6,seoi2,#,lok6,seoi2,mou5,gei2-noi6,#,ngo5-dei6,zau6,gin3-dou2,hou2-do1,jyu2-zai2,#,keoi5-dei6,jat1,tiu4,gan1-zyu6,jat1,tiu4,gam2,jau4,#,cyun4-bou6,dou1,hou2,ho2-oi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coach,to count,three,sound,after,#,we,then,together,to jump,to fall,water,#,to fall,water,don't have,how long,#,we,then,to see,many,little fish,#,they,one,(measure),to follow,one,(measure),in this way,to swim,#,all,also,very,cute,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,越,游,越,深,，,見到,越,嚟,越,多,魚,。,佢哋,五顏六色,，,真係,好,靚,！,不過,佢哋,有,太,多,種類,，,我,都,唔,知,佢哋,叫,咩,名,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,jyut6,jau4,jyut6,sam1,#,gin3-dou2,jyut6,lai4,jyut6,do1,jyu2,#,keoi5-dei6,ng5-ngaan4-luk6-sik1,#,zan1-hai6,hou2,leng3,#,bat1-gwo3,keoi5-dei6,jau5,taai3,do1,zung2-leoi6,#,ngo5,dou1,m4,zi1,keoi5-dei6,giu3,me1,meng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,more,to swim,more,deep,#,to see,more,to come,more,many,fish,#,they,colourful,#,really,very,good-looking,#,only,they,have,too,many,kind,#,I,also,not,to know,they,to call,what,name,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
