[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
數學,？,難,我,唔到,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sou3-hok6,#,naan4,ngo5,m4-dou2,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mathematics,#,baffle,me,cannot,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,好,專心,噉,做,緊,功課,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,hou2,zyun1-sam1,gam2,zou6,gan2,gung1-fo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,very,focus,-ly,do,-ing,homework,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,門,「,碰,」,一,聲,打開,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,mun4,#,pung4,#,jat1,seng1,daa2-hoi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,door,#,bang,#,one,sound,is open,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,家姐,，,好,悶,呀,！,我,唔,做功課,喇,，,數學,都,冇用,嘅,，,我,想,出去,玩,呀,！,」,阿佑,大,發脾氣,。,,,,,,,,,,,,,,,,,,
#,gaa1-ze1,#,hou2,mun6,aa3,#,ngo5,m4,zou6-gung1-fo3,laa3,#,sou3-hok6,dou1,mou5-jung6,ge2,#,ngo5,soeng2,ceot1-heoi3,waan2,aa3,#,#,Aa3-jau6,daai6,faat3-pei4-hei3,#,,,,,,,,,,,,,,,,,,
#,elder sister,#,very,bored,(particle),#,I,not,do homework,(particle),#,mathematics,"all, also",useless,(particle),#,I,want,to get out,to play,(particle),#,#,Ah-Yau,big,to loose temper,#,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔,可以,唔,做功課,㗎,！,而且,數學,其實,好,有用,，,到,你,大個,就,會,明,㗎喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,
#,m4,ho2-ji5,m4,zou6-gung1-fo3,gaa3,#,ji4-ce2,sou3-hok6,kei4-sat6,hou2,jau5-jung6,#,dou3,nei5,daai6-go3,zau6,wui5,ming4,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
#,not,can,not,do homework,(particle),#,and that,mathematics,actually,very,useful,#,till,you,grow up,then,will,understand,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,見,家姐,個,樣,咁,認真,，,有啲,心虛,：,「,噉,……,真係,冇用,吖嘛,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,gin3,gaa1-ze1,go3,joeng2,gam3,jing6-zan1,#,jau5-di1,sam1-heoi1,#,#,gam2,#,zan1-hai6,mou5-jung6,aa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,see,elder sister,(measure),face,so,serious,#,a bit,feel guilty,#,#,but,#,really,useless,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,覺得,冇用,嘅話,，,不如,我,同,你,比賽,，,如果,你,贏,咗,我,，,你,今日,就,唔使,做功課,啦,！,」,家姐,笑,住,同,阿佑,講,。,,,,,,,,,,,,,
#,nei5,gok3-dak1,mou5-jung6,ge3-waa2,#,bat1-jyu4,ngo5,tung4,nei5,bei2-coi3,#,jyu4-gwo2,nei5,jeng4,zo2,ngo5,#,nei5,gam1-jat6,zau6,m4-sai2,zou6-gung1-fo3,laa1,#,#,gaa1-ze1,siu3,zyu6,tung4,Aa3-jau6,gong2,#,,,,,,,,,,,,,
#,you,feel,useless,if,#,how about,I,and,you,compete,#,if,you,win,-en,me,#,you,today,then,no need,to do homework,(particle),#,#,elder sister,laugh,-ing,with,Ah-Yau,say,#,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗱,！,你,講,㗎,，,唔,可以,講大話,。,」,阿佑,精神,即刻,返,晒,嚟,！,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,naa4,#,nei5,gong2,gaa3,#,m4,ho2-ji5,gong2-daai6-waa6,#,#,Aa3-jau6,zing1-san4,zik1-hak1,faan1,saai3,lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hey,#,you,say,(particle),#,not,can,tell lie,#,#,Ah-Yau,energy,immediately,back,all,come,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,同,阿佑,去,咗,公園,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,tung4,Aa3-jau6,heoi3,zo2,gung1-jyun2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,and,Ah-Yau,to go,-en,park,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿佑,，,我哋,一路,行,，,一路,揾下,有,直角,嘅,嘢,，,最,快,揾到,三,個,就,當,贏,。,」,家姐,笑,住,話,。,,,,,,,,,,,,,,,,,
#,Aa3-jau6,#,ngo5-dei6,jat1-lou6,haang4,#,jat1-lou6,wan2-haa5,jau5,zik6-gok3,ge3,je5,#,zeoi3,faai3,wan2-dou2,saam1,go3,zau6,dong3,jeng4,#,#,gaa1-ze1,siu3,zyu6,waa6,#,,,,,,,,,,,,,,,,,
#,Ah-Yau,#,"we, us",while,walk,#,while,find,have,right angle,(linker),thing,#,most,fast,find,three,(measure),then,as,win,#,#,elder sister,laugh,-ing,say,#,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,搖,晒,頭,，,唔明,家姐,講,嘅,直角,係,咩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,jiu4,saai3,tau4,#,m4-ming4,gaa1-ze1,gong2,ge3,zik6-gok3,hai6,me1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,shake,all,head,#,not understand,elder sister,say,(linker),right angle,is,what,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗱,，,即係,好似,『,L,』,字,噉,呀,！,你,望下,架,車,後面,個,『,L,』,字,。,」,家姐,講,。,,,,,,,,,,,,,,,,,,,
#,naa4,#,zik1-hai6,hou2-ci5,#,#,#,zi6,gam2,aa3,#,nei5,mong6-haa5,gaa3,ce1,hau6-min6,go3,#,#,#,zi6,#,#,gaa1-ze1,gong2,#,,,,,,,,,,,,,,,,,,,
#,Look!,#,that means,look like,#,L,#,word,in this way,(particle),#,you,look at,(measure),car,behind,(measure),#,L,#,word,#,#,elder sister,say,#,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,，,簡單,啦,！,尋日,老師,好似,有,講,過,，,我,一定,會,揾,得,多,過,你,！,」,阿佑,講,完,就,即刻,唔見,影,。,,,,,,,,,,,,,,,
#,ngo5,#,gaan2-daan1,laa1,#,cam4-jat6,lou5-si1,hou2-ci5,jau5,gong2,gwo3,#,ngo5,jat1-ding6,wui5,wan2,dak1,do1,gwo3,nei5,#,#,Aa3-jau6,gong2,jyun4,zau6,zik1-hak1,m4-gin3,jing2,#,,,,,,,,,,,,,,,
#,Oh!,#,simple,(particle),#,yesterday,teacher,seems,have,say,-en,#,I,surely,will,find,(suffix),more,than,you,#,#,Ah-Yau,say,finish,then,immediately,not see,shadow,#,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唉,，,呢個,阿佑,吖,！,」,家姐,有啲,無奈,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aai1,#,ni1-go3,Aa3-jau6,aa1,#,#,gaa1-ze1,jau5-di1,mou4-noi6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Sigh!,#,this one,Ah-Yau,(particle),#,#,elder sister,a bit,have no alternative,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,嚟,到,教堂,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,lai4,dou3,gaau3-tong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,come,to,church,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,正,想,指住,上面,個,十字架,，,諗,諗,下,都係,放低,手,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,zing3,soeng2,zi2-zyu6,soeng6-min6,go3,sap6-zi6-gaa2,#,nam2,nam2,haa5,dou1-hai6,fong3-dai1,sau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,while,want,to point at,above,(measure),cross,#,think,think,a bit,also,put down,hand,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,即刻,指住,教堂,個,十字架,，,大叫,：,「,揾到,喇,！,係,直角,呀,！,一,比,零,！,」,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,zik1-hak1,zi2-zyu6,gaau3-tong2,go3,sap6-zi6-gaa3,#,daai6-giu3,#,#,wan2-dou2,laa3,#,hai6,zik6-gok3,aa3,#,jat1,bei2,ling4,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,immediately,point at,church,(measure),cross,#,shout,#,#,find,already,#,is,right angle,(particle),#,one,to,zero,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咦,！,係,喎,，,噉,都,俾,你,揾到,先,。,」,家姐,笑,住,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji2,#,hai6,wo3,#,gam2,dou1,bei2,nei5,wan2-dou2,sin1,#,#,gaa1-ze1,siu3,zyu6,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,yes,(particle),#,in this way,"all, also",let,you,find,first,#,#,elder sister,laugh,-ing,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,心諗,：,贏,咗,就,唔使,做功課,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,sam1-nam2,#,jeng4,zo2,zau6,m4-sai2,zou6-gung1-fo3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,think,#,win,-en,then,no need,to do homework,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,繼續,跑,，,邊,跑,邊,指住,啲,燈柱,：,「,又,有,喇,！,二,比,零,！,」,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,gai3-zuk6,paau2,#,bin1,paau2,bin1,zi2-zyu6,di1,dang1-cyu5,#,#,jau6,jau5,laa3,#,ji6,bei2,ling4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,continue,to run,#,while,run,while,point at,some,lamp pole,#,#,again,have,already,#,two,to,zero,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,話,：,「,好啦,！,噉,你,都,見到,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,waa6,#,#,hou2-laa1,#,gam2,nei5,dou1,gin3-dou2,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,say,#,#,OK then,#,in this way,you,"all, also",see,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,心諗,：,二,比,零,喇,！,呢個,比賽,好似,都,幾好,玩,喎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,sam1-nam2,#,ji6,bei2,ling4,laa3,#,ni1-go3,bei2-coi3,hou2-ci5,dou1,gei2-hou2,waan2,wo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,think,#,two,to,zero,already,#,this one,competition,seems,"all, also",quite good,to play,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,跑,到,一,個,沙灘,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,paau2,dou3,jat1,go3,saa1-taan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,run,to,one,(measure),beach,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,指住,張,沙灘,櫈,話,：,「,我,都,揾到,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,zi2-zyu6,zoeng1,saa1-taan1,dang3,waa6,#,#,ngo5,dou1,wan2-dou2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,point at,(measure),beach,chair,say,#,#,I,"all, also",find,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,笑,住,話,：,「,嗰啲,都,唔係,直角,嚟,嘅,，,老師,話,呢啲,叫,『,鈍角,』,！,」,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,siu3,zyu6,waa6,#,#,go2-di1,dou1,m4-hai6,zik6-gok3,lai4,ge2,#,lou5-si1,waa6,ni1-di1,giu3,#,deon6-gok3,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,laugh,-ing,say,#,#,those,"all, also",is not,right angle,(particle),(particle),#,teacher,say,these,are called,#,obtuse angle,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咦,，,係,叻,喎,，,鈍角,你,都,識,，,呃,唔到,你,添,！,」,家姐,覺得,有啲,欣慰,。,,,,,,,,,,,,,,,,,,,,,,,
#,ji2,#,hai6,lek1,wo3,#,deon6-gok3,nei5,dou1,sik1,#,aak1,m4-dou2,nei5,tim1,#,#,gaa1-ze1,gok3-dak1,jau5-di1,jan1-wai3,#,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,is,brilliant,(particle),#,obtuse angle,you,"all, also",know,#,deceive,cannot,you,(particle),#,#,elder sister,feel,a bit,gratified,#,,,,,,,,,,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿佑,心諗,：,好彩,尋日,有,聽到,老師,講,，,原來,唔同,嘢,真係,有,唔同,角度,㗎喎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jau6,sam1-nam2,#,hou2-coi2,cam4-jat6,jau5,teng1-dou2,lou5-si1,gong2,#,jyun4-loi4,m4-tung4,je5,zan1-hai6,jau5,m4-tung4,gok3-dou6,gaa3-wo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Yau,think,#,luckily,yesterday,have,heard,teacher,say,#,it turns out,different,thing,really,have,different,angle,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,佢哋,跑,咗,去,球場,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gan1-zyu6,keoi5-dei6,paau2,zo2,heoi3,kau4-coeng4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and then,they,run,-en,to,field / court,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,即刻,指住,個,球,網,話,：,「,呢次,到我,揾到,喇,！,二,比,一,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
