[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,讀書,唔,叻,，,但,我,……,,,,,,,,,,,,,,,,,,,,,
ngo5,duk6-syu1,m4,lek1,#,daan6,ngo5,#,,,,,,,,,,,,,,,,,,,,,
I,study,not,brilliant,#,but,I,#,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿瑩,，,你,又,喺度,搞,咩,呀,！,功課,又,唔,做,，,書,又,唔,温,，,成日,睇,啲,冇用,嘅,書,！,,
#,Aa3-jing4,#,nei5,jau6,hai2-dou6,gaau2,me1,aa3,#,gung1-fo3,jau6,m4,zou6,#,syu1,jau6,m4,wan1,#,sing4-jat6,tai2,di1,mou5-jung6,ge3,syu1,#,,
#,Ying,#,you,again,here,do,what,(particle),#,homework,again,not,do,#,book,again,not,study,#,always,read,some,useless,(linker),book,#,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,睇下,人哋,小明,，,讀書,年,年,拎,第一,，,你,學下,人哋,啦,！,」,,,,,,,,,,,,
nei5,tai2-haa5,jan4-dei6,siu2-ming4,#,duk6-syu1,nin4,nin4,ling1,dai6-jat1,#,nei5,hok6-haa5,jan4-dei6,laa1,#,#,,,,,,,,,,,,
you,look,other(s),Little Ming,#,study,year,year,take,first,#,you,learn,other(s),(particle),#,#,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,今日,又,發嬲,喇,。,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gam1-jat6,jau6,faat3-nau1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,
mother,today,again,get angry,already,#,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,依家,要,出去,買,啲,嘢,，,你,都,好,去,温書,，,唔好,亂,開火,煮,嘢食,，,聽到,未,呀,？,」,,,
#,maa4-maa1,ji1-gaa1,jiu3,ceot1-heoi3,maai5,di1,je5,#,nei5,dou1,hou2,heoi3,wan1-syu1,#,m4-hou2,lyun6,hoi1-fo2,zyu2,je5-sik6,#,teng1-dou2,mei6,aa3,#,#,,,
#,mother,now,want,to get out,to buy,some,thing,#,you,also,better,go,to study,#,do not,randomly,turn on the stove,to cook,food,#,hear,not yet,(particle),#,#,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,好,大聲,噉,問,阿瑩,。,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,hou2,daai6-seng1,gam2,man6,Aa3-jing4,#,,,,,,,,,,,,,,,,,,,,,,
mother,very,loud,-ly,ask,Ying,#,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,得,喇,！,知道,喇,！,」,阿瑩,放低,本,書,扮,鬼臉,。,,,,,,,,,,,,,,
#,dak1,laa3,#,zi1-dou3,laa3,#,#,Aa3-jing4,fong3-dai1,bun2,syu1,baan6,gwai2-lim6,#,,,,,,,,,,,,,,
#,okay,already,#,know,already,#,#,Ying,put down,(measure),book,to pretend,grimace ,#,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,出,咗,門口,。,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,ceot1,zo2,mun4-hau2,#,,,,,,,,,,,,,,,,,,,,,,,,
mother,go out,-en,doorway,#,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑩,聽到,媽媽,噉,講,，,其實,有啲,唔,開心,，,佢,覺得,媽媽,唔明白,佢,。,,,,,,,,,,,,
Aa3-jing4,teng1-dou2,maa4-maa1,gam2,gong2,#,kei4-sat6,jau5-di1,m4,hoi1-sam1,#,keoi5,gok3-dak1,maa4-maa1,m4-ming4-baak6,keoi5,#,,,,,,,,,,,,
Ying,hear,mother,in this way,say,#,actually,a bit,not,happy,#,she,feel,mother,do not understand,her,#,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,心諗,：,其實,我,科學,都,高,分,㗎,！,又,唔見,佢,讚下,我,。,,,,,,,,,,,,
keoi5,sam1-nam2,#,kei4-sat6,ngo5,fo1-hok6,dou1,gou1,fan1,gaa3,#,jau6,m4-gin3,keoi5,zaan3-haa5,ngo5,#,,,,,,,,,,,,
she,think,#,actually,my,science,"all, also",high,marks,(particle),#,again,don't see,her,praise,me,#,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,阿瑩,諗到,啲,嘢,！,佢,決定,做,啲,媽媽,估,唔到,佢,識,做,嘅,嘢,，,就係,煲湯,！,,,,,,
dat6-jin4,#,Aa3-jing4,nam2-dou2,di1,je5,#,keoi5,kyut3-ding6,zou6,di1,maa4-maa1,gu2,m4-dou2,keoi5,sik1,zou6,ge3,je5,#,zau6-hai6,bou1-tong1,#,,,,,,
suddenly,#,Ying,think,some,thing,#,she,decide,to do,some,mother,guess,cannot,she,know,to do,(linker),thing,#,which is,to cook soup,#,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑩,好,鍾意,科學,，,所以,佢,決定,用,一個,特別,嘅,開火,方法,。,,,,,,,,,,,,,,
Aa3-jing4,hou2,zung1-ji3,fo1-hok6,#,so2-ji5,keoi5,kyut3-ding6,jung6,jat1-go3,dak6-bit6,ge3,hoi1-fo2,fong1-faat3,#,,,,,,,,,,,,,,
Ying,very,like,science,#,therefore,she,decide,to use,one,special,(linker),turn on the stove,method,#,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,先,準備,一啲,薯仔,同,蕃茄,，,將,佢哋,一舊舊,排,好,。,,,,,,,,,,,,,,,
keoi5,sin1,zeon2-bei6,jat1-di1,syu4-zai2,tung4,faan1-ke2,#,zoeng1,keoi5-dei6,jat1-gau6-gau6,paai4,hou2,#,,,,,,,,,,,,,,,
she,first,prepare,some,potato,and,tomato,#,make,them,pieces,align,well,#,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好似,仲,爭,緊,啲,嘢,……,」,阿瑩,望,一,望,上面,個,架,，,笑,咗,笑,——,,,,,,,,
#,hou2-ci5,zung6,zaang1,gan2,di1,je5,#,#,Aa3-jing4,mong6,jat1,mong6,soeng6-min6,go3,gaa2,#,siu3,zo2,siu3,#,,,,,,,,
#,seems,still,miss,-ing,some,thing,#,#,Ying,look,one,look,above,(measure),shelf,#,laugh,-en,laugh,#,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
啲,嘢,都,幾,啱用,噉喎,！,,,,,,,,,,,,,,,,,,,,,,
di1,je5,dou1,gei2,aam1-jung6,gam2-wo3,#,,,,,,,,,,,,,,,,,,,,,,
those,thing,"all, also",quite,useful,(particle),#,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,媽媽,因為,唔記得,拎,銀包,，,所以,返,咗,屋企,拎,……,,,,,,,,,,,,,,
ni1-go3,si4-hau6,#,maa4-maa1,jan1-wai6,m4-gei3-dak1,ling1,ngan4-baau1,#,so2-ji5,faan1,zo2,uk1-kei2,ling1,#,,,,,,,,,,,,,,
this one,time,#,mother,because,forget,take,wallet,#,therefore,return,-en,home,to take,#,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,一,打開,門,，,就,見到,阿瑩,喺,廚房,唔知,整,緊,咩,。,佢,想,去,鬧,阿瑩,，,,,,,,,,
keoi5,jat1,daa2-hoi1,mun4,#,zau6,gin3-dou2,Aa3-jing4,hai2,cyu4-fong2,m4-zi1,zing2,gan2,me1,#,keoi5,soeng2,heoi3,naau6,Aa3-jing4,#,,,,,,,,
she,once,open,door,#,then,see,Ying,at,kitchen,don't know,make,-ing,what,#,she,want,to go,to scold,Ying,#,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,諗諗下,又,想,睇下,阿瑩,搞邊科,，,就,冇,出聲,。,,,,,,,,,,,,,,,,,
daan6,nam2-nam2-haa5,jau6,soeng2,tai2-haa5,Aa3-jing4,gaau2-bin1-fo1,#,zau6,mou5,ceot1-seng1,#,,,,,,,,,,,,,,,,,
but,think a while,again,want,to look,Ying,doing what,#,then,don't have,voice out,#,,,,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑩,喺,度,排,緊,架,上面,啲,匙羹,，,完全,冇,為意,到,後面,嘅,媽媽,。,,,,,,,,,,,
Aa3-jing4,hai2,dou6,paai4,gan2,gaa2,soeng6-min6,di1,ci4-gang1,#,jyun4-cyun4,mou5,wai4-ji3,dou3,hau6-min6,ge3,maa4-maa1,#,,,,,,,,,,,
