[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,大個,喇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,daai6-go3,laa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,grow up,already,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,同,屋企人,搬,咗,嚟,香港,住,都,有,六,年,喇,，,慢慢,佢哋,都,開始,融入,香港,嘅,一啲,文化,，,特別,係,食,團年飯,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,tung4,uk1-kei5-jan4,bun1,zo2,lei4,hoeng1-gong2,zyu6,dou1,jau5,luk6,nin4,laa3,#,maan6-maan2,keoi5-dei6,dou1,hoi1-ci2,jung4-jap6,hoeng1-gong2,ge3,jat1-di1,man4-faa3,#,dak6-bit6,hai6,sik6,tyun4-nin4-faan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,with,family member,to move,-en,to come,Hong Kong,to live,"all, also",have,six,year,already,#,slowly,they,"all, also",to begin,to blend into,Hong Kong,(linker),some,culture,#,special,is,to eat,reunion dinner,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年,年,嘅,年三十晚,，,阿風,媽媽,都,會,請,十,幾,個,親戚,嚟,屋企,一齊,食,團年飯,，,而,準備,嘅,次次,都,係,媽媽,。,阿風,都,想,幫手,㗎,，,但,媽媽,都,會,笑,住,同,佢,講,：,「,你,仲,細,，,等,你,大個,啲,先,啦,！,」
nin4,nin4,ge3,nin4-saam1-sap6-maan5,#,Aa3-fung1,maa4-maa1,dou1,wui5,ceng2,sap6,gei2,go3,can1-cik1,lai4,uk1-kei2,jat1-cai4,sik6,tyun4-nin4-faan6,#,ji4,zeon2-bei6,ge3,ci3-ci3,dou1,hai6,maa4-maa1,#,Aa3-fung1,dou1,soeng2,bong1-sau2,gaa3,#,daan6,maa4-maa1,dou1,wui5,siu3,zyu6,tung4,keoi5,gong2,#,#,nei5,zung6,sai3,#,dang2,nei5,daai6-go3,di1,sin1,laa1,#,#
year,year,(linker),Lunar New Year's eve,#,Fung,mother,always,will,to invite,ten,several,(measure),relative,to come,home,together,to eat,reunion dinner,#,and,to prepare,(linker),every time,always,is,mother,#,Fung,also,to want,to help,(particle),#,but,mother,always,will,to laugh,-ing,with,he,to say,#,#,you,still,small,#,to wait,you,grow up,some,first,(particle),#,#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今年,嘅,年三十,又,到,喇,！,阿風,約,咗,朋友,晏晝,去,打波,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-nin4,ge3,nin4-saam1-sap6,jau6,dou3,laa3,#,Aa3-fung1,joek3,zo2,pang4-jau5,aan3-zau3,heoi3,daa2-bo1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this year,(linker),Lunar New Year's eve,again,to arrive,already,#,Fung,to ask/invite,-en,friend,afternoon,to go,play basketball,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,佢,同,細妹,起,咗,身,好,耐,，,媽媽,都,仲,未,起身,。,細妹,覺得,有啲,唔對路,，,就,去,摸下,媽媽,個,頭,，,有啲,㷫,。,佢,即刻,話,畀,阿風,知,，,阿風,見,媽媽,咁,唔舒服,，,決定,今日,留,喺,屋企,。,,,,,,,
daan6,keoi5,tung4,sai3-mui2,hei2,zo2,san1,hou2,noi6,#,maa4-maa1,dou1,zung6,mei6,hei2-san1,#,sai3-mui2,gok3-dak1,jau5-di1,m4-deoi3-lou6,#,zau6,heoi3,mo2-haa5,maa4-maa1,go3,tau4,#,jau5-di1,hing3,#,keoi5,zik1-hak1,waa6,bei2,Aa3-fung1,zi1,#,Aa3-fung1,gin3,maa4-maa1,gam3,m4-syu1-fuk6,#,kyut3-ding6,gam1-jat6,lau4,hai2,uk1-kei2,#,,,,,,,
