[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,愛,睇書,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,oi3,tai2-syu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,love,read books,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,，,夠鐘,沖涼,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,#,gau3-zung1,cung1-loeng4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,#,time to,take a shower,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,，,快啲,食飯,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,#,faai3-di1,sik6-faan6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,#,faster,have meal,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,，,再,唔,返學,就,趕唔切,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,#,zoi3,m4,faan1-hok6,zau6,gon2-m4-cit3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,#,again,not,go school,then,cannot make it,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,，,巴士,到,咗,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,#,baa1-si2,dou3,zo2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,#,bus,arrive,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,，,做,晒,功課,未,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,#,zou6,saai3,gung1-fo3,mei6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,#,do,all,homework,not yet,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,成日,都,唔,應,媽媽,，,呢次,都,一樣,。,媽媽,行,出,廳,，,淨係,見到,阿欣,嘅,功課,放,咗,喺,枱,，,佢,自己,就,唔見,人,。,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jan1,sing4-jat6,dou1,m4,jing3,maa4-maa1,#,nei1-ci3,dou1,jat1-joeng6,#,maa4-maa1,haang4,ceot1,teng1,#,zing6-hai6,gin3-dou2,Aa3-jan1,ge3,gung1-fo3,fong3,zo2,hai2,toi2,#,keoi5,zi6-gei2,zau6,m4-gin3,jan4,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,always,"all, also",not,respond,mother,#,this time,"all, also",the same,#,mother,walk,out,living room,#,only,see,Yan,(linker),homework,put,-en,at,table,#,she,oneself,then,lose,person,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿欣,去,咗,邊,度,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-jan1,heoi3,zo2,bin1,dou6,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yan,go,-en,where,place,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,心,入面,問,。,不過,，,諗諗下,，,媽媽,估,到,阿欣,去,咗,邊,喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,sam1,jap6-min6,man6,#,bat1-gwo3,#,nam2-nam2-haa5,#,maa4-maa1,gu2,dou2,Aa3-jan1,heoi3,zo2,bin1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,heart,inside,ask,#,but,#,think a bit,#,mother,guess,can,Yan,go,-en,where,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,入去,阿欣,間,房,，,果然,見到,佢,又,喺,牀,上,睇書,。,阿欣,之前,成日,都,匿,喺,牀,上,睇書,，,所以,呢次,一定,又,係,睇書,睇,到,唔記得,做功課,啦,！,,,,,,,,,,,,,,,,,,,,,
