[0],,,,,,,,,,,,,,,,
受傷,與,康復,,,,,,,,,,,,,,
sau6-soeng1,jyu5,hong1-fuk6,,,,,,,,,,,,,,
hurt,and,recovery,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,
你,算吧,啦,！,我,同,你,已經,再,冇,結果,。,,,,,
nei5,syun3-baa2,laa1,#,ngo5,tung4,nei5,ji5-ging1,zoi3,mou5,git3-gwo2,#,,,,,
you,forget it,(particle),#,I,and,you,already,again,don't have,result,#,,,,,
[1b],,,,,,,,,,,,,,,,
咁,多,年,嘅,心,心,愛,愛,而家,已經,了結,咗,。,,,,
gam3,do1,nin4,ge3,sam1,sam1,oi3,oi3,ji4-gaa1,ji5-ging1,liu5-git3,zo2,#,,,,
so,many,year,(linker),heart,heart,love,love,now,already,terminate,-en,#,,,,
[1c],,,,,,,,,,,,,,,,
如果,！,你,唔係,做到,噉樣,過晒火,。,,,,,,,,,
jyu4-gwo2,#,nei5,m4-hai6,zou6-dou3,gam2-joeng2,gwo3-saai3-fo2,#,,,,,,,,,
if,#,you,are not,do,this way,gone too far,#,,,,,,,,,
[1d],,,,,,,,,,,,,,,,
你,今日,或者,已經,會,，,叫,我,做,老婆,。,,,,,,
nei5,gam1-jat6,waak6-ze2,ji5-ging1,wui5,#,giu3,ngo5,zou6,lou5-po4,#,,,,,,
you,today,perhaps,already,will,#,call,I,to be,wife,#,,,,,,
[2a],,,,,,,,,,,,,,,,
你,要,私人,時間,玩,遊戲機,我,唔,會,阻,住,你,。,,,,
nei5,jiu3,si1-jan4,si4-gaan3,waan2,jau4-hei3-gei1,ngo5,m4,wui5,zo2,zyu6,nei5,#,,,,
you,want,private,time,to play,gaming console,I,not,will,hinder,-ing,you,#,,,,
[2b],,,,,,,,,,,,,,,,
你,同,朋友,飲酒,飲,天光,我,喺,屋企,等,你,。,,,,,
nei5,tung4,pang4-jau5,jam2-zau2,jam2,tin1-gwong1,ngo5,hai2,uk1-kei2,dang2,nei5,#,,,,,
you,with,friend,drink alcohol,drink,till morning,I,at,home,wait,you,#,,,,,
[2c],,,,,,,,,,,,,,,,
我,嘅,生日,幾,月,幾,號,唔,提,你,都,記唔起,。,,,,
ngo5,ge3,saang1-jat6,gei2,jyut6,gei2,hou6,m4,tai4,nei5,dou1,gei3-m4-hei2,#,,,,
I,’s,birthday,which,month,which,day,not,remind,you,"all, also",cannot remember,#,,,,
[2d],,,,,,,,,,,,,,,,
你,話,嗰,晚,約,咗,人,睇波,我,都,冇話,唔,畀,。,,,
nei5,waa6,go2,maan5,joek3,zo2,jan4,tai2-bo1,ngo5,dou1,mou5-waa6,m4,bei2,#,,,
you,say,that,night,invited,-en,people,watch ball matches,I,"all, also",didn't say,not,allow,#,,,
[3a],,,,,,,,,,,,,,,,
我,收埋,所有,感覺,做,一個,識,講,唔緊要,嘅,女仔,。,,,,,
ngo5,sau1-maai4,so2-jau5,gam2-gok3,zou6,jat1-go3,sik1,gong2,m4-gan2-jiu3,ge3,neoi5-zai2,#,,,,,
I,hide up,all,feeling,to be,one (measure),know,say,doesn't matter,(linker),girl,#,,,,,
[3b],,,,,,,,,,,,,,,,
跟住,你,有,兩,餐,一,宿,我,已經,心甘命抵,。,,,,,,
gan1-zyu6,nei5,jau5,loeng5,caan1,jat1,suk1,ngo5,ji5-ging1,sam1-gam1-meng6-dai2,#,,,,,,
follow,you,have,two,meal,one,shelter,I,already,accepting of what one gets,#,,,,,,
[3c],,,,,,,,,,,,,,,,
我,都,唔知,點解,我,會,揀,同,你,一齊,。,,,,,,
ngo5,dou1,m4-zi1,dim2-gaai2,ngo5,wui5,gaan2,tung4,nei5,jat1-cai4,#,,,,,,
I,"all, also",don't know,why,I,will,choose,with,you,together,#,,,,,,
[3e],,,,,,,,,,,,,,,,
不過,我,真係,有,諗,過,會,同,你,一生一世,。,,,,,,
bat1-gwo3,ngo5,zan1-hai6,jau5,nam2,gwo3,wui5,tung4,nei5,jat1-saang1-jat1-sai3,#,,,,,,
however,I,really,have,think,-ed,will,with,you,for life,#,,,,,,
[4a],,,,,,,,,,,,,,,,
其實,我,會,感覺,你,，,已經,薄情如斯,。,,,,,,,,
kei4-sat6,ngo5,wui5,gam2-gok3,nei5,#,ji5-ging1,bok6-cing4-jyu4-si1,#,,,,,,,,
actually,I,will,feel,you,#,already,fickle (when it comes to affection),#,,,,,,,,
[4b],,,,,,,,,,,,,,,,
其實,我,又,感覺,我,自己,，,孤苦無依,。,,,,,,,,
kei4-sat6,ngo5,jau6,gam2-gok3,ngo5,zi6-gei2,#,gu1-fu2-mou4-ji1,#,,,,,,,,
