[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔,怕,夜晚,黑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4,paa3,je6-maan5,hak1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,fear,night,dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,怕,夜晚,黑,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,paa3,je6-maan5,hak1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,fear,night,dark,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當,四圍,變,得,又,靜,、,又,黑鼆鼆,嘅,時候,，,就,可能,會,有,怪物,出現,嚟,對付,我,。,有,媽咪,喺,旁邊,，,我,先,可以,瞓,得,着,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1,sei3-wai4,bin3,dak1,jau6,zing6,#,jau6,hak1-mang1-mang1,ge3,si4-hau6,#,zau6,ho2-nang4,wui5,jau5,gwaai3-mat6,ceot1-jin6,lai4,deoi3-fu6,ngo5,#,jau5,maa1-mi4,hai2,pong4-bin1,#,ngo5,sin1,ho2-ji5,fan3,dak1,zoek6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
when,surrounding,become,(suffix),again,quiet,#,again,extremely black and dark,(linker),time,#,as a result,possible,will,have,monster,appear,to come,deal with,me,#,have,mommy,at,side,#,I,then,can,sleep,can,(suffix),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,媽咪,嚟,緊,夜晚,要,返,醫院,做嘢,。,佢,特登,申請,放,一日,假,，,同,我,去,長洲,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,maa1-mi4,lai4,gan2,je6-maan5,jiu3,faan1,ji1-jyun2,zou6-je5,#,keoi5,dak6-dang1,san1-cing2,fong3,jat1-jat6,gaa3,#,tung4,ngo5,heoi3,coeng4-zau1,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,mommy,come,-ing,night,need,to return,hospital,to work,#,she,deliberately,apply,to take,one-day,day-off,#,with,me,go,Cheung Chau,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,帶,我,去,到,一個,有,好多,石頭,嘅,地方,，,我哋,踩,住,幾,嚿,大,石,行,落,地底,。,嗰度,有,一個,窿,，,裏面,好,黑,，,比,夜晚,更加,黑,。,我,拉,住,媽咪,唔想,行,入去,，,佢,話,：,「,有,陽光,喺,你,後面,，,又,有,我,行,喺,前面,，,唔使,怕,㗎,。,」
maa1-mi4,daai3,ngo5,heoi3,dou3,jat1-go3,jau5,hou2-do1,sek6-tau4,ge3,dei6-fong1,#,ngo5-dei6,caai2,zyu6,gei2,gau6,daai6,sek6,haang4,lok6,dei6-dai2,#,go2-dou6,jau5,jat1-go3,lung1,#,leoi5-min6,hou2,hak1,#,bei2,je6-maan5,gang3-gaa1,hak1,#,ngo5,laai1,zyu6,maa1-mi4,m4-soeng2,haang4,jap6-heoi3,#,keoi5,waa6,#,#,jau5,joeng4-gwong1,hai2,nei5,hau6-min6,#,jau6,jau5,ngo5,haang4,hai2,cin4-min6,#,m4-sai2,paa3,gaa3,#,#
