[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講,故,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong2,gu2,jan4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tell,story,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從前,有,一個,好,大,、,好,靚,嘅,地方,。,呢度,有,好多,人,，,個個人,都,好,唔同,。,阿欣,就係,住,喺,呢度,，,佢,最,鍾意,聽,故仔,，,特別,係,同,呢個,地方,有關,嘅,故仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung4-cin4,jau5,jat1-go3,hou2,daai6,#,hou2,leng3,ge3,dei6-fong1,#,nei1-dou6,jau5,hou2-do1,jan4,#,go3-go3-jan4,dou1,hou2,m4-tung4,#,Aa3-jan1,zau6-hai6,zyu6,hai2,nei1-dou6,#,keoi5,zeoi3,zung1-ji3,teng1,gu2-zai2,#,dak6-bit6,hai6,tung4,nei1-go3,dei6-fong1,jau5-gwaan1,ge3,gu2-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the past,have,one,very,big,#,very,beautiful,(linker),place,#,here,have,many,people,#,everyone,"all, also",very,different,#,Yanny,that is,live,at,here,#,she,most,like,listen,story,#,special,is,with,this (measure),place,about,(linker),story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,，,呢度,嘅,人,都,好,忙,。,有,人,忙,住,返工,揾錢,，,有,人,忙,住,温書,，,有,人,忙,住,吃喝玩樂,。,阿欣,試過,叫,媽媽,、,爸爸,、,同學,、,老師,講,故仔,畀,佢,聽,。,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,#,nei1-dou6,ge3,jan4,dou1,hou2,mong4,#,jau5,jan4,mong4,zyu6,faan1-gung1,wan2-cin2,#,jau5,jan4,mong4,zyu6,wan1-syu1,#,jau5,jan4,mong4,zyu6,hek3-hot3-wun6-lok6,#,Aa3-jan1,si3-gwo3,giu3,maa4-maa1,#,baa4-baa1,#,tung4-hok6,#,lou5-si1,gong2,gu2-zai2,bei2,keoi5,teng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,here,(linker),people,"all, also",very,busy,#,have,people,busy,-ing,go work,earn money,#,have,people,busy,-ing,study,#,have,people,busy,-ing,"eat, drink and have fun",#,Yanny,tried,ask,mother,#,father,#,schoolmate,#,teacher,to tell,story,to,her,to listen,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,，,佢哋,全部,都,話,唔得閒,，,仲,叫,返,阿欣,有,時間,不如,去,温書,做功課,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,#,keoi5-dei6,cyun4-bou6,dou1,waa6,m4-dak1-haan4,#,zung6,giu3,faan1,Aa3-jan1,jau5,si4-gaan3,bat1-jyu4,heoi3,wan1-syu1,zou6-gung1-fo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,they,entirely,"all, also",say,not available,#,even,tell,back,Yanny,have,time,how about,go,study,do homework,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直到,有一日,，,佢,遇上,一個,姐姐,。,呢個,姐姐,好,靚,，,笑,得,好,甜,，,仲有,一,把,靚,聲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
