[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物,全,書,機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dung6-mat6,cyun4,syu1,gei1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal,whole,book,machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哥哥,你,睇,下,我,畫,咗,啲,咩,？,」,阿思,拎,咗,一,幅,畫,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,go4-go1,nei5,tai2,haa5,ngo5,waa6,zo2,di1,me1,#,#,aa3-si1,ling1,zo2,jat1,fuk1,waa2,ceot1-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,elder brother,you,look,a bit,I,draw,-en,some,what,#,#,Ah-Si,take,-en,one,(measure),drawing,come out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,叻,喎,，,呢,隻,咪,係,老虎,？,我,都,有啲,唔記得,咗,佢,咩,樣,喇,！,話晒,都,絕,咗,種,一百,年,……,」,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,lek1,wo3,#,nei1,zek3,mai6,hai6,lou5-fu2,#,ngo5,dou1,jau5-di1,m4-gei3-dak1,zo2,keoi5,me1,joeng2,laa3,#,waa6-saai3,dou1,zyut6,zo2,zung2,jat1-baak3,nin4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
#,very,brilliant,(particle),#,this,(measure),"just, only",is,tiger,#,I,also,a bit,forget,-en,it,what,appearance,already,#,say all,also,extinct,-en,species,one hundred,year,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好彩,啲人,喺,二,三,零,零,年,發明,咗,一,部,『,動物,全,書,機,』,，,將,動物,嘅,相,入,落,部,機,，,就,可以,睇,返,動物,嘅,紀錄片,。,」,喺,部,機,開,緊,嘅,時候,，,哥哥,幫,幅,畫,影,咗,張,相,。
#,hou2-coi2,di1-jan4,hai2,ji6,saam1,ling4,ling4,nin4,faat3-ming4,zo2,jat1,bou6,#,dung6-mat6,cyun4,syu1,gei1,#,#,zoeng1,dung6-mat6,ge3,soeng2,jap6,lok6,bou6,gei1,#,zau6,ho2-ji5,tai2,faan1,dung6-mat6,ge3,gei2-luk6-pin2,#,#,hai2,bou6,gei1,hoi1,gan2,ge3,si4-hau6,#,go4-go1,bong1,fuk1,waa2,jing2,zo2,zoeng1,soeng2,#
#,lucky,those people,at,two,three,zero,zero,year,invent,-en,one,(measure),#,animal,whole,book,machine,#,#,take,animal,’s,photograph,to insert,down,(measure),machine,#,then,can,look,back,animal,’s,documentary,#,#,at,(measure),machine,turn on,-ing,(linker),time,#,elder brother,help,(measure),drawing,to take,-en,(measure),photograph,#
[Line 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,一,將,張,相,入,落,部,機,，,隻,老虎,即刻,出,咗,嚟,。,哥哥,搖,下,頭,：,「,唉,，,以前,啲人,好,鍾意,買賣,虎,皮,，,所以,佢哋,至,會,絕種,，,仲有,好多,動物,都,係噉,……,」,,,,,,,,,
keoi5,jat1,zoeng1,zoeng1,soeng2,jap6,lok6,bou6,gei1,#,zek3,lou5-fu2,zik1-hak1,ceot1,zo2,lai4,#,go4-go1,jiu4,haa5,tau4,#,#,aai1,#,ji5-cin4,di1-jan4,hou2,zung1-ji3,maai5-maai6,fu2,pei4,#,so2-ji5,keoi5-dei6,zi3,wui5,zyut6-zung2,#,zung6-jau5,hou2-do1,dung6-mat6,dou1,hai6-gam2,#,#,,,,,,,,,
he,once,to take,(measure),photograph,to insert,down,(measure),machine,#,(measure),tiger,at once,out,-en,come,#,elder brother,shake,a bit,head,#,#,Sigh!,#,in the past,those people,very,like,to trade,tiger,skin,#,therefore,they,then,will,extinct,#,still have,many,animal,also,like this,#,#,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,阿思,見到,佢,兩個,朋友,——,阿貓,同,阿寶,行,過,，,佢,就,叫,佢哋,過,嚟,一齊,玩,。,佢哋,都,想,睇,下,史,前,動物,，,諗,都,唔,諗,就,過,咗,嚟,。,,,,,,,,,,,,,,
nei1-go3,si4-hau6,aa3-si1,gin3-dou2,keoi5,loeng5-go3,pang4-jau5,#,aa3-maau1,tung4,aa3-bou2,haang4,gwo3,#,keoi5,zau6,giu3,keoi5-dei6,gwo3,lei4,jat1-cai4,waan2,#,keoi5-dei6,dou1,soeng2,tai2,haa5,si2,cin4,dung6-mat6,#,nam2,dou1,m4,nam2,zau6,gwo3,zo2,lei4,#,,,,,,,,,,,,,,
this one,time,Ah-Si,see,her,two,friend,#,Ah-Cat,and,Ah-Bo,walk,pass,#,she,then,call,them,across,come,together,to play,#,they,also,want,to look,a bit,history,before,animal,#,think,also,not,think,then,across,-en,come,#,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,海,入邊,會,有,把,劍,嘅,？,」,阿寶,入,咗,張,相,之後,，,阿思,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,hoi2,jap6-bin6,wui5,jau5,baa2,gim3,ge2,#,#,aa3-bou2,jap6,zo2,zoeng1,soeng2,zi1-hau6,#,aa3-si1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,sea,inside,will,have,(measure),sword,(particle),#,#,Ah-Bo,insert,-en,(measure),photograph,after,#,Ah-Si,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,條,係,『,一角鯨,』,，,佢,住,嘅,地方,好,凍,㗎,，,好似,二,百,年,前,就,冇,晒,喇,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1,tiu4,hai6,#,jat1-gok3-king4,#,#,keoi5,zyu6,ge3,dei6-fong1,hou2,dung3,gaa3,#,hou2-ci5,ji6,baak3,nin4,cin4,zau6,mou5,saai3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,this,(measure),is,#,narwhal,#,#,it,live,(linker),place,very,cold,(particle),#,seems,two,hundred,year,before,then,don't have,all,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿寶,又,換,張,相,，,繼續,講,：,「,呢,隻,係,猩猩,，,唔好,睇,佢,好似,好,傻,噉,，,其實,佢,好,醒,㗎,！,依家,全,世界,得返,一,隻,咋,。,」,,,,,,,,,,,,,,,,,
aa3-bou2,jau6,wun6,zoeng1,soeng2,#,gai3-zuk6,gong2,#,#,nei1,zek3,hai6,sing1-sing1,#,m4-hou2,tai2,keoi5,hou2-ci5,hou2,so4,gam2,#,kei4-sat6,keoi5,hou2,sing2,gaa3,#,ji1-gaa1,cyun4,sai3-gaai3,dak1-faan1,jat1,zek3,zaa3,#,#,,,,,,,,,,,,,,,,,
Ah-Bo,again,to change,(measure),photograph,#,continue,to say,#,#,this,(measure),is,chimpanzee,#,do not,look,it,seems,very,silly,in this way,#,actually,it,very,smart,(particle),#,now,whole,world,remain,one,(measure),only,#,#,,,,,,,,,,,,,,,,,
[Line 15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢,同,馬騮仔,好似,樣,呀,。,」,阿思,笑,住,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,keoi5,tung4,maa5-lau1-zai2,hou2-ci5,joeng2,aa3,#,#,aa3-si1,siu3,zyu6,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,it,and,little monkey,look alike,appearance,(particle),#,#,Ah-Si,laugh,-ing,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,到我,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dou3-ngo5,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,my turn,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,嚟,先,㗎,，,到我,至,啱,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,lei4,sin1,gaa3,#,dou3-ngo5,zi3,ngaam1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,me,come,first,(particle),#,my turn,then,correct,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,最,細個,，,應該,係,我,先,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,zeoi3,sai3-go3,#,jing1-goi1,hai6,ngo5,sin1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,most,young,#,should,be,me,first,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,個個,都,想,入,相,落,部,機,度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,go3-go3,dou1,soeng2,jap6,soeng2,lok6,bou6,gei1,dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,everyone,also,want,to insert,photograph,down,(measure),machine,place,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,佢哋,仲,爭,緊,嘅,時候,，,哥哥,靜雞雞,入,咗,張,相,落去,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,keoi5-dei6,zung6,zaang1,gan2,ge3,si4-hau6,#,go4-go1,zing6-gai1-gai1,jap6,zo2,zoeng1,soeng2,lok6-heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,they,still,compete,-ing,(linker),time,#,elder brother,quietly,insert,-en,(measure),photograph,down to,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
