[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一齊,嚟,幫,阿才,手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1-cai4,lai4,bong1,Aa3-Coi4,sau2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
together,to come,to help,Choi,hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿才,係,一個,地盤,工人,。,呢,三十,年,嚟,，,阿才,喺,香港,起,過,好多,好,出名,嘅,高樓大廈,，,有,中銀大廈,、,國際金融中心,、,環球貿易廣場,同埋,維港文化匯,等等,。,平時,做嘢,嗰陣,，,阿才,需要,喺,竹棚,上面,擒高擒低,——,佢,唔,怕,高,，,喺,竹棚,上面,四圍,走,都,冇問題,，,因為,佢,細細個,都,係,噉樣,喺,樹,上面,玩,。,,,,,,,,,,,,,,
Aa3-Coi4,hai6,jat1-go3,dei6-pun4,gung1-jan4,#,ni1,saam1-sap6,nin4,lai4,#,Aa3-Coi4,hai2,hoeng1-gong2,hei2,gwo3,hou2-do1,hou2,ceot1-meng2,ge3,gou1-lau4-daai6-haa6,#,jau5,zung1-ngan4-daai6-haa6,#,gwok3-zai3-gam1-jung4-zung1-sam1,#,waan4-kau4-mau6-jik6-gwong2-coeng4,tung4-maai4,wai4-gong2-man4-faa3-wui6,dang2-dang2,#,ping4-si4,zou6-je5,go2-zan6,#,Aa3-Coi4,seoi1-jiu3,hai2,zuk1-paang4,soeng6-min6,kam4-gou1-kam4-dai1,#,keoi5,m4,paa3,gou1,#,hai2,zuk1-paang4,soeng6-min6,sei3-wai4,zau2,dou1,mou5-man6-tai4,#,jan1-wai6,keoi5,sai3-sai3-go3,dou1,hai6,gam2-joeng2,hai2,syu6,soeng6-min6,waan2,#,,,,,,,,,,,,,,
Choi,is,one,construction site,worker,#,these,thirty,year,(particle),#,Choi,at,Hong Kong,to build,-ed,many,very,famous,(linker),skyscraper,#,have,Bank of China Tower,#,International Finance Centre(IFC),#,International Commerce Centre(ICC),and,Victoria Dockside,etc.,#,usually,to work,that time,#,Choi,to need,at,bamboo scaffolding,above,climb up and down,#,he,not,to fear,high,#,at,bamboo scaffolding,above,around,to walk,"all, also",no problem,#,because,he,young and small,also,is,in this way,at,tree,above,to play,#,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿才,好,記得,大,樹,帶,畀,佢,嘅,安全感,。,佢,細細個,住,喺,上水,嗰陣,，,屋企,門口,前面,有,樖,好,高,好,大,嘅,荔枝,樹,，,阿才,同,住,隔籬,屋,嘅,朋友,會,靜靜,噉,喺,樖,樹,下面,，,一齊,望住,個,天,傾偈,，,或者,合埋,眼,好,舒服,噉,瞓,晏覺,。,,,,,,,,,,,,,,,,,,,,
Aa3-Coi4,hou2,gei3-dak1,daai6,syu6,daai3,bei2,keoi5,ge3,on1-cyun4-gam2,#,keoi5,sai3-sai3-go3,zyu6,hai2,soeng6-seoi2,go2-zan6,#,uk1-kei2,mun4-hau2,cin4-min6,jau5,po1,hou2,gou1,hou2,daai6,ge3,lai6-zi1,syu6,#,Aa3-Coi4,tung4,zyu6,gaak3-lei4,uk1,ge3,pang4-jau5,wui5,zing6-zing2,gam2,hai2,po1,syu6,haa6-min6,#,jat1-cai4,mong6-zyu6,go3,tin1,king1-gai2,#,waak6-ze2,hap6-maai4,ngaan5,hou2,syu1-fuk6,gam2,fan3,aan3-gaau3,#,,,,,,,,,,,,,,,,,,,,
Choi,very,to remember,big,tree,bring,to,he,(linker),sense of security,#,he,young and small,to live,at,Sheung Shui,that time,#,home,doorway,front,have,(measure),very,tall,very,big,(linker),lychee,tree,#,Choi,and,to live,next to,house,(linker),friend,will,quiet,-ly,at,(measure),tree,below,#,together,stare,(measure),sky,chat,#,or,close,eye,very,comfortable,-ly,to sleep,nap,#,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,有時,會,挨住,樖,樹,坐低,，,聽下,身邊,啲,雀仔,同,昆蟲,嘅,叫聲,；,樹,上,嘅,荔枝,熟,咗,，,阿才,就,會,同,朋友,爬,上去,摘,甜,甜,酸,酸,嘅,果實,嚟,食,。,喺,大,樹,下,生活,，,日子,過,得,好,快,。,過,咗,冇,幾年,，,阿才,舉,高,隻,手,就,摘,到,荔枝,，,唔使,再,爬,樹,。,,,,,,,,
keoi5-dei6,jau5-si4,wui5,aai1-zyu6,po1,syu6,co5-dai1,#,teng1-haa5,san1-bin1,di1,zoek3-zai2,tung4,kwan1-cung4,ge3,giu3-seng1,#,syu6,soeng6,ge3,lai6-zi1,suk6,zo2,#,Aa3-Coi4,zau6,wui5,tung4,pang4-jau5,paa4,soeng5-heoi3,zaak6,tim4,tim4,syun1,syun1,ge3,gwo2-sat6,lai4,sik6,#,hai2,daai6,syu6,haa6,sang1-wut6,#,jat6-zi2,gwo3,dak1,hou2,faai3,#,gwo3,zo2,mou5,gei2-nin4,#,Aa3-Coi4,geoi2,gou1,zek3,sau2,zau6,zaak6,dou2,lai6-zi1,#,m4-sai2,zoi3,paa4,syu6,#,,,,,,,,
they,sometimes,will,lean on,(measure),tree,sit down,#,to hear,at one's side,some,bird,and,insect,’s,call,#,tree,top,(linker),lychee,ripe,-en,#,Choi,then,will,with,friend,to climb,go up,pick,sweet,sweet,sour,sour,(linker),fruit,to,to eat,#,at,big,tree,under,to live,#,date,to pass,(suffix),very,fast,#,to pass,-en,don't have,few years,#,Choi,raise,high,(measure),hand,then,pick,can,lychee,#,no need,again,to climb,tree,#,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿才,大個,之後,，,搬,咗,去,巿區,生活,，,屋企,四圍,再,冇,啲,可以,畀,佢,遮陰,休息,嘅,樹,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Coi4,daai6-go3,zi1-hau6,#,bun1,zo2,heoi3,si5-keoi1,sang1-wut6,#,uk1-kei2,sei3-wai4,zoi3,mou5,di1,ho2-ji5,bei2,keoi5,ze1-jam1,jau1-sik1,ge3,syu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choi,grow up,after,#,to move,-en,to go,urban area,to live,#,home,around,again,don't have,some,can,to give,he,to cover,take a break,(linker),tree,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔使,返工,嘅,時候,，,阿才,會,一個人,去,野外,地方,，,揾,返,以前,嗰,種,放鬆,嘅,感覺,。,佢,會,去,濕地,公園,睇,雀仔,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-sai2,faan1-gung1,ge3,si4-hau6,#,Aa3-Coi4,wui5,jat1-go3-jan4,heoi3,je5-ngoi6,dei6-fong1,#,wan2,faan1,ji5-cin4,go2,zung2,fong3-sung1,ge3,gam2-gok3,#,keoi5,wui5,heoi3,sap1-dei6,gung1-jyun2,tai2,zoek3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no need,to go to work,(linker),time,#,Choi,will,alone,to go,the wild,place,#,to find,back,before,that,type,relaxing,(linker),to feel,#,he,will,to go,wetland,park,to watch,bird,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
或者,上山,睇,唔同,種類,嘅,昆蟲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waak6-ze2,soeng5-saan1,tai2,m4-tung4,zung2-leoi6,ge3,kwan1-cung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
or,go to the hill,to watch,different,kind,of,insect,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
