[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生果,有,核,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saang1-gwo2,jau5,wat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit,have,pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿加,同,小玲,好,鍾意,揾,多多,玩,。,多多,係,一,隻,看管,森林,嘅,牧羊犬,，,佢,每次,見到,阿加,同,小玲,，,都會,帶,佢哋,四圍,睇下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-gaa1,tung4,Siu2-ling4,hou2,zung1-ji3,wan2,Do1-do1,waan2,#,Do1-do1,hai6,jat1,zek3,hon1-gun2,sam1-lam4,ge3,muk6-joeng4-hyun2,#,keoi5,mui5-ci3,gin3-dou2,Aa3-gaa1,tung4,Siu2-ling4,#,dou1-wui6,daai3,keoi5-dei6,sei3-wai4,tai2-haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes,and,Ling,very,to like,to find,Dolly,to play,#,Dolly,is,one,(measure),to take care of,forest,(linker),herding dog,#,it,every time,to see,Agnes,and,Ling,#,will always,to bring,they,around ,to look,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多多,帶,佢哋,去,到,一,棵,樹,下面,，,叫,佢哋,摘,啲,生果,拎,返屋企,食,。,小玲,趷高腳,、,舉起,手,就,摘,到,樹,上面,纍纍,嘅,果實,。,阿加,就,隨手,執起,熟,到,跌,咗,落,地,嘅,果實,，,好,心急,噉,咬,咗,一,啖,——,,,,,,,,,,,,
Do1-do1,daai3,keoi5-dei6,heoi3,dou3,jat1,po1,syu6,haa6-min6,#,giu3,keoi5-dei6,zaak6,di1,saang1-gwo2,ling1,faan1-uk1-kei2,sik6,#,Siu2-ling4,gat6-gou1-goek3,#,geoi2-hei2,sau2,zau6,zaak6,dou2,syu6,soeng6-min6,leoi4-leoi4,ge3,gwo2-sat6,#,Aa3-gaa1,zau6,ceoi4-sau2,zap1-hei2,suk6,dou3,dit3,zo2,lok6,dei6,ge3,gwo2-sat6,#,hou2,sam1-gap1,gam2,ngaau5,zo2,jat1,daam6,#,,,,,,,,,,,,
Dolly,to bring,they,to go,to,one,(measure),tree,below,#,to call,they,to pick,some,fruit,to take,to go home,to eat,#,Ling,to stand on tiptoe,#,to raise ,hand,as a result,to pick,-ed,tree,above,abundant,(linker),fruit,#,Agnes,by contrast,casually,to pick up,ripe,to,to fall,-en,down,ground,(linker),fruit,#,very,impatient,-ly,to bite,-en,one,bite,#,,,,,,,,,,,,
[2 Line 5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咳,咳,……,」,阿加,濁親,，,然後,𦧲,咗,粒,嘢,出嚟,。,佢,流,晒,眼水,噉,話,：,「,呢,粒,咩,嚟,㗎,？,爭啲,哽,死,我,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,kat1,kat1,#,#,Aa3-gaa1,zuk6-can1,#,jin4-hau6,loe1,zo2,lap1,je5,ceot1-lai4,#,keoi5,lau4,saai3,ngaan5-seoi2,gam2,waa6,#,#,ni1,lap1,me1,lai4,gaa3,#,zaang1-di1,kang2 ,sei2,ngo5,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,cough,cough,#,#,Agnes,to choke,#,then,spit,-en,(measure),thing,to come out,#,he,to flow,all,tear,-ly,to say,#,#,this,(measure),what,(particle),(particle),#,nearly,to choke,to die,I,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多多,走嚟,望下,阿加,手上,嗰,粒,嘢,，,就話,：,「,呢,粒,係,核,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do1-do1,zau2-lai4,mong6-haa5,Aa3-gaa1,sau2-soeng6,go2,lap1,je5,#,zau6-waa6,#,#,nei1,lap1,hai6,wat6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolly,to come over,to look,Agnes,at hand,that,(measure),thing,#,then to say,#,#,this,(measure),is,pit,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3 Line 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小玲,問,：,「,核,係,咩,嚟,㗎,？,食,唔,食,得,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-ling4,man6,#,#,wat6,hai6,me1,lai4,gaa3,#,sik6,m4,sik6,dak1,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling,to ask,#,#,pit,is,what,(particle),(particle),#,to eat,not,to eat,can,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3 Line 11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多多,話,：,「,個個,果實,都,有,核,㗎,。,你哋,平時,食,嘅,生果,，,入面,都會,有,核,，,有啲,食,得,，,有啲,唔,食,得,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do1-do1,waa6,#,#,go3-go3,gwo2-sat6,dou1,jau5,wat6,gaa3,#,nei5-dei6,ping4-si4,sik6,ge3,saang1-gwo2,#,jap6-min6,dou1-wui6,jau5,wat6,#,jau5-di1,sik6,dak1,#,jau5-di1,m4,sik6,dak1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolly,to say,#,#,every,fruit,all,have,pit,(particle),#,you (plural),usually,to eat,(linker),fruit,#,inside,will always,have,pit,#,some,to eat,can,#,some,not,to eat,can,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好似,香蕉,噉,，,佢,啲,核,本身,就,細細粒,又,唔,硬,，,收埋,喺,香蕉,軟淋淋,嘅,肉,入面,，,人,食,咗,都,唔知,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2-ci5,hoeng1-ziu1,gam2,#,keoi5,di1,wat6,bun2-san1,zau6,sai3-sai3-lap1,jau6,m4,ngaang6,#,sau1-maai4,hai2,hoeng1-ziu1,jyun5-lam4-lam4,ge3,juk6,jap6-min6,#,jan4,sik6,zo2,dou1,m4-zi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,like,banana,such,#,it,those,pit,itself,already,very small,also,not,hard,#,to hide up,at,banana,very soft,(linker),pulp,inside,#,human,to eat,-en,also,don't know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又或者,小玲,你,手上,嘅,蘋果,，,通常,都會,有,個,蘋果,芯,去,包住,啲,核,，,個,芯,食,落去,比,蘋果,肉,酸,啲,。,蘋果,嘅,核,都,幾,大粒,㗎,，,口感,同,味道,係,硬硬哋,、,苦苦哋,噉,嘅,。,」,,,,,,,,,,,,,,,,,,
