[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
靚女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leng3-neoi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretty girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中文,科,嘅,李老師,喺,學校,入面,好,出名,，,因為,佢,係,唯一,一,個,短,頭髮,、,着,長褲,同,高踭鞋,嘅,女,老師,，,連,冇,俾,佢,教,過,嘅,學生,都,會,知道,佢,就係,李老師,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-man4,fo1,ge3,lei5-lou5-si1,hai2,hok6-haau6,jap6-min6,hou2,ceot1-meng2,#,jan1-wai6,keoi5,hai6,wai4-jat1,jat1,go3,dyun2,tau4-faat3,#,zoek3,coeng4-fu3,tung4,gou1-zaang1-haai4,ge3,neoi5,lou5-si1,#,lin4,mou5,bei2,keoi5,gaau3,gwo3,ge3,hok6-saang1,dou1,wui5,zi1-dou3,keoi5,zau6-hai6,lei5-lou5-si1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese language,subject,(linker),Ms. Lee,at,school,inside,very,famous,#,because,she,is,unique,one,(measure),short,hair,#,wear,trousers,and,high heels,(linker),female,teacher,#,even,haven't,by,her,teach,-ed,(linker),students,also,will,know,she,is,Ms. Lee,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,好,受,學生,同,家長,歡迎,，,個個,都,讚,佢,教書,教,得,有,心機,，,衣着,打扮,得體,，,斯文,得嚟,又,有型,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,hou2,sau6,hok6-saang1,tung4,gaa1-zoeng2,fun1-jing4,#,go3-go3,dou1,zaan3,keoi5,gaau3-syu1,gaau3,dak1,jau5,sam1-gei1,#,ji1-zoek3,daa2-baan3,dak1-tai2,#,si1-man4,dak1-lai4,jau6,jau5-jing4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,very,by,students,and,parents,welcome,#,everyone,all,praise,she,teaching,teach,(suffix),have,effort,#,outfit,attire,decent,#,gentle,at the same time,also,stylish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李老師,喺,教員室,入面,改,緊,功課,嗰陣,，,突然,笑,咗,一,聲,。,隔籬,位,嘅,陳老師,見,佢,笑,到,面,都,紅,晒,，,就,問,：,「,睇,緊,啲,咩,咁,開心,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lei5-lou5-si1,hai2,gaau3-jyun4-sat1,jap6-min6,goi2,gan2,gung1-fo3,go2-zan6,#,dat6-jin4,siu3,zo2,jat1,seng1,#,gaak3-lei4,wai2,ge3,can4-lou5-si1,gin3,keoi5,siu3,dou3,min6,dou1,hung4,saai3,#,zau6,man6,#,#,tai2,gan2,di1,me1,gam3,hoi1-sam1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
