[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
校規,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haau6-kwai1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
school regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九月,一,日,係,開學,日,。,早會,嘅,時候,，,學生,一個,跟,一個,噉,喺,學校,操場,排隊,。,老師,逐一,檢查,佢哋,嘅,校服,，,睇下,佢哋,有冇,整理,好,儀容,。,呢,間,學校,係,名校,，,校規,好,嚴,，,學生,犯,校規,就,要,受罰,，,所以,每,個,學生,都,好,聽話,，,唔,敢,做,學校,唔,允許,嘅,事,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau2-jyut6,jat1,jat6,hai6,hoi1-hok6,jat6,#,zou2-wui2,ge3,si4-hau6,#,hok6-saang1,jat1-go3,gan1,jat1-go3,gam2,hai2,hok6-haau6,cou1-coeng4,paai4-deoi2,#,lou5-si1,zuk6-jat1,gim2-caa4,keoi5-dei6,ge3,haau6-fuk6,#,tai2-haa5,keoi5-dei6,jau5-mou5,zing2-lei5,hou2,ji4-jung4,#,nei1,gaan1,hok6-haau6,hai6,ming4-haau6,#,haau6-kwai1,hou2,jim4,#,hok6-saang1,faan6,haau6-kwai1,zau6,jiu3,sau6-fat6,#,so2-ji5,mui5,go3,hok6-saang1,dou1,hou2,teng1-waa6,#,m4,gam2,zou6,hok6-haau6,m4,wan5-heoi2,ge3,si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,first,day,is,new term begins,day,#,morning assenbly,(linker),time,#,pupil,one,follow,one,-ly,at,school,playground,queue,#,teacher,one by one,examine,they,’s,school uniform,#,see,they,have-or-haven't,set straight,well,looks,#,this,(measure),school,is,elite school,#,school regulation,very,strict,#,pupil,violate,school regulation,then,need,to get punished,#,therefore,every,(measure),pupil,also ,very,well-behaved,#,not,dare,to do,school,not,permit,(linker),matter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
完,咗,早會,，,欣欣,就,跟住,同班,同學,上,班房,。,班房,入面,有,一個,佢,未,見,過,嘅,老師,——,原來,佢,姓,高,，,係,新嚟,嘅,訓導,主任,，,亦,係,欣欣,嘅,班主任,。,佢,個,樣,好,惡,，,欣欣,有啲,怕,佢,……,不過,欣欣,一向,都,好,聽話,，,應該,唔,會,俾,佢,鬧,嘅,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4,zo2,zou2-wui2,#,Jan1-jan1,zau6,gan1-zyu6,tung4-baan1,tung4-hok6,soeng5,baan1-fong2,#,baan1-fong2,jap6-min6,jau5,jat1-go3,keoi5,mei6,gin3,gwo3,ge3,lou5-si1,#,jyun4-loi4,keoi5,sing3,gou1,#,hai6,san1-lei4,ge3,fan3-dou6,zyu2-jam6,#,jik6,hai6,Jan1-jan1,ge3,baan1-zyu2-jam6,#,keoi5,go3,joeng2,hou2,ok3,#,Jan1-jan1,jau5-di1,paa3,keoi5,#,bat1-gwo3,Jan1-jan1,jat1-hoeng3,dou1,hou2,teng1-waa6,#,jing1-goi1,m4,wui5,bei2,keoi5,naau6,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finish,-en,morning assembly,#,Yanny,then,follow,same class,schoolmate,go up,classroom,#,classroom,inside,have,one,she,not yet,meet,-en,(linker),teacher,#,it turns out,he,surname,Ko,#,is,new come,(linker),dicipline,director,#,also,is,Yanny,’s,class teacher,#,he,(measure),face,very,fierce,#,Yanny,a bit,fear,he,#,but,Yanny,consistently,also ,very,well-behaved,#,probably,not,will,(passive),he,scold,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欣欣,同,其他,同學,一,坐低,，,高老師,就,即刻,教書,。,佢,喺,黑板,上面,寫,咗,好多,句,句子,，,叫,同學,每,個,字,抄,十,次,，,仲,話,聽日,就,要,背默,，,唔,合格,就,要,留堂,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1-jan1,tung4,kei4-taa1,tung4-hok6,jat1,co5-dai1,#,gou1-lou5-si1,zau6,zik1-hak1,gaau3-syu1,#,keoi5,hai2,hak1-baan2,soeng6-min6,se2,zo2,hou2-do1,geoi3,geoi3-zi2,#,giu3,tung4-hok6,mui5,go3,zi6,caau1,sap6,ci3,#,zung6,waa6,ting1-jat6,zau6,jiu3,bui6-mak6,#,m4,hap6-gaak3,zau6,jiu3,lau4-tong4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanny,and,other,schoolmate,once,sit down,#,Mr Ko,then,immediately,teach,#,he,at,blackboard,on top,write,-en,many,(measure),sentence,#,call,schoolmate,every,(measure),word,to copy,ten,time ,#,even,say,tomorrow,then,need,recite dictation,#,not,pass,then,need to,detention class,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,同學,問,，,點解,開學,第一,日,，,都,未,識,其他,同學,就,要,開始,教書,。,「,學生,返學,係,要,學習,，,唔係,識,朋友,。,」,高老師,仲,唔,畀,學生,問,問題,質疑,老師,：,「,因為,老師,係,唔,會,錯,嘅,，,學生,只要,專心,聽書,就,夠,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,tung4-hok6,man6,#,dim2-gaai2,hoi1-hok6,dai6-jat1,jat6,#,dou1,mei6,sik1,kei4-taa1,tung4-hok6,zau6,jiu3,hoi1-ci2,gaau3-syu1,#,#,hok6-saang1,faan1-hok6,hai6,jiu3,hok6-zaap6,#,m4-hai6,sik1,pang4-jau5,#,#,gou1-lou5-si1,zung6,m4,bei2,hok6-saang1,man6,man6-tai4,zat1-ji4,lou5-si1,#,#,jan1-wai6,lou5-si1,hai6,m4,wui5,co3,ge3,#,hok6-saang1,zi2-jiu3,zyun1-sam1,teng1-syu1,zau6,gau3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,schoolmate,ask,#,why,new term begins,first,day,#,"all, also",not yet,know,other,schoolmate,then,need,to begin,teaching,#,#,pupil,go to school,is,need,to learn,#,is not,to know,friend,#,#,Mr Ko,even,not,allow,pupil,to ask,question,to question,teacher,#,#,because,teacher,is,not,will,wrong,(particle),#,pupil,so long as,focus,listen to teaching,then,enough,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,坐,欣欣,隔籬,嘅,思思,發現,高老師,啲,字,好多,都,寫,少,咗,幾,筆,，,於是,舉手,講,出,個,問題,。,高老師,聽到,之後,好,嬲,，,咁啱,佢,見到,思思,書包,入面,有,盒,餅乾,，,就,當場,沒收,咗,佢,，,仲,話,：,「,以後,邊個,唔,聽話,，,邊個,就,要,受罰,！,」,思思,即時,「,哇,」,一,聲,喊,咗,出嚟,，,其他,同學,都,唔,敢,再,出聲,。,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,co5,Jan1-jan1,gaak3-lei4,ge3,Si1-si1,faat3-jin6,gou1-lou5-si1,di1,zi6,hou2-do1,dou1,se2,siu2,zo2,gei2,bat1,#,jyu1-si6,geoi2-sau2,gong2,ceot1,go3,man6-tai4,#,gou1-lou5-si1,teng1-dou2,zi1-hau6,hou2,nau1,#,gam3-ngaam1,keoi5,gin3-dou2,Si1-si1,syu1-baau1,jap6-min6,jau5,hap6,beng2-gon1,#,zau6,dong1-coeng4,mut6-sau1,zo2,keoi5,#,zung6,waa6,#,#,ji5-hau6,bin1-go3,m4,teng1-waa6,#,bin1-go3,zau6,jiu3,sau6-fat6,#,#,Si1-si1,zik1-si4,#,waa1,#,jat1,seng1,haam3,zo2,ceot1-lei4,#,kei4-taa1,tung4-hok6,dou1,m4,gam2,zoi3,ceot1-seng1,#,,,,,,,,,,,,,
this,time,#,sit,Yanny,next to,(linker),Cecilia,find out,Mr Ko,’s,word,many,"all, also",write,less,-en,a few,stroke,#,so,raise hand,to say,out,(measure),question/problem,#,Mr Ko,heard,after,very,angry,#,incidentally,he,see,Cecilia,schoolbag,inside,have,box of,biscuit,#,then,on the spot,confiscate,-en,it,#,even,say,#,#,in the future,whoever,not,well-behaved,#,whoever,then,need to ,get punished,#,#,Cecilia,immediately,#,waa,#,one,sound,cry,-en,out,#,other,schoolmate,"all, also",not,dare,again,voice out,#,,,,,,,,,,,,,
