[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蝴蝶,好,靚,呀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wu4-dip2,hou2,leng3,aa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly,very,beautiful,(particle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,大家,快啲,過嚟,嚟,集合,，,我哋,要,出發,喇,！,阿花,！,快啲,埋嚟,，,等,緊,你,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daai6-gaa1,faai3-di1,gwo3-lai4,lai4,zaap6-hap6,#,ngo5-dei6,jiu3,ceot1-faat3,laa3,#,aa3-faa1,#,faai3-di1,maai4-lai4,#,dang2,gan2,nei5,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,everyone,faster,come over,to come,assemble,#,we,need to,start,(particle),#,Fala,#,faster,come over,#,wait,-ing,you,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,細細聲,：,「,哦,，,我,依家,過嚟,喇,老師,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,sai3-sai3-seng1,#,#,o3,#,ngo5,ji1-gaa1,gwo3-lai4,laa3,lou5-si1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,small and low voice,#,#,Oh!,#,I,now,come over,(particle),teacher,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,大家好,，,我,……,我,叫,阿,......,阿花,。,之前,老師,話,，,唔想,我哋,淨係,掛,住,讀,......,讀書,，,都,要,多啲,出去,睇,下,嘢,，,開,......,開,下,眼界,，,所以,老師,今日,帶,我哋,一,班,同學,，,出去,大自然,行,下,……,」
#,daai6-gaa1-hou2,#,ngo5,#,ngo5,giu3,aa3,#,aa3-faa1,#,zi1-cin4,lou5-si1,waa6,#,m4-soeng2,ngo5-dei6,zing6-hai6,gwaa3,zyu6,duk6,#,duk6-syu1,#,dou1,jiu3,do1-di1,ceot1-heoi3,tai2,haa5,je5,#,hoi1,#,hoi1,haa5,ngaan5-gaai3,#,so2-ji5,lou5-si1,gam1-jat6,daai3,ngo5-dei6,jat1,baan1,tung4-hok6,#,ceot1-heoi3,daai6-zi6-jin4,haang4,haa5,#,#
#,Hi everyone,#,I,#,I,am called,Fa-,#,-la,#,before,teacher,say,#,don't want,we,only,miss,-ing,to stu-,#,-dy,#,also,need to,more,get out,to look,a bit,thing,#,to broa-,#,-den,a bit,horizon,#,therefore,teacher,today,bring,we,one,class of,schoolmate,#,to go out,nature,to walk,a bit,#,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,喺,鄉村,新,搬,嚟,冇耐,，,啱啱先,入嚟,呢,......,呢,間,學校,兩,星期,……,我,唔,敢,同,其他,同學仔,講,......,講嘢,，,我,驚,佢哋,話,我,大鄉里,，,睇唔起,我,呢啲,鄉村,嚟,嘅,人,——,」,,,,,,,,
#,ngo5,hai2,hoeng1-cyun1,san1,bun1,lai4,mou5-noi2,#,ngaam1-ngaam1-sin1,jap6-lai4,nei1,#,nei1,gaan1,hok6-haau6,loeng5,sing1-kei4,#,ngo5,m4,gam2,tung4,kei4-taa1,tung4-hok6-zai2,gong2,#,gong2-je5,#,ngo5,geng1,keoi5-dei6,waa6,ngo5,daai6-hoeng1-lei5,#,tai2-m4-hei2,ngo5,nei1-di1,hoeng1-cyun1,lai4,ge3,jan4,#,#,,,,,,,,
