[0],,,,,,,,,,,,,
姐姐,,,,,,,,,,,,,
ze4-ze1,,,,,,,,,,,,,
female domestic helper,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,
離開,自己,屋企,，,一個人,走,出嚟,,,,,,,
lei4-hoi1,zi6-gei2,uk1-kei2,#,jat1-go3-jan4,zau2,ceot1-lei4,,,,,,,
to leave,oneself,home,#,alone,to leave,to come out,,,,,,,
[1b],,,,,,,,,,,,,
一個,陌生,地方,，,乜,都,覺得,新奇,,,,,,
jat1-go3,mak6-sang1,dei6-fong1,#,mat1,dou1,gok3-dak1,san1-kei4,,,,,,
one,strange,place,#,what,"all, also",to feel,surprising,,,,,,
[1c],,,,,,,,,,,,,
星期日,嘅,下午,，,難得,一日,假期,,,,,,,
sing1-kei4-jat6,ge3,haa6-ng5,#,naan4-dak1,jat1-jat6,gaa3-kei4,,,,,,,
Sunday,(linker),afternoon,#,hard to come by,one day,holiday,,,,,,,
[1d],,,,,,,,,,,,,
識到,新,嘅,朋友,，,佢,又,嚟自,印尼,,,,,
sik1-dou2,san1,ge3,pang4-jau5,#,keoi5,jau6,lei4-zi6,jan3-nei4,,,,,
met,new,(linker),friend,#,she/he,again,come from,Indonesia,,,,,
[2a],,,,,,,,,,,,,
為咗,養家,我哋,決定,嚟,呢度,奮鬥,,,,,,,
wai6-zo2,joeng5-gaa1,ngo5-dei6,kyut3-ding6,lei4,nei1-dou6,fan5-dau3,,,,,,,
in order to,support the family,we,decide,to come,here,work hard,,,,,,,
[2b],,,,,,,,,,,,,
奮鬥,原因,當然,係,養活,一家幾口,,,,,,,,
fan5-dau3,jyun4-jan1,dong1-jin2,hai6,joeng5-wut6,jat1-gaa1-gei2-hau2,,,,,,,,
work hard,reason,certainly,is,to keep warm and fed,a family of several people,,,,,,,,
[2c],,,,,,,,,,,,,
每日,辛苦,做嘢,，,靠,我,自己,雙,手,,,,,
mui5-jat6,san1-fu2,zou6-je5,#,kaau3,ngo5,zi6-gei2,soeng1,sau2,,,,,
every day,hard,to work,#,to depend on,I,oneself,pair of,hand,,,,,
[2d],,,,,,,,,,,,,
視像,同,你,傾計,唔,會,畀,你,睇到,傷口,,,,
si6-zoeng6,tung4,nei5,king1-gai2,m4,wui5,bei2,nei5,tai2-dou2,soeng1-hau2,,,,
video call,with,you,to chat,not,will,let,you,to see,wound,,,,
[3a],,,,,,,,,,,,,
有朝一日,我,揾,夠,錢,返去,起,大,屋,,,,,
jau5-ziu1-jat1-jat6,ngo5,wan2,gau3,cin2,faan1-heoi3,hei2,daai6,uk1,,,,,
someday,I,earn,enough,money,to go back,to build,big,house,,,,,
[3b],,,,,,,,,,,,,
足夠,仔女,供書教學,我,就,心滿意足,,,,,,,,
zuk1-gau3,zai2-neoi2,gung1-syu1-gaau3-hok6,ngo5,zau6,sam1-mun5-ji3-zuk1,,,,,,,,
enough,children,pay tuition,I,then,satisfied,,,,,,,,
[3c],,,,,,,,,,,,,
希望,佢哋,努力,讀書,做,一個,有用,嘅,人,,,,,
hei1-mong6,keoi5-dei6,nou5-lik6,duk6-syu1,zou6,jat1-go3,jau5-jung6,ge3,jan4,,,,,
hope,they,try one's best,to study,to be,one,useful,(linker),person,,,,,
[3d],,,,,,,,,,,,,
做,自己,鍾意,做,嘅,嘢,去,睇下,自由女神,,,,,
zou6,zi6-gei2,zung1-ji3,zou6,ge3,je5,heoi3,tai2-haa5,zi6-jau4-neoi5-san4,,,,,
to do,oneself,like,to do,(linker),thing,to go,to see,Statue of Liberty,,,,,
[4a],,,,,,,,,,,,,
好喇,乖,仔,你,去,叫,爺爺,嫲嫲,過嚟,聽,,,,
hou2-laa3,gwaai1,zai2,nei5,heoi3,giu3,je4-je2,maa4-maa4,gwo3-lei4,teng1,,,,
alright!,well-behaved,son,you,go,to call,grandfather,grandmother,to come over,to listen,,,,
[4b],,,,,,,,,,,,,
係呀,呢度,冇人,蝦,我,你哋,唔使,驚,,,,,,
hai6-aa3,nei1-dou6,mou5-jan4,haa1,ngo5,nei5-dei6,m4-sai2,geng1,,,,,,
That's right!,here,no one,bully,I,you (plural),no need,afraid,,,,,,
[4c],,,,,,,,,,,,,
我,每,餐,都,有,食飽,你哋,唔使,擔心,,,,,
ngo5,mui5,caan1,dou1,jau5,sik6-baau2,nei5-dei6,m4-sai2,daam1-sam1,,,,,
I,every,meal,"all, also",have,eat enough,you (plural),no need,to worry about,,,,,
[4d],,,,,,,,,,,,,
你,睇,我,瘦,咗,啲,咩,？,我,呢排,有,玩,健身,
nei5,tai2,ngo5,sau3,zo2,di1,me1,#,ngo5,nei1-paai4,jau5,waan2,gin6-san1,
you,look,I,thin,-en,a bit,(particle),#,I,recently,have,do,working out,
[5a],,,,,,,,,,,,,
你哋,叫,我,注意,身體,我,全部,聽,得,到,,,,
nei5-dei6,giu3,ngo5,zyu3-ji3,san1-tai2,ngo5,cyun4-bou6,teng1,dak1,dou2,,,,
you (plural),ask,I,pay attention to,body,I,all,listen,can,(suffix),,,,
[5b],,,,,,,,,,,,,
而家,幫,我,叫,老公,過嚟,聽,啦,好唔好,,,,,
ji4-gaa1,bong1,ngo5,giu3,lou5-gung1,gwo3-lei4,teng1,laa1,hou2-m4-hou2,,,,,
now,help,I,call,husband,to come over,to listen,(particle),good or not,,,,,
[5c],,,,,,,,,,,,,
老公,我,喺,呢度,做嘢,都,唔係,咁,辛苦,,,,,
lou5-gung1,ngo5,hai2,nei1-dou6,zou6-je5,dou1,m4-hai6,gam3,san1-fu2,,,,,
